18951540|t|Repetitive transcranial magnetic stimulation for levodopa-induced dyskinesias in Parkinson's disease.
18951540|a|In a placebo-controlled, single-blinded, crossover study, we assessed the effect of "real" repetitive transcranial magnetic stimulation (rTMS) versus "sham" rTMS (placebo) on peak dose dyskinesias in patients with Parkinson's disease (PD). Ten patients with PD and prominent dyskinesias had rTMS (1,800 pulses; 1 Hz rate) delivered over the motor cortex for 4 consecutive days twice, once real stimuli and once sham stimulation were used; evaluations were done at the baseline and 1 day after the end of each of the treatment series. Direct comparison between sham and real rTMS effects showed no significant difference in clinician-assessed dyskinesia severity. However, comparison with the baseline showed small but significant reduction in dyskinesia severity following real rTMS but not placebo. The major effect was on dystonia subscore. Similarly, in patient diaries, although both treatments caused reduction in subjective dyskinesia scores during the days of intervention, the effect was sustained for 3 days after the intervention for the real rTMS only. Following rTMS, no side effects and no adverse effects on motor function and PD symptoms were noted. The results suggest the existence of residual beneficial clinical aftereffects of consecutive daily applications of low-frequency rTMS on dyskinesias in PD. The effects may be further exploited for potential therapeutic uses.
18951540	49	57	levodopa	ChemicalEntity	D007980
18951540	66	77	dyskinesias	DiseaseOrPhenotypicFeature	D004409
18951540	81	100	Parkinson's disease	DiseaseOrPhenotypicFeature	D010300
18951540	287	298	dyskinesias	DiseaseOrPhenotypicFeature	D004409
18951540	302	310	patients	OrganismTaxon	9606
18951540	316	335	Parkinson's disease	DiseaseOrPhenotypicFeature	D010300
18951540	337	339	PD	DiseaseOrPhenotypicFeature	D010300
18951540	346	354	patients	OrganismTaxon	9606
18951540	360	362	PD	DiseaseOrPhenotypicFeature	D010300
18951540	377	388	dyskinesias	DiseaseOrPhenotypicFeature	D004409
18951540	744	754	dyskinesia	DiseaseOrPhenotypicFeature	D004409
18951540	845	855	dyskinesia	DiseaseOrPhenotypicFeature	D004409
18951540	926	934	dystonia	DiseaseOrPhenotypicFeature	D004421
18951540	959	966	patient	OrganismTaxon	9606
18951540	1032	1042	dyskinesia	DiseaseOrPhenotypicFeature	D004409
18951540	1243	1245	PD	DiseaseOrPhenotypicFeature	D010300
18951540	1405	1416	dyskinesias	DiseaseOrPhenotypicFeature	D004409
18951540	1420	1422	PD	DiseaseOrPhenotypicFeature	D010300
18951540	Positive_Correlation	D007980	D004409	No
