,file,sentence,word_labels
0,101016jjallcom201511182,10 .,"O,O"
1,101016jjallcom201511182,1016/j .,"O,O"
2,101016jjallcom201511182,jallcom .,"O,O"
3,101016jjallcom201511182,2015 .,"O,O"
4,101016jjallcom201511182,11 .,"O,O"
5,101016jjallcom201511182,"182 Synthesis of lanthanide doped CeF3:Gd3+ , Sm3+ nanoparticles , exhibiting altered luminescence after hydrothermal post-treatment The syntheses were carried out to produce 0 .","O,O,O,B,I,B,O,B,B,O,O,O,O,O,B,O,O,O,O,O,O,O,B,O,O"
6,101016jjallcom201511182,75 g of the product .,"O,B,O,O,B,O"
7,101016jjallcom201511182,A typical synthesis procedure was performed as follows .,"O,O,O,O,O,O,O,O,O"
8,101016jjallcom201511182,NH4F (50% excess ) was dissolved in 25 mL of water (solution A ) .,"B,B,B,O,O,B,O,O,B,O,B,B,I,O,O"
9,101016jjallcom201511182,An aqueous solution B was prepared that contained Ln ( NO3 ) 3 and CeCl3 which were mixed at the desired molar ratio (0 .,"O,B,B,I,O,B,O,O,B,I,I,I,I,O,B,O,O,B,O,O,O,B,I,O,O"
10,101016jjallcom201511182,"01 Sm ( NO3 ) 3 , 0 .","O,B,I,I,I,I,O,O,O"
11,101016jjallcom201511182,15 Gd ( NO3 ) 3 and 0 .,"O,B,I,I,I,I,O,O,O"
12,101016jjallcom201511182,"84 CeCl3 mol% ) , and diluted with water to make 100 mL .","O,B,B,O,O,O,B,O,B,O,O,O,B,O"
13,101016jjallcom201511182,"In the case of the products obtained in the presence of EDTA and citric acid , 0 .","O,O,O,O,O,B,B,O,O,O,O,B,O,B,I,O,O,O"
14,101016jjallcom201511182,5 wt .,"O,B,I"
15,101016jjallcom201511182,% of the desired polycarboxylic acid was additionally dissolved in solutions A and B .,"I,O,O,O,B,I,O,O,B,O,B,I,I,I,O"
16,101016jjallcom201511182,The pH of the systems was adjusted to [ ?,"O,O,O,O,O,O,B,O,O,O"
17,101016jjallcom201511182,"]7 , by the use of an aqueous NaOH solution .","O,O,O,O,O,O,O,B,B,B,O"
18,101016jjallcom201511182,"Solution B was added dropwise to solution A , resulting in the precipitation of the lanthanide doped fluorides (LnF3 ) .","B,I,O,B,B,O,B,I,O,O,O,O,B,O,O,B,I,I,B,O,O"
19,101016jjallcom201511182,"The reaction was performed at 343 K , with continuous stirring .","O,O,O,B,O,O,O,O,O,O,B,O"
20,101016jjallcom201511182,The addition was completed in 0 .,"O,B,O,O,O,O,O"
21,101016jjallcom201511182,5 h .,"O,O,O"
22,101016jjallcom201511182,Afterward the as-prepared products were divided into two parts .,"O,O,O,B,O,B,O,O,O,O"
23,101016jjallcom201511182,Half of the product was purified by centrifugation and washed several times with water .,"O,O,O,B,O,B,O,B,O,B,B,I,O,B,O"
24,101016jjallcom201511182,After this the product was dried overnight in the oven (at 358 K ) .,"O,O,O,B,O,B,B,O,O,B,O,O,O,O,O"
25,101016jjallcom201511182,"The rest of the colloidal precipitate was transferred into a Teflon vessel and hydrothermally treated for 2 h , at 453 K/40 bar (microwave autoclave - ERTEC , Magnum II , 600 W ) .","O,O,O,O,B,B,O,B,O,O,B,B,O,B,I,O,O,O,O,O,O,O,O,B,I,O,B,I,I,I,I,I,I,O,O"
26,101016jjallcom201511182,"When the reaction was finished , the product obtained under hydrothermal conditions was purified by centrifugation and dried in the oven , as well .","O,O,O,O,O,O,O,B,O,O,O,O,O,B,O,B,O,B,O,O,B,O,O,O,O"
27,101016jjallcom201511182,Fig .,"O,O"
28,101016jjallcom201511182,1 presents the scheme of the coprecipitation process and subsequent hydrothermal treatment of the nanoparticles synthesized (recrystallization and growth of the nanocrystals ) .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
0,101039c7nr05695h,10 .,"O,O"
1,101039c7nr05695h,"1039/c7nr05695h Solution-processed indium oxide electron transporting layers for high-performance and photo-stable perovskite and organic solar cells Indium nitrate hydrate (In ( NO3 ) 3*xH2O , 99 .","O,B,B,I,O,O,O,O,O,O,O,B,O,O,O,O,B,I,I,B,I,I,I,I,O,O,O"
2,101039c7nr05695h,"99% ) , indium acetylacetonate (In ( AcAc ) 3 , 99 .","B,O,O,B,I,B,I,I,I,I,O,O,O"
3,101039c7nr05695h,"99% ) , indium chloride (InCl3 , 99 .","B,O,O,B,I,B,O,O,O"
4,101039c7nr05695h,"999% ) , P3HT (regioregular , 99% ) , PCBM (>99% ) , bis ( trifluoromethane ) sulfonamide lithium salt (Li-TFSI , 99 .","B,O,O,B,B,O,B,O,O,B,B,O,O,B,I,I,I,I,I,B,B,O,O,O"
5,101039c7nr05695h,"95% ) , anhydrous acetonitrile (ACN , 99 .","B,O,O,B,B,B,O,O,O"
6,101039c7nr05695h,"8% ) , anhydrous ethanol (>99 .","B,O,O,B,B,O,O"
7,101039c7nr05695h,"5% ) , anhydrous dimethylsulfoxide (DMSO , 99 .","B,O,O,B,B,B,O,O,O"
8,101039c7nr05695h,"9% ) , anhydrous dimethylformamide (DMF , 99 .","B,O,O,B,B,B,O,O,O"
9,101039c7nr05695h,"8% ) , anhydrous diethyl ether (99 .","B,O,O,B,B,I,O,O"
10,101039c7nr05695h,"9% ) , anhydrous toluene (99 .","B,O,O,B,B,O,O"
11,101039c7nr05695h,"8% ) , 4-tert-butylpyridine (tBP , 96% ) , anhydrous chlorobenzene (CB , 99 .","B,O,O,B,B,O,B,O,O,B,B,B,O,O,O"
12,101039c7nr05695h,"8% ) , and Triton X-100 were purchased from Sigma-Aldrich .","B,O,O,O,B,I,O,B,O,B,O"
13,101039c7nr05695h,PEDOT:PSS (AI 4083 ) was purchased from Clevios .,"B,B,I,O,O,B,O,B,O"
14,101039c7nr05695h,PbI2 (99 .,"B,O,O"
15,101039c7nr05695h,9985% ) was purchased from Alfa Aesar .,"B,O,O,B,O,B,I,O"
