,sentence,word_labels
0,variable temperature electron paramagnetic resonance studies of the NiZn ferrite / O2Si nanocomposite,"O,O,O,O,O,O,O,O,O,O,O,O,O"
1,effects of the silica content and temperature on the magnetic properties of Fe4NiO8Zn / O2Si nanocomposites have been studied by electron paramagnetic resonance ( EPR ) technique .,"O,O,O,O,O,O,O,O,O,B,I,O,B,O,B,O,O,O,O,O,B,I,I,O,O,O,O,O"
2,"the peak - to - peak linewidth ( DHPP ) , g factor and spin number ( NS ) , measured at room temperature , decreased with increasing O2Si content , while the spin – spin relaxation time ( T2 ) increased .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
3,"furthermore , these parameters ( DHPP , g factor , NS and T2 ) were measured as function of temperature .","O,O,O,O,O,O,O,B,I,O,O,O,B,O,O,O,O,O,O,O,O"
4,"the DHPP , g factor and NS decreased with increasing temperature whereas the T2 increased .","O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O"
5,characterization of CuInSe2 thin films produced by thermal annealing of stacked elemental layers,"O,O,B,B,I,O,O,O,O,O,O,O,O"
6,polycrystalline thin films of CuInSe2 have been produced onto glass substrates by the processing of stacked elemental layer followed by either vacuum or air annealing .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
7,the influence of the composition and air annealing temperature on the properties of the material has been investigated .,"O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O"
8,"the obvious shift of the bandgap energy , and the stepped variation of the resistivity were observed for the films depending upon the composition .","O,O,O,O,O,B,I,O,O,O,O,O,O,O,B,O,O,O,O,B,O,O,O,O,O"
9,the effect of surface morphology on the response of Fe2O3 - loaded vanadium oxide nanotubes gas sensor,"O,O,O,B,I,O,O,O,O,O,O,O,B,I,O,B,I"
10,the effect of surface morphology on the response of an ethanol sensor based on vanadium nanotubes surface loaded with Fe2O3 nanoparticles ( Fe2O3 / VONTs ) was investigated in this work .,"O,O,O,B,I,O,O,B,O,O,O,O,O,O,B,B,I,O,O,B,O,O,B,O,O,O,O,O,O,O,O,O"
11,the particle size of Fe2O3 loaded on VONTs was varied by using novel citric acid - assisted hydrothermal method .,"O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,I,O"
12,"In the synthesis progress , citric acid was used as a surfactant and chelate agent , which ensured the growth of a uniform Fe2O3 loading on the nanotubes surface .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,B,I,O"
13,the ethanol sensing properties was then measured for these Fe2O3 / VONTs at <nUm> – <nUm> ° C .,"O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O"
14,the results showed that the sensor response increased with the particles size and the loading amount of Fe2O3 .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
15,it appears that the load of Fe2O3 on the VONTs surface increases the concentration of oxygen vacancies and decreases the concentration of free electrons .,"O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
16,the effects of morphology on the sensor resistance were interpreted in terms of the debye length and the difference in the number of active sites .,"O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
17,the oxidation of cobalt — tungsten alloys,"O,O,O,O,O,O,B"
18,the oxidation behaviour of CoCrW alloys containing from <nUm> – <nUm> % Cr and up to <nUm> % W in oxygen at <nUm> – <nUm> ° C has been studied .,"O,B,I,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O"
19,"In CoW alloys there is a slight reduction in the oxidation rate as the tungsten content is increased , hwoever this is much mor emarked in Co15CrW alloys .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
20,tungsten has little effect in Co25CrW alloys .,"O,O,O,O,O,O,B,O"
21,"on the binary alloys and CoCrW alloys which do not form Cr2O3 , the scale has two layers : an outer , tungsten - free layer of columnar - grained CoO , and an inner layer of CoO containing CoO4W precipitates together with CoCr2O4 particles in the ternary alloys .","O,O,O,O,O,O,B,O,O,O,O,B,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,B,O,B,O,O,O,O,O,O,O,O,O,O,B,O"
22,the relative thicknesses of the two layers and the distribution of the constituents in the inner layer depends in temperature and alloy composition .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O"
