27236780|t|Histopathology of the filum terminale in children with and without tethered cord syndrome with attention to the elastic tissue within the filum
27236780|a|To compare histologically transected fila from pediatric patients with tethered cord syndrome (TCS), with and without a low conus, with controls, focusing on collagenous and elastic tissue. Thirty fila from patients with TCS, including 5 where minimal cautery was used prior to filum section, were compared with fila from 27 pediatric cadavers without TCS (controls). Sections of fila were stained with H&E, Masson trichrome and Verhoeff von Gieson elastic stains, and 7 with Gordon and Sweet's reticulin stain. Fila from controls showed loose fibrous connective tissue (FCT) with thin and evenly dispersed elastic fibers (EFs). Reticulin fibers (RFs) were seen in blood vessel walls and nerve twigs. Fat was identified microscopically in 2 fila. All fila from patients with TCS had dense FCT. The EFs were in normal numbers in 17, and focally or diffusely decreased in 13. All 25 patients where the fila were cauterized during resection had thick and coiled EFs. Coiling was not seen when minimal cautery was applied. RFs were seen in blood vessel walls and nerve twigs. Fat was identified in 19 patients. Findings were similar, whether the conus termination was normal or low. The fila of all patients with TCS, whether or not the conus was low, showed abnormal FCT. EFs were decreased in 48 % of patients; however, there were thick and coiled EFs in all patients. Coiling of EFs, initially thought to be an abnormality in patients, is considered most likely to be a result of cautery (i.e., artifactual / iatrogenic coiling).
27236780	0	14	Histopathology	T091	C0677043
27236780	22	37	filum terminale	T023	C0016109
27236780	41	49	children	T100	C0008059
27236780	59	66	without	T080	C0332288
27236780	67	89	tethered cord syndrome	T047	C0080218
27236780	112	126	elastic tissue	T024	C0013762
27236780	138	143	filum	T023	C0016109
27236780	147	154	compare	T052	C1707455
27236780	155	169	histologically	T169	C0205462
27236780	170	180	transected	T169	C0332847
27236780	181	185	fila	T023	C0016109
27236780	191	200	pediatric	T080	C1521725
27236780	201	209	patients	T101	C0030705
27236780	215	237	tethered cord syndrome	T047	C0080218
27236780	239	242	TCS	T047	C0080218
27236780	254	261	without	T080	C0332288
27236780	264	267	low	T029	C1548802
27236780	268	273	conus	T023	C0149601
27236780	302	313	collagenous	T024	C0225333
27236780	318	332	elastic tissue	T024	C0013762
27236780	341	345	fila	T023	C0016109
27236780	351	359	patients	T101	C0030705
27236780	365	368	TCS	T047	C0080218
27236780	388	395	minimal	T080	C0547040
27236780	396	403	cautery	T061	C0007471
27236780	422	427	filum	T023	C0016109
27236780	428	435	section	T059	C0700320
27236780	442	450	compared	T052	C1707455
27236780	456	460	fila	T023	C0016109
27236780	469	478	pediatric	T080	C1521725
27236780	479	487	cadavers	T017	C0006629
27236780	488	495	without	T080	C0332288
27236780	496	499	TCS	T047	C0080218
27236780	501	509	controls	T096	C0009932
27236780	512	520	Sections	T167	C1522472
27236780	524	528	fila	T023	C0016109
27236780	534	541	stained	T059	C0487602
27236780	547	550	H&E	T059	C0523207
27236780	552	568	Masson trichrome	T059	C1294297
27236780	573	607	Verhoeff von Gieson elastic stains	T059	C1294321
27236780	620	654	Gordon and Sweet's reticulin stain	T059	C1293950
27236780	656	660	Fila	T023	C0016109
27236780	666	674	controls	T096	C0009932
27236780	682	687	loose	T080	C0205407
27236780	688	713	fibrous connective tissue	T024	C1184823
27236780	715	718	FCT	T024	C1184823
27236780	725	729	thin	T080	C0205168
27236780	734	750	evenly dispersed	T169	C1704711
27236780	751	765	elastic fibers	T024	C0230899
27236780	767	770	EFs	T024	C0230899
27236780	773	789	Reticulin fibers	T116,T123	C0035285
27236780	791	794	RFs	T116,T123	C0035285
27236780	809	827	blood vessel walls	T023	C1180033
27236780	832	837	nerve	T024	C0027740
27236780	845	848	Fat	T109,T121	C0015677
27236780	853	863	identified	T080	C0205396
27236780	864	879	microscopically	T080	C0205288
27236780	885	889	fila	T023	C0016109
27236780	895	899	fila	T023	C0016109
27236780	905	913	patients	T101	C0030705
27236780	919	922	TCS	T047	C0080218
27236780	927	936	dense FCT	T024	C0225333
27236780	942	945	EFs	T024	C0230899
27236780	954	960	normal	T080	C0205307
27236780	980	987	focally	T082	C0205234
27236780	991	1000	diffusely	T080	C0332261
27236780	1001	1010	decreased	T081	C0205216
27236780	1025	1033	patients	T101	C0030705
27236780	1044	1048	fila	T023	C0016109
27236780	1054	1064	cauterized	T061	C0007471
27236780	1072	1081	resection	T061	C0728940
27236780	1086	1091	thick	T080	C1280412
27236780	1096	1102	coiled	T082	C1880179
27236780	1103	1106	EFs	T024	C0230899
27236780	1108	1115	Coiling	T082	C0444764
27236780	1134	1141	minimal	T080	C0547040
27236780	1142	1149	cautery	T061	C0007471
27236780	1163	1166	RFs	T116,T123	C0035285
27236780	1180	1198	blood vessel walls	T023	C1180033
27236780	1216	1219	Fat	T109,T121	C0015677
27236780	1224	1234	identified	T080	C0205396
27236780	1241	1249	patients	T101	C0030705
27236780	1251	1259	Findings	T033	C0243095
27236780	1265	1272	similar	T080	C2348205
27236780	1286	1291	conus	T023	C0149601
27236780	1308	1314	normal	T080	C0205307
27236780	1318	1321	low	T082	C0441994
27236780	1327	1331	fila	T023	C0016109
27236780	1339	1347	patients	T101	C0030705
27236780	1353	1356	TCS	T047	C0080218
