27244841|t|Improving Early Identification and Ongoing Care of Children With Autism Spectrum Disorder
27244841|a|Poor adherence to recommended screening for autism spectrum disorder (ASD) and pediatricians ' lack of confidence in providing care for children with ASD reflect quality gaps in primary care. This study aimed to increase the proportion of toddlers screened for ASD and improve physicians ' self-efficacy in providing care to children with ASD. Twenty-six Utah primary care practices participated in a 3 to 6 month learning collaborative (LC) to improve identification and ongoing care of children with ASD. Monthly chart audits assessed whether an ASD screening tool was administered at 18- and 24- month visits. Physicians completed pre-LC and post-LC surveys to assess changes in self-efficacy in providing care and changes in perceived barriers to implementation of screening and caring for children with ASD. Before the LC, 15% of 18- and 24- month visits had documented ASD screening, compared with 91% during the last month of the LC (P < .001). This rate of ASD screening was sustained 4 years after the LC by most practices. Compared with survey responses before the LC, physicians reported significant improvement in their ability to care for children with ASD and decreases in their perceived barriers to screening and caring for children with ASD. The LC was effective in increasing and sustaining recommended ASD screening of toddlers and improving physicians ' perceived self-efficacy in caring for children with ASD. Improving primary care screening, skills, and knowledge may improve the timing of diagnosis, initiation of treatment, quality of care, and outcomes for children with ASD.
27244841	0	9	Improving	T080	C1272745
27244841	10	30	Early Identification	T061	C0814435
27244841	43	47	Care	T052	C1947933
27244841	51	59	Children	T100	C0008059
27244841	65	89	Autism Spectrum Disorder	T033	C4315362
27244841	120	129	screening	T058	C1710032
27244841	134	158	autism spectrum disorder	T033	C4315362
27244841	160	163	ASD	T033	C4315362
27244841	169	182	pediatricians	T097	C0237433
27244841	185	203	lack of confidence	T033	C0558092
27244841	217	221	care	T052	C1947933
27244841	226	234	children	T100	C0008059
27244841	240	243	ASD	T033	C4315362
27244841	268	280	primary care	T058	C0033137
27244841	287	292	study	T062	C2603343
27244841	329	337	toddlers	T100	C0682053
27244841	351	354	ASD	T033	C4315362
27244841	359	366	improve	T033	C0184511
27244841	367	377	physicians	T097	C0031831
27244841	380	393	self-efficacy	T041	C0600564
27244841	407	411	care	T052	C1947933
27244841	415	423	children	T100	C0008059
27244841	429	432	ASD	T033	C4315362
27244841	450	472	primary care practices	T058	C0033137
27244841	498	503	month	T079	C0439231
27244841	504	526	learning collaborative	T092	C1561598
27244841	528	530	LC	T092	C1561598
27244841	535	542	improve	T033	C0184511
27244841	543	557	identification	T041	C0020792
27244841	570	574	care	T052	C1947933
27244841	578	586	children	T100	C0008059
27244841	592	595	ASD	T033	C4315362
27244841	597	604	Monthly	T079	C0332177
27244841	605	617	chart audits	UnknownType	C0184805
27244841	638	641	ASD	T033	C4315362
27244841	642	656	screening tool	T058	C1710032
27244841	689	694	month	T079	C0439231
27244841	695	701	visits	T058	C1512346
27244841	703	713	Physicians	T097	C0031831
27244841	724	730	pre-LC	T079	C1254367
27244841	735	742	post-LC	T079	C1254367
27244841	743	750	surveys	T170	C0038951
27244841	761	768	changes	T169	C0392747
27244841	772	785	self-efficacy	T041	C0600564
27244841	799	803	care	T052	C1947933
27244841	819	828	perceived	T041	C0030971
27244841	829	837	barriers	T080	C0679881
27244841	841	855	implementation	T052	C1708476
27244841	859	868	screening	T058	C1710032
27244841	873	879	caring	T052	C1947933
27244841	884	892	children	T100	C0008059
27244841	898	901	ASD	T033	C4315362
27244841	914	916	LC	T092	C1561598
27244841	937	942	month	T079	C0439231
27244841	943	949	visits	T058	C1512346
27244841	954	964	documented	T058	C1301725
27244841	965	968	ASD	T033	C4315362
27244841	969	978	screening	T058	C1710032
27244841	1014	1019	month	T079	C0439231
27244841	1027	1029	LC	T092	C1561598
27244841	1055	1058	ASD	T033	C4315362
27244841	1059	1068	screening	T058	C1710032
27244841	1085	1090	years	T079	C0439234
27244841	1101	1103	LC	T092	C1561598
27244841	1137	1143	survey	T062	C0018762
27244841	1165	1167	LC	T092	C1561598
27244841	1169	1179	physicians	T097	C0031831
27244841	1201	1212	improvement	T077	C2986411
27244841	1233	1237	care	T052	C1947933
27244841	1242	1250	children	T100	C0008059
27244841	1256	1259	ASD	T033	C4315362
27244841	1283	1292	perceived	T041	C0030971
27244841	1293	1301	barriers	T080	C0679881
27244841	1305	1314	screening	T058	C1710032
27244841	1319	1325	caring	T052	C1947933
27244841	1330	1338	children	T100	C0008059
27244841	1344	1347	ASD	T033	C4315362
27244841	1353	1355	LC	T092	C1561598
27244841	1411	1414	ASD	T033	C4315362
27244841	1415	1424	screening	T058	C1710032
27244841	1428	1436	toddlers	T100	C0682053
27244841	1451	1461	physicians	T097	C0031831
27244841	1474	1487	self-efficacy	T041	C0600564
27244841	1491	1497	caring	T055	C0150499
27244841	1502	1510	children	T100	C0008059
27244841	1516	1519	ASD	T033	C4315362
27244841	1531	1543	primary care	T058	C0033137
27244841	1544	1553	screening	T058	C1710032
27244841	1555	1561	skills	T080	C0008973
27244841	1567	1576	knowledge	T033	C0518904
27244841	1581	1588	improve	T033	C0184511
27244841	1593	1599	timing	T079	C0449243
27244841	1603	1612	diagnosis	T062	C1704656
27244841	1614	1624	initiation	T169	C1704686
27244841	1628	1637	treatment	T061	C0087111
27244841	1639	1654	quality of care	T058	C0034379
27244841	1660	1668	outcomes	T169	C1274040
27244841	1673	1681	children	T100	C0008059
27244841	1687	1690	ASD	T033	C4315362
