27250793|t|Intracellular Metabolism of α,β-Unsaturated Carbonyl Compounds, Acrolein, Crotonaldehyde and Methyl Vinyl Ketone, Active Toxicants in Cigarette Smoke: Participation of Glutathione Conjugation Ability and Aldehyde-Ketone Sensitive Reductase Activity
27250793|a|The major toxicants in cigarette smoke, α,β-unsaturated aldehydes, such as acrolein (ACR) and crotonaldehyde (CA), and α,β-unsaturated ketone, methyl vinyl ketone (MVK), are known to form Michael-type adducts with glutathione (GSH) and consequently cause intracellular GSH depletion, which is involved in cigarette smoke - induced cytotoxicity. We have previously clarified that exposure to cigarette smoke extract (CSE) of a mouse melanoma cell culture medium causes rapid reduction of intracellular GSH levels, and that the GSH - MVK adduct can be detected by LC/MS analysis while the GSH - CA adduct is hardly detected. In the present study, to clarify why the GSH - CA adduct is difficult to detect in the cell medium, we conducted detailed investigation of the structures of the reaction products of ACR, CA, MVK and CSE in the GSH solution or the cell culture medium. The mass spectra indicated that in the presence of the cells, the GSH - CA and GSH - ACR adducts were almost not detected while their corresponding alcohols were detected. On the other hand, both the GSH - MVK adducts and their reduced products were detected. In the absence of the cells, the reaction of GSH with all α,β-unsaturated carbonyls produced only their corresponding adducts. These results show that the GSH adducts of α,β-unsaturated aldehydes, CA and ACR, are quickly reduced by certain intracellular carbonyl reductase(s) and excreted from the cells, unlike the GSH adduct of α,β-unsaturated ketone, MVK. Such a difference in reactivity to the carbonyl reductase might be related to differences in the cytotoxicity of α,β-unsaturated aldehydes and ketones.
27250793	0	24	Intracellular Metabolism	T043	C1524026
27250793	28	62	α,β-Unsaturated Carbonyl Compounds	T109	C0596258
27250793	64	72	Acrolein	T109,T130	C0001204
27250793	74	88	Crotonaldehyde	T109,T131	C0045968
27250793	93	112	Methyl Vinyl Ketone	T109	C0047269
27250793	114	120	Active	T169	C0205177
27250793	121	130	Toxicants	T131	C0599787
27250793	134	149	Cigarette Smoke	T131	C0239059
27250793	168	179	Glutathione	T116,T123	C0017817
27250793	180	191	Conjugation	T044	C1148560
27250793	204	248	Aldehyde-Ketone Sensitive Reductase Activity	T044	C1151208
27250793	259	268	toxicants	T131	C0599787
27250793	272	287	cigarette smoke	T131	C0239059
27250793	289	314	α,β-unsaturated aldehydes	T109	C0001992
27250793	324	332	acrolein	T109,T130	C0001204
27250793	334	337	ACR	T109,T130	C0001204
27250793	343	357	crotonaldehyde	T109,T131	C0045968
27250793	359	361	CA	T109,T131	C0045968
27250793	368	390	α,β-unsaturated ketone	T109	C0022634
27250793	392	411	methyl vinyl ketone	T109	C0047269
27250793	413	416	MVK	T109	C0047269
27250793	437	457	Michael-type adducts	T104	C0596040
27250793	463	474	glutathione	T116,T123	C0017817
27250793	476	479	GSH	T116,T123	C0017817
27250793	504	517	intracellular	T082	C0178719
27250793	518	521	GSH	T116,T123	C0017817
27250793	522	531	depletion	T169	C0333668
27250793	554	569	cigarette smoke	T131	C0239059
27250793	572	579	induced	T169	C0205263
27250793	580	592	cytotoxicity	T049	C0596402
27250793	628	639	exposure to	T080	C0332157
27250793	640	663	cigarette smoke extract	T131	C0239059
27250793	665	668	CSE	T131	C0239059
27250793	675	680	mouse	T015	C0025929
27250793	681	694	melanoma cell	T025	C1513095
27250793	695	709	culture medium	T130	C0010454
27250793	723	732	reduction	T080	C0392756
27250793	736	749	intracellular	T082	C0178719
27250793	750	753	GSH	T116,T123	C0017817
27250793	754	760	levels	T080	C0441889
27250793	775	778	GSH	T116,T123	C0017817
27250793	781	784	MVK	T109	C0047269
27250793	785	791	adduct	T104	C0596040
27250793	799	807	detected	T033	C0442726
27250793	811	825	LC/MS analysis	T059	C0872318
27250793	836	839	GSH	T116,T123	C0017817
27250793	842	844	CA	T109,T131	C0045968
27250793	845	851	adduct	T104	C0596040
27250793	862	870	detected	T033	C0442726
27250793	887	892	study	T062	C2603343
27250793	913	916	GSH	T116,T123	C0017817
27250793	919	921	CA	T109,T131	C0045968
27250793	922	928	adduct	T104	C0596040
27250793	945	951	detect	T033	C0442726
27250793	959	963	cell	T025	C1513095
27250793	964	970	medium	T130	C0010454
27250793	994	1007	investigation	T169	C1292732
27250793	1015	1025	structures	T082	C0026377
27250793	1033	1050	reaction products	T104	C0596040
27250793	1054	1057	ACR	T109,T130	C0001204
27250793	1059	1061	CA	T109,T131	C0045968
27250793	1063	1066	MVK	T109	C0047269
27250793	1071	1074	CSE	T131	C0239059
27250793	1082	1085	GSH	T116,T123	C0017817
27250793	1086	1094	solution	T167	C0037633
27250793	1102	1106	cell	T025	C1513095
27250793	1107	1121	culture medium	T130	C0010454
27250793	1127	1139	mass spectra	T059	C0037813
27250793	1162	1170	presence	T080	C3854307
27250793	1178	1183	cells	T025	C1513095
27250793	1189	1192	GSH	T116,T123	C0017817
27250793	1195	1197	CA	T109,T131	C0045968
27250793	1202	1205	GSH	T116,T123	C0017817
27250793	1208	1211	ACR	T109,T130	C0001204
27250793	1212	1219	adducts	T104	C0596040
27250793	1236	1244	detected	T033	C0442726
27250793	1257	1279	corresponding alcohols	T109,T121	C0001975
27250793	1285	1293	detected	T033	C0442726
27250793	1323	1326	GSH	T116,T123	C0017817
27250793	1329	1332	MVK	T109	C0047269
27250793	1333	1340	adducts	T104	C0596040
27250793	1351	1367	reduced products	T071	C1514468
27250793	1373	1381	detected	T033	C0442726
27250793	1405	1410	cells	T025	C1513095
27250793	1416	1424	reaction	T169	C0443286
27250793	1428	1431	GSH	T116,T123	C0017817
27250793	1441	1466	α,β-unsaturated carbonyls	T109	C0596258
27250793	1501	1508	adducts	T104	C0596040
27250793	1516	1523	results	T169	C1274040
27250793	1538	1541	GSH	T116,T123	C0017817
27250793	1542	1549	adducts	T104	C0596040
27250793	1553	1578	α,β-unsaturated aldehydes	T109	C0001992
27250793	1580	1582	CA	T109,T131	C0045968
27250793	1587	1590	ACR	T109,T130	C0001204
27250793	1604	1611	reduced	T070	C0301630
27250793	1623	1636	intracellular	T082	C0178719
27250793	1637	1658	carbonyl reductase(s)	T116,T126	C1135630
27250793	1681	1686	cells	T025	C1513095
27250793	1699	1702	GSH	T116,T123	C0017817
27250793	1703	1709	adduct	T104	C0596040
27250793	1713	1735	α,β-unsaturated ketone	T109	C0022634
27250793	1737	1740	MVK	T109	C0047269
27250793	1763	1773	reactivity	T169	C0443286
27250793	1781	1799	carbonyl reductase	T044	C1151208
27250793	1839	1851	cytotoxicity	T049	C0596402
