27279849|t|Clinical evaluation of the AutoPulse automated chest compression device for out-of-hospital cardiac arrest in the northern district of Shanghai, China
27279849|a|Whether the AutoPulse automated chest compression device is worthy of clinical use for out-of-hospital cardiac arrest (OHCA) remains controversial. A prospective controlled study was conducted to evaluate the effect of AutoPulse versus manual chest compression for cardiopulmonary resuscitation (CPR) of OHCA patients in the northern district of Shanghai, China. A total of 133 patients with OHCA who were treated at the Emergency Medical Center of the Tenth People's Hospital Affiliated with Tongji University between March 2011 and March 2012 were included. The patients were randomly assigned to the Manual CPR (n = 64) and AutoPulse CPR groups (n = 69) in accordance with the approach of chest compression received. The primary outcome measure was return of spontaneous circulation (ROSC), and the secondary outcome measures included 24-h survival rate, hospital discharge rate, and neurological prognosis at hospital discharge. The ROSC rate of patients with OHCA was significantly higher in the AutoPulse CPR group than in the Manual CPR group (44.9% vs. 23.4%; p = 0.009). The 24-h survival rate of OHCA patients was significantly higher in the AutoPulse CPR group than in the Manual CPR group (39.1% vs. 21.9%; p = 0.03). The hospital discharge rate of the patients with OHCA was significantly higher in the AutoPulse CPR group than in the Manual CPR group (18.8% vs. 6.3%; p = 0.03). The proportion of patients with OHCA and a cerebral performance category score of 1 or 2 points at hospital discharge was higher in the AutoPulse CPR group than in the Manual CPR group, but the difference was not statistically significant (16.2% vs. 13.4%, p = 1.00). Use of the AutoPulse increases CPR success and survival rates in patients with OHCA, but its ability to improve cerebral performance requires further evaluation.
27279849	0	19	Clinical evaluation	T058	C4084924
27279849	27	36	AutoPulse	T074	C0183001
27279849	37	71	automated chest compression device	T074	C0183001
27279849	76	106	out-of-hospital cardiac arrest	T046	C2936490
27279849	114	122	northern	T082	C1709269
27279849	135	143	Shanghai	T083	C0017446
27279849	145	150	China	T083	C0008115
27279849	163	172	AutoPulse	T074	C0183001
27279849	173	207	automated chest compression device	T074	C0183001
27279849	221	229	clinical	T080	C0205210
27279849	230	233	use	T169	C0457083
27279849	238	268	out-of-hospital cardiac arrest	T046	C2936490
27279849	270	274	OHCA	T046	C2936490
27279849	301	329	prospective controlled study	T062	C0033522
27279849	347	355	evaluate	T058	C0220825
27279849	360	369	effect of	T080	C1704420
27279849	370	379	AutoPulse	T074	C0183001
27279849	387	393	manual	T169	C0175674
27279849	394	399	chest	T029	C0817096
27279849	400	411	compression	T061	C0565514
27279849	416	445	cardiopulmonary resuscitation	T061	C0007203
27279849	447	450	CPR	T061	C0007203
27279849	455	459	OHCA	T046	C2936490
27279849	460	468	patients	T101	C0030705
27279849	476	484	northern	T082	C1709269
27279849	497	505	Shanghai	T083	C0017446
27279849	507	512	China	T083	C0008115
27279849	529	537	patients	T101	C0030705
27279849	543	547	OHCA	T046	C2936490
27279849	557	564	treated	T169	C1522326
27279849	572	627	Emergency Medical Center of the Tenth People's Hospital	T073,T093	C0019994
27279849	628	638	Affiliated	T080	C1510826
27279849	644	661	Tongji University	T073,T093	C0020028
27279849	715	723	patients	T101	C0030705
27279849	729	737	randomly	T080	C0439605
27279849	738	746	assigned	T169	C1516050
27279849	754	760	Manual	T169	C0175674
27279849	761	764	CPR	T061	C0007203
27279849	778	787	AutoPulse	T074	C0183001
27279849	788	791	CPR	T061	C0007203
27279849	792	798	groups	T078	C0441833
