27350860|t|Comparison of alkaline phosphatase activity of MC3T3-E1 cells cultured on different Ti surfaces: modified sandblasted with large grit and acid-etched (MSLA), laser-treated, and laser and acid-treated Ti surfaces
27350860|a|In this study, the aim of this study was to evaluate the effect of implant surface treatment on cell differentiation of osteoblast cells. For this purpose, three surfaces were compared: (1) a modified SLA (MSLA: sand-blasted with large grit, acid-etched, and immersed in 0.9% NaCl), (2) a laser treatment (LT: laser treatment) titanium surface and (3) a laser and acid-treated (LAT: laser treatment, acid-etched) titanium surface. The MSLA surfaces were considered as the control group, and LT and LAT surfaces as test groups. Alkaline phosphatase expression (ALP) was used to quantify osteoblastic differentiation of MC3T3-E1 cell. Surface roughness was evaluated by a contact profilometer (URFPAK-SV; Mitutoyo, Kawasaki, Japan) and characterized by two parameters: mean roughness (Ra) and maximum peak-to-valley height (Rt). Scanning electron microscope revealed that MSLA (control group) surface was not as rough as LT, LAT surface (test groups). Alkaline phosphatase expression, the measure of osteoblastic differentiation, and total ALP expression by surface-adherent cells were found to be highest at 21 days for all three surfaces tested (P<.05). Furthermore, ALP expression levels of MSLA and LAT surfaces were significantly higher than expression levels of LT surface-adherent cells at 7, 14, and 21 days, respectively (P<.05). However, ALP expression levels between MSLA and LAT surface were equal at 7, 14, and 21 days (P>.05). This study suggested that MSLA and LAT surfaces exhibited more favorable environment for osteoblast differentiation when compared with LT surface, the results that are important for implant surface modification studies.
27350860	0	10	Comparison	T052	C1707455
27350860	14	43	alkaline phosphatase activity	T044	C1149888
27350860	47	61	MC3T3-E1 cells	T025	C0007600
27350860	84	86	Ti	T196	C0040302
27350860	87	95	surfaces	T082	C0205148
27350860	106	117	sandblasted	T067	C1254366
27350860	129	133	grit	T104	C0440273
27350860	138	149	acid-etched	T067	C1254366
27350860	151	155	MSLA	T196	C0040302
27350860	158	171	laser-treated	T067	C1254366
27350860	177	199	laser and acid-treated	T067	C1254366
27350860	200	202	Ti	T196	C0040302
27350860	203	211	surfaces	T082	C0205148
27350860	220	225	study	T062	C2603343
27350860	243	248	study	T062	C2603343
27350860	256	264	evaluate	T058	C0220825
27350860	287	294	surface	T082	C0205148
27350860	308	328	cell differentiation	T043	C0007589
27350860	332	348	osteoblast cells	T025	C0029418
27350860	374	382	surfaces	T082	C0205148
27350860	448	452	grit	T104	C0440273
27350860	488	492	NaCl	T121,T123,T197	C0037494
27350860	501	516	laser treatment	T067	C1254366
27350860	518	520	LT	T067	C1254366
27350860	522	537	laser treatment	T067	C1254366
27350860	539	547	titanium	T196	C0040302
27350860	548	555	surface	T082	C0205148
27350860	566	588	laser and acid-treated	T067	C1254366
27350860	595	623	laser treatment, acid-etched	T067	C1254366
27350860	625	633	titanium	T196	C0040302
27350860	634	641	surface	T082	C0205148
27350860	647	651	MSLA	T196	C0040302
27350860	652	660	surfaces	T082	C0205148
27350860	684	697	control group	T096	C0009932
27350860	703	705	LT	T196	C0040302
27350860	710	713	LAT	T196	C0040302
27350860	714	722	surfaces	T082	C0205148
27350860	726	737	test groups	T078	C0441833
27350860	739	759	Alkaline phosphatase	T116,T126	C0002059
27350860	760	770	expression	T045	C1171362
27350860	772	775	ALP	T116,T126	C0002059
27350860	798	826	osteoblastic differentiation	T043	C1159974
27350860	830	843	MC3T3-E1 cell	T025	C0007600
27350860	845	852	Surface	T082	C0205148
27350860	853	862	roughness	T080	C0205556
27350860	867	876	evaluated	T058	C0220825
27350860	882	902	contact profilometer	T074	C0025080
