27358636|t|Diagnostic value of diffusion weighted MRI and ADC in differential diagnosis of cavernous hemangioma of the liver
27358636|a|To investigate the use of diffusion weighted magnetic resonance imaging (DWI) and the apparent diffusion coefficient (ADC) values in the diagnosis of hemangioma. The study population consisted of 72 patients with liver masses larger than 1 cm (72 focal lesions). DWI examination with a b value of 600 s/mm2 was carried out for all patients. After DWI examination, an ADC map was created and ADC values were measured for 72 liver masses and normal liver tissue (control group). The average ADC values of normal liver tissue and focal liver lesions, the " cut-off " ADC values, and the diagnostic sensitivity and specificity of the ADC map in diagnosing hemangioma, benign and malignant lesions were researched. Of the 72 liver masses, 51 were benign and 21 were malignant. Benign lesions comprised 38 hemangiomas and 13 simple cysts. Malignant lesions comprised 9 hepatocellular carcinomas, and 12 metastases. The highest ADC values were measured for cysts (3.782±0.53×10(-3) mm(2)/s) and hemangiomas (2.705±0.63×10(-3) mm(2)/s). The average ADC value of hemangiomas was significantly higher than malignant lesions and the normal control group (p<0.001). The average ADC value of cysts were significantly higher when compared to hemangiomas and normal control group (p<0.001). To distinguish hemangiomas from malignant liver lesions, the " cut-off " ADC value of 1.800×10(-3) mm(2)/s had a sensitivity of 97.4% and a specificity of 90.9%. To distinguish hemangioma from normal liver parenchyma the " cut-off" value of 1.858×10(-3) mm(2)/s had a sensitivity of 97.4% and a specificity of 95.7%. To distinguish benign liver lesions from malignant liver lesions the " cut-off" value of 1.800×10(-3) mm(2)/s had a sensitivity of 96.1% and a specificity of 90.0%. DWI and quantitative measurement of ADC values can be used in differential diagnosis of benign and malignant liver lesions and also in the diagnosis and differentiation of hemangiomas. When dynamic examination cannot distinguish cases with vascular metastasis and lesions from hemangioma, DWI and ADC values can be useful in the primary diagnosis and differential diagnosis. The technique does not require contrast material, so it can safely be used in patients with renal failure.
27358636	0	16	Diagnostic value	T169	C0348026
27358636	20	42	diffusion weighted MRI	T060	C0598801
27358636	47	50	ADC	T077	C3890194
27358636	54	76	differential diagnosis	T060	C0011906
27358636	80	100	cavernous hemangioma	T191	C0018920
27358636	108	113	liver	T023	C0023884
27358636	117	128	investigate	T169	C1292732
27358636	133	139	use of	T169	C1524063
27358636	140	185	diffusion weighted magnetic resonance imaging	T060	C0598801
27358636	187	190	DWI	T060	C0598801
27358636	200	230	apparent diffusion coefficient	T077	C3890194
27358636	232	235	ADC	T077	C3890194
27358636	237	243	values	T081	C1522609
27358636	251	260	diagnosis	T062	C1704656
27358636	264	274	hemangioma	T191	C0018916
27358636	280	296	study population	T098	C2348561
27358636	313	321	patients	T101	C0030705
27358636	327	339	liver masses	T047	C0240225
27358636	361	374	focal lesions	T033	C0221198
27358636	377	380	DWI	T060	C0598801
27358636	381	392	examination	T058	C0582103
27358636	445	453	patients	T101	C0030705
27358636	461	464	DWI	T060	C0598801
27358636	465	476	examination	T058	C0582103
27358636	481	484	ADC	T077	C3890194
27358636	505	508	ADC	T077	C3890194
27358636	509	515	values	T081	C1522609
27358636	537	549	liver masses	T047	C0240225
27358636	554	560	normal	T080	C0205307
27358636	561	573	liver tissue	T023	C0736268
27358636	575	588	control group	T096	C0009932
27358636	595	602	average	T081	C1510992
27358636	603	606	ADC	T077	C3890194
27358636	607	613	values	T081	C1522609
27358636	617	623	normal	T080	C0205307
27358636	624	636	liver tissue	T023	C0736268
27358636	641	660	focal liver lesions	T033	C0577053
27358636	668	675	cut-off	T081	C1522609
27358636	678	681	ADC	T077	C3890194
27358636	682	688	values	T081	C1522609
27358636	698	720	diagnostic sensitivity	T081	C1511883
27358636	725	736	specificity	T081	C1511884
27358636	744	747	ADC	T077	C3890194
27358636	755	765	diagnosing	T062	C1704656
27358636	766	776	hemangioma	T191	C0018916
27358636	778	784	benign	T080	C0205183
27358636	789	798	malignant	T080	C0205282
27358636	799	806	lesions	T033	C0221198
27358636	834	846	liver masses	T047	C0240225
27358636	856	862	benign	T080	C0205183
27358636	875	884	malignant	T080	C0205282
27358636	886	892	Benign	T080	C0205183
27358636	893	900	lesions	T033	C0221198
