27391754|t|Role of the Membrane for Mechanosensing by Tethered Channels
27391754|a|Biologically important membrane channels are gated by force at attached tethers. Here, we generically characterize the nontrivial interplay of force, membrane tension, and channel deformations that can affect gating. A central finding is that minute conical channel deformation under force leads to significant energy release during opening. We also calculate channel-channel interactions and show that they can amplify the force sensitivity of tethered channels.
27391754	12	20	Membrane	T026	C0596901
27391754	25	39	Mechanosensing	T044	C1138568
27391754	43	51	Tethered	T169	C0577538
27391754	52	60	Channels	T116,T123	C0022009
27391754	61	73	Biologically	T080	C0205460
27391754	84	101	membrane channels	T116,T123	C0022009
27391754	106	111	gated	T043	C0022008
27391754	115	120	force	T067	C0441722
27391754	124	132	attached	T067	C3714578
27391754	133	140	tethers	T169	C0577538
27391754	204	209	force	T067	C0441722
27391754	211	227	membrane tension	T043	C0311434
27391754	233	240	channel	T116,T123	C0022009
27391754	241	253	deformations	T033	C1704258
27391754	270	276	gating	T043	C0022008
27391754	311	326	conical channel	T116,T123	C0022009
27391754	327	338	deformation	T033	C1704258
27391754	345	350	force	T067	C0441722
27391754	372	386	energy release	T039	C0014272
27391754	394	401	opening	T043	C0022008
27391754	421	449	channel-channel interactions	T044	C0872079
27391754	485	490	force	T067	C0441722
27391754	491	502	sensitivity	T044	C1138568
27391754	506	514	tethered	T169	C0577538
27391754	515	523	channels	T116,T123	C0022009
