27406386|t|Expression of metalloproteinases (MMP-2 and MMP-9) in basal-cell carcinoma
27406386|a|The aim of this study was to compare the expressions of mRNA for metalloproteinases (MMP-2 and MMP-9) and type IV collagen in two different histological types of basal-cell carcinoma (BCCs; nodular and infiltrative) and in normal tissues from the tumor interface. The study included biopsy specimens of the skin involved with BCC and normal skin adjacent the lesion. The expressions of mRNA for MMP-2, MMP-9 and type IV collagen were determined by means of RT-PCR (Reverse transcription polymerase chain reaction). The level of type IV collagen mRNA in nodular and infiltrative BCCs turned out to be significantly lower, and the expressions of MMP-2 and MMP-9 mRNA significantly higher than in normal tissues adjacent to these tumors. The expression of mRNA for MMP-9 but not for MMP-2 was significantly higher in infiltrative BCCs than in the nodular BCCs. In turn, normal tissues adjacent to nodular BCCs showed significantly higher levels of mRNA for MMP-2 and significantly lower levels of type IV collagen mRNA than the normal tissues from the interface of infiltrative BCCs. The findings suggest that MMP-2 and MMP-9 could be used as prognostic factors of BCCs.
27406386	0	10	Expression	T045	C1171362
27406386	14	32	metalloproteinases	T116,T126	C0025543
27406386	34	39	MMP-2	T116,T126	C0172537
27406386	44	49	MMP-9	T116,T126	C0165519
27406386	54	74	basal-cell carcinoma	T191	C0007117
27406386	79	82	aim	T078	C1947946
27406386	91	96	study	T062	C0681814
27406386	104	111	compare	T052	C1707455
27406386	116	127	expressions	T045	C0017262
27406386	131	135	mRNA	T028	C2825314
27406386	140	158	metalloproteinases	T116,T126	C0025543
27406386	160	165	MMP-2	T116,T126	C0172537
27406386	170	175	MMP-9	T116,T126	C0165519
27406386	181	197	type IV collagen	T116,T123	C0009333
27406386	215	233	histological types	T201	C0449574
27406386	237	257	basal-cell carcinoma	T191	C0007117
27406386	259	263	BCCs	T191	C0007117
27406386	265	272	nodular	T191	C4083056
27406386	277	289	infiltrative	T191	C1304298
27406386	298	312	normal tissues	T033	C0332441
27406386	322	327	tumor	T191	C0027651
27406386	328	337	interface	T080	C0205556
27406386	343	348	study	T062	C0681814
27406386	358	374	biopsy specimens	T024	C0677862
27406386	382	386	skin	T022	C1123023
27406386	387	395	involved	T169	C1314939
27406386	401	404	BCC	T191	C0007117
27406386	409	420	normal skin	T022	C1123023
27406386	421	429	adjacent	T082	C0205117
27406386	434	440	lesion	T033	C0221198
27406386	446	457	expressions	T045	C0017262
27406386	461	465	mRNA	T028	C2825314
27406386	470	475	MMP-2	T116,T126	C0172537
27406386	477	482	MMP-9	T116,T126	C0165519
27406386	487	503	type IV collagen	T116,T123	C0009333
27406386	509	522	determined by	T080	C0521095
27406386	532	538	RT-PCR	T063	C0599161
27406386	540	587	Reverse transcription polymerase chain reaction	T063	C0599161
27406386	594	599	level	T080	C0441889
27406386	603	619	type IV collagen	T116,T123	C0009333
27406386	620	624	mRNA	T028	C2825314
27406386	628	635	nodular	T191	C4083056
27406386	640	657	infiltrative BCCs	T191	C1304298
27406386	675	694	significantly lower	T081	C4055638
27406386	704	715	expressions	T045	C0017262
27406386	719	724	MMP-2	T116,T126	C0172537
27406386	729	734	MMP-9	T116,T126	C0165519
27406386	735	739	mRNA	T028	C2825314
27406386	740	760	significantly higher	T081	C4055637
27406386	769	783	normal tissues	T033	C0332441
27406386	784	792	adjacent	T082	C0205117
27406386	802	808	tumors	T191	C0027651
27406386	814	824	expression	T045	C0017262
27406386	828	832	mRNA	T028	C2825314
27406386	837	842	MMP-9	T116,T126	C0165519
27406386	855	860	MMP-2	T116,T126	C0172537
27406386	865	885	significantly higher	T081	C4055637
27406386	889	906	infiltrative BCCs	T191	C1304298
27406386	919	931	nodular BCCs	T191	C4083056
27406386	942	956	normal tissues	T033	C0332441
27406386	957	965	adjacent	T082	C0205117
27406386	969	981	nodular BCCs	T191	C4083056
27406386	989	1009	significantly higher	T081	C4055637
27406386	1010	1016	levels	T080	C0441889
27406386	1020	1024	mRNA	T028	C2825314
27406386	1029	1034	MMP-2	T116,T126	C0172537
27406386	1039	1058	significantly lower	T081	C4055638
27406386	1059	1065	levels	T080	C0441889
27406386	1069	1085	type IV collagen	T116,T123	C0009333
27406386	1086	1090	mRNA	T028	C2825314
27406386	1100	1114	normal tissues	T033	C0332441
27406386	1124	1133	interface	T080	C0205556
27406386	1137	1154	infiltrative BCCs	T191	C1304298
27406386	1160	1168	findings	T033	C0243095
27406386	1169	1176	suggest	T078	C1705535
27406386	1182	1187	MMP-2	T116,T126	C0172537
27406386	1192	1197	MMP-9	T116,T126	C0165519
27406386	1215	1233	prognostic factors	T201	C1514474
27406386	1237	1241	BCCs	T191	C0007117
