27445389|t|Complete Genome Sequence Analysis of a Naturally Reassorted Infectious Bursal Disease Virus from India
27445389|a|The novel infectious bursal disease virus (IBDV) isolate BGE14/ABT1/MVC/India is a very virulent IBDV that was isolated from broiler flocks in southern parts of India during 2014. Here, we report, for the first time in India, the complete genome sequence of BGE14/ABT1/MVC/India, a reassortment strain with segments A and B derived from a very virulent IBDV strain and an attenuated IBDV, respectively. The findings from this study provide additional insight into the genetic exchange between attenuated and very virulent strains of IBDV circulating in the field.
27445389	9	33	Genome Sequence Analysis	T059	C3854164
27445389	60	91	Infectious Bursal Disease Virus	T005	C0021338
27445389	97	102	India	T083	C0021201
27445389	113	144	infectious bursal disease virus	T005	C0021338
27445389	146	150	IBDV	T005	C0021338
27445389	152	159	isolate	T123	C3494870
27445389	160	180	BGE14/ABT1/MVC/India	T005	C0021338
27445389	191	199	virulent	T080	C1520022
27445389	200	204	IBDV	T005	C0021338
27445389	214	222	isolated	T123	C3494870
27445389	228	242	broiler flocks	T012	C0005595
27445389	264	269	India	T083	C0021201
27445389	322	327	India	T083	C0021201
27445389	342	357	genome sequence	T028	C0017428
27445389	361	381	BGE14/ABT1/MVC/India	T005	C0021338
27445389	398	404	strain	T001	C1518614
27445389	410	426	segments A and B	T028	C0017428
27445389	447	455	virulent	T080	C1520022
27445389	456	460	IBDV	T005	C0021338
27445389	461	467	strain	T001	C1518614
27445389	475	485	attenuated	T052	C0599946
27445389	486	490	IBDV	T005	C0021338
27445389	571	587	genetic exchange	T045	C1749881
27445389	596	606	attenuated	T052	C0599946
27445389	616	624	virulent	T080	C1520022
27445389	625	632	strains	T001	C1518614
27445389	636	640	IBDV	T005	C0021338
27445389	641	652	circulating	T169	C0175630
27445389	653	665	in the field	T082	C3539073
