27465939|t|microRNA-145 Mediates the Inhibitory Effect of Adipose Tissue -Derived Stromal Cells on Prostate Cancer
27465939|a|Adipose-derived stromal cell (ASC), known as one of the mesenchymal stem cells (MSCs), is a promising tool for regenerative medicine; however, the effect of ASCs on tumor growth has not been studied sufficiently. We investigated the hypothesis that ASCs have an inhibitory effect on metastatic tumor progression. To evaluate the in vitro inhibitory effect of ASCs on metastatic prostate cancer (PCa), direct coculture and indirect separate culture experiments with PC3M-luc2 cells and human ASCs were performed, and ASCs were administered to PC3M-luc2 cell -derived tumor -bearing nude mice for in vivo experiment. We also performed exosome microRNA (miRNA) array analysis to explore a mechanistic insight into the effect of ASCs on PCa cell proliferation / apoptosis. Both in vitro and in vivo experiments exhibited the inhibitory effect of ASCs on PC3M-luc2 cell proliferation, inducing apoptosis and PCa growth, respectively. Among upregulated miRNAs in ASCs compared with fibroblasts, we focused on miR-145, which was known as a tumor suppressor. ASC -derived conditioned medium (CM) significantly inhibited PC3M-luc2 cell proliferation, inducing apoptosis, but the effect was canceled by miR-145 knockdown in ASCs. ASC miR-145 knockdown CM also reduced the expression of Caspase 3 / 7 with increased antiapoptotic protein, BclxL, expression in PC3M-luc2 cells. This study provides preclinical data that ASCs inhibit PCa growth, inducing PCa cell apoptosis with reduced activity of BclxL, at least in part, by miR-145, including exosomes released from ASCs, suggesting that ASC administration could be a novel and promising therapeutic strategy in patients with PCa.
27465939	0	12	microRNA-145	T114	C2716184
27465939	26	36	Inhibitory	T052	C3463820
27465939	37	43	Effect	T080	C1280500
27465939	47	61	Adipose Tissue	T024	C0001527
27465939	71	84	Stromal Cells	T025	C0162597
27465939	88	103	Prostate Cancer	T191	C0600139
27465939	104	138	Adipose-derived stromal cell (ASC)	T025	C0162597
27465939	160	189	mesenchymal stem cells (MSCs)	T025	C1257975
27465939	215	236	regenerative medicine	T091	C1257974
27465939	251	257	effect	T080	C1280500
27465939	261	265	ASCs	T025	C0162597
27465939	269	281	tumor growth	T191	C0598934
27465939	320	332	investigated	T169	C1292732
27465939	337	347	hypothesis	T078	C1512571
27465939	353	357	ASCs	T025	C0162597
27465939	366	376	inhibitory	T052	C3463820
27465939	377	383	effect	T080	C1280500
27465939	387	415	metastatic tumor progression	T191	C0178874
27465939	420	428	evaluate	T052	C1516048
27465939	433	441	in vitro	T080	C1533691
27465939	442	452	inhibitory	T052	C3463820
27465939	453	459	effect	T080	C1280500
27465939	463	467	ASCs	T025	C0162597
27465939	471	503	metastatic prostate cancer (PCa)	T191	C0936223
27465939	512	521	coculture	T059	C0282547
27465939	544	563	culture experiments	T059	C0430400
27465939	569	584	PC3M-luc2 cells	T025	C0682523
27465939	589	594	human	T016	C0086418
27465939	595	599	ASCs	T025	C0162597
27465939	620	624	ASCs	T025	C0162597
27465939	630	642	administered	T169	C1521801
27465939	646	660	PC3M-luc2 cell	T025	C0682523
27465939	670	675	tumor	T033	C3273930
27465939	685	694	nude mice	T015	C0025932
27465939	699	706	in vivo	T082	C1515655
27465939	707	717	experiment	T062	C0681814
27465939	737	744	exosome	T026	C2350332
27465939	745	761	microRNA (miRNA)	T114,T123	C1101610
27465939	762	776	array analysis	T059	C1449653
27465939	790	809	mechanistic insight	T169	C0441712
27465939	819	825	effect	T080	C1280500
27465939	829	833	ASCs	T025	C0162597
27465939	837	845	PCa cell	T025	C0597032
27465939	846	859	proliferation	T043	C0596290
27465939	862	871	apoptosis	T043	C0162638
27465939	878	886	in vitro	T080	C1533691
27465939	891	898	in vivo	T082	C1515655
27465939	899	910	experiments	T062	C0681814
27465939	925	935	inhibitory	T052	C3463820
27465939	936	942	effect	T080	C1280500
27465939	946	950	ASCs	T025	C0162597
27465939	954	963	PC3M-luc2	T025	C0682523
27465939	964	982	cell proliferation	T043	C0596290
27465939	993	1002	apoptosis	T043	C0162638
27465939	1007	1010	PCa	T191	C0936223
27465939	1011	1017	growth	T191	C1516170
27465939	1039	1050	upregulated	T044	C0041904
27465939	1051	1057	miRNAs	T114,T123	C1101610
27465939	1061	1065	ASCs	T025	C0162597
27465939	1080	1091	fibroblasts	T025	C0016030
27465939	1107	1114	miR-145	T028	C1537799
27465939	1137	1153	tumor suppressor	T028	C0079427
27465939	1155	1158	ASC	T025	C0162597
27465939	1168	1191	conditioned medium (CM)	T130	C0162518
27465939	1206	1215	inhibited	T052	C3463820
27465939	1216	1225	PC3M-luc2	T025	C0682523
27465939	1226	1244	cell proliferation	T043	C0596290
27465939	1255	1264	apoptosis	T043	C0162638
27465939	1274	1280	effect	T080	C1280500
27465939	1297	1304	miR-145	T028	C1537799
27465939	1305	1314	knockdown	T063	C2350567
27465939	1318	1322	ASCs	T025	C0162597
27465939	1324	1327	ASC	T025	C0162597
27465939	1328	1335	miR-145	T028	C1537799
27465939	1336	1345	knockdown	T063	C2350567
27465939	1346	1348	CM	T130	C0162518
27465939	1366	1376	expression	T045	C1171362
27465939	1380	1389	Caspase 3	T116,T126	C0291573
27465939	1392	1393	7	T116,T126	C0537969
27465939	1409	1422	antiapoptotic	T120	C2986514
27465939	1423	1430	protein	T116,T123	C0033684
27465939	1432	1437	BclxL	T116,T123	C0219472
27465939	1439	1449	expression	T045	C1171362
27465939	1453	1468	PC3M-luc2 cells	T025	C0682523
27465939	1475	1480	study	T062	C2603343
27465939	1490	1501	preclinical	T080	C1709630
27465939	1512	1516	ASCs	T025	C0162597
27465939	1517	1524	inhibit	T052	C3463820
27465939	1525	1528	PCa	T191	C0936223
27465939	1529	1535	growth	T191	C1516170
27465939	1546	1549	PCa	T191	C0936223
27465939	1550	1554	cell	T025	C0007634
27465939	1555	1564	apoptosis	T043	C0162638
27465939	1578	1586	activity	T052	C0441655
27465939	1590	1595	BclxL	T116,T123	C0219472
27465939	1618	1625	miR-145	T028	C1537799
27465939	1637	1645	exosomes	T026	C2350332
27465939	1660	1664	ASCs	T025	C0162597
27465939	1682	1685	ASC	T025	C0162597
27465939	1686	1700	administration	T169	C1521801
27465939	1732	1743	therapeutic	T169	C0302350
27465939	1756	1764	patients	T101	C0030705
27465939	1770	1773	PCa	T191	C0936223
