27475688|t|Comparison of the analgesic efficacy of oral ketorolac versus intramuscular tramadol after third molar surgery: A parallel, double-blind, randomized, placebo-controlled clinical trial
27475688|a|Preemptive analgesia is considered an alternative for treating the postsurgical pain of third molar removal. The aim of this study was to evaluate the preemptive analgesic efficacy of oral ketorolac versus intramuscular tramadol after a mandibular third molar surgery. A parallel, double-blind, randomized, placebo-controlled clinical trial was carried out. Thirty patients were randomized into two treatment groups using a series of random numbers: Group A, oral ketorolac 10 mg plus intramuscular placebo (1 mL saline solution); or Group B, oral placebo (similar tablet to oral ketorolac) plus intramuscular tramadol 50 mg diluted in 1 mL saline solution. These treatments were given 30 min before the surgery. We evaluated the time of first analgesic rescue medication, pain intensity, total analgesic consumption and adverse effects. Patients taking oral ketorolac had longer time of analgesic covering and less postoperative pain when compared with patients receiving intramuscular tramadol. According to the VAS and UAC results, this study suggests that 10 mg of oral ketorolac had superior analgesic effect than 50 mg of tramadol when administered before a mandibular third molar surgery.
27475688	18	27	analgesic	T109,T121,T131	C0002771
27475688	28	36	efficacy	T080	C1280519
27475688	40	44	oral	T169	C1527415
27475688	45	54	ketorolac	T109,T121	C0073631
27475688	62	75	intramuscular	T169	C1556154
27475688	76	84	tramadol	T109,T121	C0040610
27475688	91	102	third molar	T023	C0026369
27475688	103	110	surgery	T061	C0543467
27475688	114	122	parallel	T062	C2826345
27475688	124	136	double-blind	T062	C0013072
27475688	138	148	randomized	T062	C0034656
27475688	150	168	placebo-controlled	T062	C1706408
27475688	169	183	clinical trial	T062	C0008976
27475688	184	204	Preemptive analgesia	T061	C1514388
27475688	222	233	alternative	T077	C1523987
27475688	238	246	treating	T169	C1522326
27475688	251	268	postsurgical pain	T184	C0030201
27475688	272	283	third molar	T023	C0026369
27475688	284	291	removal	T061	C0728940
27475688	322	330	evaluate	T058	C0220825
27475688	335	355	preemptive analgesic	T061	C1514388
27475688	356	364	efficacy	T080	C1280519
27475688	368	372	oral	T169	C1527415
27475688	373	382	ketorolac	T109,T121	C0073631
27475688	390	403	intramuscular	T169	C1556154
27475688	404	412	tramadol	T109,T121	C0040610
27475688	421	431	mandibular	T023	C0024687
27475688	432	443	third molar	T023	C0026369
27475688	444	451	surgery	T061	C0543467
27475688	455	463	parallel	T062	C2826345
27475688	465	477	double-blind	T062	C0013072
27475688	479	489	randomized	T062	C0034656
27475688	491	509	placebo-controlled	T062	C1706408
27475688	510	524	clinical trial	T062	C0008976
27475688	549	557	patients	T101	C0030705
27475688	563	573	randomized	T062	C0034656
27475688	583	592	treatment	T061	C0087111
27475688	593	599	groups	T078	C0441833
27475688	634	641	Group A	T185	C0441835
27475688	643	647	oral	T169	C1527415
27475688	648	657	ketorolac	T109,T121	C0073631
27475688	669	682	intramuscular	T169	C1556154
27475688	683	690	placebo	T122	C1696465
27475688	697	712	saline solution	T167	C0036082
27475688	718	725	Group B	T185	C0008902
27475688	727	731	oral	T169	C1527415
27475688	732	739	placebo	T122	C1696465
27475688	749	755	tablet	T122	C0039225
27475688	759	763	oral	T169	C1527415
27475688	764	773	ketorolac	T109,T121	C0073631
27475688	780	793	intramuscular	T169	C1556154
27475688	794	802	tramadol	T109,T121	C0040610
27475688	809	816	diluted	T169	C1948037
27475688	825	840	saline solution	T167	C0036082
27475688	848	858	treatments	T061	C0087111
27475688	888	895	surgery	T061	C0543467
27475688	900	909	evaluated	T058	C0220825
27475688	928	955	analgesic rescue medication	T121	C0013227
27475688	957	971	pain intensity	T201	C1320357
27475688	973	1000	total analgesic consumption	UnknownType	C0678263
27475688	1005	1020	adverse effects	T046	C0879626
27475688	1022	1030	Patients	T101	C0030705
27475688	1038	1042	oral	T169	C1527415
27475688	1043	1052	ketorolac	T109,T121	C0073631
27475688	1057	1068	longer time	T079	C0040223
27475688	1072	1090	analgesic covering	T033	C0948482
27475688	1095	1099	less	T080	C0547044
27475688	1100	1118	postoperative pain	T184	C0030201
27475688	1138	1146	patients	T101	C0030705
27475688	1157	1170	intramuscular	T169	C1556154
27475688	1171	1179	tramadol	T109,T121	C0040610
27475688	1198	1201	VAS	T060	C0042815
27475688	1206	1209	UAC	T074	C0879186
27475688	1210	1217	results	T169	C1274040
27475688	1253	1257	oral	T169	C1527415
27475688	1258	1267	ketorolac	T109,T121	C0073631
27475688	1281	1297	analgesic effect	T033	C0948482
27475688	1312	1320	tramadol	T109,T121	C0040610
27475688	1348	1358	mandibular	T023	C0024687
27475688	1359	1370	third molar	T023	C0026369
27475688	1371	1378	surgery	T061	C0543467
