27514440|t|Isolation and characterization of lignocellulose nanofibers from different wheat straw pulps
27514440|a|Wheat straw was cooked under different pulping processes: Soda (100°C, 7% NaOH, 150min), Kraft (170°C, 16% alkalinity, 25% sulfidity, 40min) and Organosolv (210°C, 60% ethanol, 60min). Once the pulps were obtained, lignocellulose nanofibers (LCNF) were isolated by mechanical process and TEMPO -mediated oxidation followed by a high pressure homogenization. After pulping process, the different pulps were characterized and its chemical composition was determined. The pulps characterization indicates that the Soda process is the process that, despite producing less delignification, retains much of the hemicelluloses in the pulp, being this content a key factor in the nanofibrillation process. Regarding the LCNF obtained by mechanical process, those nanofibers isolated from Organosolv wheat pulp (OWP) and Kraft wheat pulp (KWP) show low values for nanofibrillation yield, specific surface area and greater diameter. However, those nanofibers isolated from Soda wheat pulp (SWP) reach much higher values for these parameters and presents a diameter of 14nm, smaller than those obtained by TEMPO -mediated oxidation from OWP. Smaller diameters are generally obtained in TEMPO - oxidized LCNF. This work concludes that the lignin content does not affect greatly to obtain LCNF as does the hemicellulose content, so it is accurate to use a soft pulping process.
27514440	0	9	Isolation	T059	C0220862
27514440	14	30	characterization	T052	C1880022
27514440	34	48	lignocellulose	T109	C0064974
27514440	49	59	nanofibers	T073	C1881960
27514440	75	80	wheat	T168	C0043137
27514440	81	86	straw	T109	C4047917
27514440	87	92	pulps	T167	C0439861
27514440	93	98	Wheat	T168	C0043137
27514440	99	104	straw	T109	C4047917
27514440	109	115	cooked	T056	C0335326
27514440	132	139	pulping	T169	C0205245
27514440	140	149	processes	T067	C1522240
27514440	151	155	Soda	T131,T197	C0007468
27514440	167	171	NaOH	T131,T197	C0037517
27514440	182	187	Kraft	T067	C1522240
27514440	200	210	alkalinity	T081	C0920750
27514440	238	248	Organosolv	T067	C1522240
27514440	261	268	ethanol	T109,T121	C0001962
27514440	287	292	pulps	T167	C0439861
27514440	308	322	lignocellulose	T109	C0064974
27514440	323	333	nanofibers	T073	C1881960
27514440	335	339	LCNF	T073	C1881960
27514440	358	376	mechanical process	T070	C2350456
27514440	381	386	TEMPO	T109,T121	C0076084
27514440	397	406	oxidation	T044	C0030011
27514440	426	434	pressure	T169	C1306345
27514440	435	449	homogenization	T067	C1522240
27514440	457	464	pulping	T169	C0205245
27514440	465	472	process	T067	C1522240
27514440	488	493	pulps	T167	C0439861
27514440	499	512	characterized	T052	C1880022
27514440	521	541	chemical composition	T070	C0243176
27514440	546	556	determined	T080	C0521095
27514440	562	567	pulps	T167	C0439861
27514440	568	584	characterization	T052	C1880022
27514440	604	608	Soda	T131,T197	C0007468
27514440	609	616	process	T067	C1522240
27514440	624	631	process	T067	C1522240
27514440	698	712	hemicelluloses	T109	C0062221
27514440	720	724	pulp	T167	C0439861
27514440	737	744	content	T077	C0456205
27514440	751	757	factor	T169	C1521761
27514440	765	789	nanofibrillation process	T067	C1522240
27514440	805	809	LCNF	T073	C1881960
27514440	822	840	mechanical process	T070	C2350456
27514440	848	858	nanofibers	T073	C1881960
27514440	873	894	Organosolv wheat pulp	T167	C0439861
27514440	896	899	OWP	T167	C0439861
27514440	905	921	Kraft wheat pulp	T167	C0439861
27514440	923	926	KWP	T167	C0439861
27514440	933	943	low values	T077	C1708754
27514440	948	970	nanofibrillation yield	T081	C0392762
27514440	981	993	surface area	T082	C0205146
27514440	998	1005	greater	T081	C1704243
27514440	1006	1014	diameter	T081	C1301886
27514440	1031	1041	nanofibers	T073	C1881960
27514440	1056	1071	Soda wheat pulp	T167	C0439861
27514440	1073	1076	SWP	T167	C0439861
27514440	1089	1102	higher values	T077	C1708366
27514440	1113	1123	parameters	UnknownType	C0683582
27514440	1139	1147	diameter	T081	C1301886
27514440	1157	1164	smaller	T081	C0700321
27514440	1188	1193	TEMPO	T109,T121	C0076084
27514440	1204	1213	oxidation	T044	C0030011
27514440	1219	1222	OWP	T167	C0439861
27514440	1224	1231	Smaller	T081	C0700321
27514440	1232	1241	diameters	T081	C1301886
27514440	1268	1273	TEMPO	T109,T121	C0076084
27514440	1276	1284	oxidized	T044	C0030011
27514440	1285	1289	LCNF	T073	C1881960
27514440	1296	1300	work	T057	C0043227
27514440	1320	1326	lignin	T109,T123	C0023705
27514440	1327	1334	content	T077	C0456205
27514440	1335	1350	does not affect	T077	C2986417
27514440	1351	1358	greatly	T033	C3840786
27514440	1369	1373	LCNF	T073	C1881960
27514440	1386	1399	hemicellulose	T109	C0062221
27514440	1400	1407	content	T077	C0456205
27514440	1418	1426	accurate	T080	C0443131
27514440	1436	1440	soft	T080	C0205358
27514440	1441	1448	pulping	T169	C0205245
27514440	1449	1456	process	T067	C1522240
