27550416|t|Modulation of IL-6 induced RANKL expression in arthritic synovium by a transcription factor SOX5
27550416|a|Receptor activator of nuclear factor κB ligand (RANKL) is critically involved in bone erosion of rheumatoid arthritis (RA). We previously reported association between younger age at onset of RA and a RANKL promoter SNP that conferred an elevated promoter activity via binding to a transcription factor SOX5. Here we study the regulation of SOX5 levels in relation to RANKL expression in RA synovial fibroblasts (SF) and the development of bone erosion in the collagen-induced arthritis (CIA) mouse. Our data indicated SOX5 levels were higher in synovium and synovial fluid from RA compared to osteoarthritis patients. Pro-inflammatory cytokines upregulated SOX5 and RANKL expression in both primary RA SF and the rheumatoid synovial fibroblast cell line, MH7A. Overexpression of SOX5 resulted in significantly increased RANKL levels, while knockdown of SOX5 resulted in diminished IL-6 mediated RANKL upregulation in MH7A cells. Chromatin immunoprecipitation (ChIP) showed approximately 3-fold enrichment of RANKL-specific DNA in anti-SOX5 immunoprecipitate in IL-6 treated MH7A cells as compared to untreated cells. Locally silencing SOX5 gene significantly diminished RANKL positive cells and bone erosion in CIA mice. These findings suggest SOX5 is an important regulator of IL-6 - induced RANKL expression in RA SF.
27550416	0	10	Modulation	T082	C0443264
27550416	14	18	IL-6	T116,T129	C0021760
27550416	19	26	induced	T169	C0205263
27550416	27	32	RANKL	T116,T123	C0666364
27550416	33	43	expression	T045	C1171362
27550416	47	56	arthritic	T047	C0003864
27550416	57	65	synovium	T023	C0039099
27550416	71	96	transcription factor SOX5	T116,T123	C2350546
27550416	97	143	Receptor activator of nuclear factor κB ligand	T116,T123	C0666364
27550416	145	150	RANKL	T116,T123	C0666364
27550416	155	165	critically	T080	C1511545
27550416	178	190	bone erosion	T046	C0587240
27550416	194	214	rheumatoid arthritis	T047	C0003873
27550416	216	218	RA	T047	C0003873
27550416	224	234	previously	T079	C0205156
27550416	264	275	younger age	T032	C0001779
27550416	288	290	RA	T047	C0003873
27550416	297	302	RANKL	T116,T123	C0666364
27550416	312	315	SNP	T086	C0752046
27550416	334	342	elevated	T080	C3163633
27550416	365	372	binding	T052	C1145667
27550416	378	403	transcription factor SOX5	T116,T123	C2350546
27550416	413	418	study	T062	C2603343
27550416	423	433	regulation	T043	C1157519
27550416	437	441	SOX5	T116,T123	C2350546
27550416	464	469	RANKL	T116,T123	C0666364
27550416	470	480	expression	T045	C1171362
27550416	484	486	RA	T047	C0003873
27550416	487	495	synovial	T023	C0039099
27550416	496	507	fibroblasts	T025	C0016030
27550416	509	511	SF	T025	C0016030
27550416	521	532	development	T169	C1527148
27550416	536	548	bone erosion	T046	C0587240
27550416	556	582	collagen-induced arthritis	T050	C0971858
27550416	584	587	CIA	T050	C0971858
27550416	589	594	mouse	T015	C0026809
27550416	600	604	data	T170	C0150098
27550416	605	614	indicated	T033	C1444656
27550416	615	619	SOX5	T116,T123	C2350546
27550416	642	650	synovium	T023	C0039099
27550416	655	669	synovial fluid	T031	C0039097
27550416	675	677	RA	T047	C0003873
27550416	678	686	compared	T052	C1707455
27550416	690	704	osteoarthritis	T047	C0029408
27550416	705	713	patients	T101	C0030705
27550416	715	731	Pro-inflammatory	T169	C0333348
27550416	732	741	cytokines	T116,T129	C0079189
27550416	742	753	upregulated	T044	C0041904
27550416	754	758	SOX5	T116,T123	C2350546
27550416	763	768	RANKL	T116,T123	C0666364
27550416	769	779	expression	T045	C1171362
27550416	796	798	RA	T047	C0003873
27550416	799	801	SF	T025	C0016030
27550416	830	850	fibroblast cell line	UnknownType	C0682524
27550416	852	856	MH7A	T025	C0007634
27550416	858	872	Overexpression	T045	C1514559
27550416	876	880	SOX5	T116,T123	C2350546
27550416	881	889	resulted	T169	C1274040
27550416	893	916	significantly increased	T081	C0205217
27550416	917	922	RANKL	T116,T123	C0666364
27550416	937	946	knockdown	T063	C2350567
27550416	950	954	SOX5	T028	C1420328
27550416	955	963	resulted	T169	C1274040
27550416	967	977	diminished	T081	C0205216
27550416	978	982	IL-6	T116,T129	C0021760
27550416	992	997	RANKL	T116,T123	C0666364
27550416	998	1010	upregulation	T044	C0041904
27550416	1014	1024	MH7A cells	T025	C0007634
27550416	1026	1055	Chromatin immunoprecipitation	T059	C1328856
27550416	1057	1061	ChIP	T059	C1328856
27550416	1070	1083	approximately	T080	C0332232
27550416	1105	1123	RANKL-specific DNA	T114,T123	C0012854
27550416	1127	1154	anti-SOX5 immunoprecipitate	T129	C0301871
27550416	1158	1162	IL-6	T116,T129	C0021760
27550416	1163	1170	treated	T169	C1522326
27550416	1171	1181	MH7A cells	T025	C0007634
27550416	1185	1193	compared	T052	C1707455
27550416	1197	1212	untreated cells	T033	C0243095
27550416	1222	1231	silencing	T045	C0598496
27550416	1232	1241	SOX5 gene	T028	C1420328
27550416	1242	1266	significantly diminished	T081	C0205216
27550416	1267	1272	RANKL	T116,T123	C0666364
27550416	1273	1281	positive	T033	C1514241
27550416	1282	1287	cells	T025	C0007634
27550416	1292	1304	bone erosion	T046	C0587240
27550416	1308	1311	CIA	T050	C0971858
27550416	1312	1316	mice	T015	C0026809
27550416	1324	1332	findings	T033	C0243095
27550416	1333	1340	suggest	T078	C1705535
27550416	1341	1345	SOX5	T116,T123	C2350546
27550416	1362	1371	regulator	T077	C1704735
27550416	1375	1379	IL-6	T116,T129	C0021760
27550416	1382	1389	induced	T169	C0205263
27550416	1390	1395	RANKL	T116,T123	C0666364
27550416	1396	1406	expression	T045	C1171362
27550416	1410	1412	RA	T047	C0003873
27550416	1413	1415	SF	T025	C0016030
