27603917|t|Structural, Culinary, Nutritional and Anti-Nutritional Properties of High Protein, Gluten Free, 100% Legume Pasta
27603917|a|Wheat pasta has a compact structure built by a gluten network entrapping starch granules resulting in a low glycemic index, but is nevertheless unsuitable for gluten - intolerant people. High protein gluten-free legume flours, rich in fibers, resistant starch and minerals are thus a good alternative for gluten-free pasta production. In this study, gluten-free pasta was produced exclusively from faba, lentil or black-gram flours. The relationship between their structure, their cooking and Rheological properties and their in-vitro starch digestion was analyzed and compared to cereal gluten-free commercial pasta. Trypsin inhibitory activity, phytic acid and α-galactosides were determined in flours and in cooked pasta. All legume pasta were rich in protein, resistant starch and fibers. They had a thick but weak protein network, which is built during the pasta cooking step. This particular structure altered pasta springiness and increased cooking losses. Black-gram pasta, which is especially rich in soluble fibers, differed from faba and lentil pasta, with high springiness (0.85 vs. 0.75) and less loss during cooking. In comparison to a commercial cereal gluten-free pasta, all the legume pasta lost less material during cooking but was less cohesive and springy. Interestingly, due to their particular composition and structure, lentil and faba pasta released their starch more slowly than the commercial gluten-free pasta during the in-vitro digestion process. Anti-nutritional factors in legumes, such as trypsin inhibitory activity and α-galactosides were reduced by up to 82% and 73%, respectively, by pasta processing and cooking. However, these processing steps had a minor effect on phytic acid. This study demonstrates the advantages of using legumes for the production of gluten-free pasta with a low glycemic index and high nutritional quality.
27603917	0	10	Structural	T116	C1510464
27603917	12	20	Culinary	T033	C0243095
27603917	22	33	Nutritional	T080	C1521739
27603917	38	54	Anti-Nutritional	T033	C0243095
27603917	55	65	Properties	T080	C0871161
27603917	69	73	High	T080	C0205250
27603917	74	81	Protein	T116,T123	C0033684
27603917	83	113	Gluten Free, 100% Legume Pasta	T168	C0460378
27603917	114	119	Wheat	T168	C0043137
27603917	120	125	pasta	T168	C0452694
27603917	140	149	structure	T082	C0678594
27603917	161	167	gluten	T116,T123	C0017842
27603917	168	175	network	T169	C1882071
27603917	187	202	starch granules	T167	C0370017
27603917	222	236	glycemic index	T081	C1136206
27603917	273	279	gluten	T116,T123	C0017842
27603917	282	292	intolerant	T169	C0231200
27603917	293	299	people	T098	C0027361
27603917	301	305	High	T080	C0205250
27603917	306	313	protein	T116,T123	C0033684
27603917	314	325	gluten-free	T058	C0344351
27603917	326	332	legume	T168	C0453184
27603917	333	339	flours	T168	C0016260
27603917	341	345	rich	T080	C0699759
27603917	349	355	fibers	T109,T121	C0225326
27603917	357	366	resistant	T169	C0332325
27603917	367	373	starch	T109,T121,T123	C0038179
27603917	378	386	minerals	T197	C0026162
27603917	403	414	alternative	T169	C0332270
27603917	419	436	gluten-free pasta	T168	C0460378
27603917	437	447	production	T057	C0033268
27603917	457	462	study	T062	C2603343
27603917	464	481	gluten-free pasta	T168	C0460378
