27613669|t|Factors affecting the formation of nitrogenous disinfection by-products during chlorination of aspartic acid in drinking water
27613669|a|The formation of emerging nitrogenous disinfection by-products (N-DBPs) from the chlorination of aspartic acid (Asp) was investigated. The yield of dichloroacetonitrile (DCAN) was higher than other N-DBPs, such as dichloroacetamide (DCAcAm) and chloropicrin (TCNM) during the chlorination of Asp. The formation of DCAN, DCAcAm, and TCNM all showed a trend of first increasing and then decreasing during the chlorination of Asp with increasing contact time. The dosage of chlorine had an impact on the formation of DCAN, DCAcAm, and TCNM. The highest yields of DCAN and DCAcAm appeared when the Cl2 / Asp molar ratio was about 20, the yield of TCNM increased with increasing the Cl2 / Asp molar ratio from 5 to 30 and TCNM was not produced when the ratio was less than 5. Cyanogen chloride (CNCl) was detected when the Cl2 / Asp molar ratio was lower than 5. N-DBPs formation was influenced by pH. DCAN formation increased with increasing pH from 5 to 6 and then decreased with increasing pH from 6 to 9, but DCAcAm and TCNM increased with increasing pH from 5 to 8 and then decreased. Higher temperatures reduced the formation of DCAN and DCAcAm, but increased TCNM formation. DCAN and DCAcAm formation decreased, and relatively stable TCNM formation increased, with increasing free chlorine contact time during chloramination. N-nitrosodimethylamine (NDMA) was produced during chloramination of Asp and increased with prolonged chloramination contact time. The presence of bromide ions enhanced the yields of haloacetonitriles and shifted N-DBPs to more brominated species.
27613669	0	7	Factors	T169	C1521761
27613669	8	17	affecting	T169	C0392760
27613669	22	31	formation	T169	C1522492
27613669	35	59	nitrogenous disinfection	T061	C0012683
27613669	60	71	by-products	T104	C0684298
27613669	79	91	chlorination	T057	C2728946
27613669	95	108	aspartic acid	T116,T123	C0004015
27613669	112	126	drinking water	T167	C0599638
27613669	131	140	formation	T169	C1522492
27613669	153	177	nitrogenous disinfection	T061	C0012683
27613669	178	189	by-products	T104	C0684298
27613669	191	197	N-DBPs	T104	C0684298
27613669	208	220	chlorination	T057	C2728946
27613669	224	237	aspartic acid	T116,T123	C0004015
27613669	239	242	Asp	T116,T123	C0004015
27613669	248	260	investigated	T169	C1292732
27613669	275	295	dichloroacetonitrile	T109	C0057843
27613669	297	301	DCAN	T109	C0057843
27613669	325	331	N-DBPs	T104	C0684298
27613669	341	358	dichloroacetamide	T109,T130	C0045293
27613669	360	366	DCAcAm	T109,T130	C0045293
27613669	372	384	chloropicrin	T109,T121	C0055437
27613669	386	390	TCNM	T109,T121	C0055437
27613669	403	415	chlorination	T057	C2728946
27613669	419	422	Asp	T116,T123	C0004015
27613669	428	437	formation	T169	C1522492
27613669	441	445	DCAN	T109	C0057843
27613669	447	453	DCAcAm	T109,T130	C0045293
27613669	459	463	TCNM	T109,T121	C0055437
27613669	492	502	increasing	T169	C0442808
27613669	512	522	decreasing	T033	C0442797
