27621804|t|Comparison of left ventricular ejection fraction values obtained using invasive contrast left ventriculography, two-dimensional echocardiography, and gated single-photon emission computed tomography
27621804|a|Left ventricular ejection fraction can be measured by a variety of invasive and non-invasive cardiac techniques. This study assesses the relation of three diagnostic modalities to each other in the measurement of left ventricular ejection fraction: invasive contrast left ventriculography, two-dimensional echocardiography, and quantitative gated single-photon emission computed tomography. Retrospective chart review was conducted on 58 patients hospitalized with chest pain, who underwent left ventricular ejection fraction evaluation using each of the aforementioned modalities within a 3-month period not interrupted by myocardial infarction or revascularization. The mean left ventricular ejection fraction values were as follows: invasive contrast left ventriculography (0.44±0.15), two-dimensional echocardiography (0.46±0.13), and gated single-photon emission computed tomography (0.37±0.10). Correlations coefficients and associated p values were as follows: invasive contrast left ventriculography versus two-dimensional echocardiography (r=0.69, p<0.001), invasive contrast left ventriculography versus gated single-photon emission computed tomography (r=0.80, p<0.0001), and gated single-photon emission computed tomography versus two-dimensional echocardiography (r=0.69, p<0.001). Our results indicate that strong positive correlations exist among the three techniques studied.
27621804	0	10	Comparison	T052	C1707455
27621804	14	55	left ventricular ejection fraction values	T201	C0428772
27621804	71	79	invasive	T080	C0205281
27621804	80	110	contrast left ventriculography	T060	C0412219
27621804	112	144	two-dimensional echocardiography	T060	C0013524
27621804	150	155	gated	T060	C2986758
27621804	156	198	single-photon emission computed tomography	T060	C0040399
27621804	199	233	Left ventricular ejection fraction	T201	C0428772
27621804	266	274	invasive	T080	C0205281
27621804	279	291	non-invasive	T169	C0205303
27621804	292	310	cardiac techniques	T060	C2936236
27621804	354	364	diagnostic	T169	C0348026
27621804	365	375	modalities	T078	C0695347
27621804	412	446	left ventricular ejection fraction	T201	C0428772
27621804	448	456	invasive	T080	C0205281
27621804	457	487	contrast left ventriculography	T060	C0412219
27621804	489	521	two-dimensional echocardiography	T060	C0013524
27621804	527	539	quantitative	T081	C0392762
27621804	540	545	gated	T060	C2986758
27621804	546	588	single-photon emission computed tomography	T060	C0040399
27621804	590	609	Retrospective chart	T170	C0684240
27621804	637	658	patients hospitalized	T101	C0870668
27621804	664	674	chest pain	T184	C0008031
27621804	690	735	left ventricular ejection fraction evaluation	T061	C2114363
27621804	769	779	modalities	T078	C0695347
27621804	823	844	myocardial infarction	T047	C0027051
27621804	848	865	revascularization	T061	C0027056
27621804	871	917	mean left ventricular ejection fraction values	T201	C0428772
27621804	935	943	invasive	T080	C0205281
27621804	944	974	contrast left ventriculography	T060	C0412219
27621804	988	1020	two-dimensional echocardiography	T060	C0013524
27621804	1038	1043	gated	T060	C2986758
27621804	1044	1086	single-photon emission computed tomography	T060	C0040399
27621804	1100	1112	Correlations	T080	C1707520
27621804	1100	1125	Correlations coefficients	T081	C1707429
27621804	1167	1175	invasive	T080	C0205281
27621804	1176	1206	contrast left ventriculography	T060	C0412219
27621804	1214	1246	two-dimensional echocardiography	T060	C0013524
27621804	1266	1274	invasive	T080	C0205281
27621804	1275	1305	contrast left ventriculography	T060	C0412219
27621804	1313	1318	gated	T060	C2986758
27621804	1319	1361	single-photon emission computed tomography	T060	C0040399
27621804	1386	1391	gated	T060	C2986758
27621804	1392	1434	single-photon emission computed tomography	T060	C0040399
27621804	1442	1474	two-dimensional echocardiography	T060	C0013524
27621804	1527	1535	positive	T033	C1446409
27621804	1536	1548	correlations	T080	C1707520
27621804	1571	1581	techniques	T060	C2936236
