27688423|t|Evaluation of Periodontal Parameters in Patients with Early Stage Chronic Lymphocytic Leukemia
27688423|a|To assess periodontal conditions in patients with early stage CLL and to compare it with the periodontal status of age matched healthy controls and to analyze the relationship between periodontal and hematological parameters in CLL patients. 60 subjects were examined: 30 patients with CLL Rai 0 (test group) and 30 age -matching healthy individuals (control group). The exclusion criteria were: presence of other systemic disease or condition (e.g. diabetes), history of treatment for periodontitis, use of antibiotics during the last 3 months, use of medications. Socio-demographic data were obtained by means of a questionnaire. Participants with at least 8 teeth underwent a full mouth examination assessing API, PBI, PPD, REC and CAL. Medical data for CLL patients were collected from the patients' records, while hematological data were obtained from the hemogram. Difference between groups was statistically significant for age, number of teeth and frequency of dental checkups (p<0.05). Patients with CLL had significantly higher average values of periodontal indices (API 0.81±0.18; PBI 2.72±0.68; PPD 3.40±0.53; REC 1.95±0.87, CAL 4.37±0.80) compared to the control group (API 0.69±0.15; PBI 1.91±0.45; PPD 2.51±0.40; REC 0.99±0.54; CAL 3.00±0.58). The correlation coefficients between age and periodontal indices showed statistically significance between age and REC (r=0.357; p<0.01), and age and CAL (r=0.295; p<0.05). Age was not statistically significant covariate for CAL (F=2.205; p>0.05), only for REC (F=4.601; p<0.05). After the removal of the statistical effect of age, the difference in REC between CLL and control group remained statistically significant (F=19.732; p<0.01; eta(2)=0.287). Statistically significant association between periodontal and hematological parameters in CLL patients was not found (p>0.05). The results of this study showed that patients with CLL had worse periodontal status compared to healthy subjects. Causal relationship between periodontal and hematological parameters was not proved.
27688423	0	10	Evaluation	T058	C0220825
27688423	14	25	Periodontal	T080	C0332275
27688423	26	36	Parameters	T033	C0449381
27688423	40	48	Patients	T101	C0030705
27688423	54	65	Early Stage	T185	C1517886
27688423	66	94	Chronic Lymphocytic Leukemia	T191	C0023434
27688423	105	116	periodontal	T080	C0332275
27688423	117	127	conditions	T080	C0348080
27688423	131	139	patients	T101	C0030705
27688423	145	156	early stage	T185	C1517886
27688423	157	160	CLL	T191	C0023434
27688423	188	199	periodontal	T080	C0332275
27688423	210	213	age	T032	C0001779
27688423	222	238	healthy controls	T080	C2986479
27688423	279	290	periodontal	T080	C0332275
27688423	295	308	hematological	T169	C0205488
27688423	309	319	parameters	T033	C0449381
27688423	323	326	CLL	T191	C0023434
27688423	327	335	patients	T101	C0030705
27688423	340	348	subjects	T098	C0080105
27688423	367	375	patients	T101	C0030705
27688423	381	384	CLL	T191	C0023434
27688423	392	402	test group	T098	C1257890
27688423	411	414	age	T032	C0001779
27688423	425	432	healthy	T080	C3898900
27688423	433	444	individuals	T098	C0237401
27688423	446	459	control group	T096	C0009932
27688423	466	484	exclusion criteria	T169	C0680251
27688423	518	525	disease	T047	C0012634
27688423	529	538	condition	T080	C0348080
27688423	545	553	diabetes	T047	C0011847
27688423	556	563	history	T033	C0262926
27688423	567	576	treatment	T061	C0087111
27688423	581	594	periodontitis	T047	C0031099
27688423	603	614	antibiotics	T195	C0003232
27688423	633	639	months	T079	C0439231
27688423	648	659	medications	T121	C0013227
27688423	661	683	Socio-demographic data	T078	C1511726
27688423	712	725	questionnaire	T170	C0034394
27688423	727	739	Participants	T098	C0679646
27688423	756	761	teeth	T023	C0040426
27688423	774	796	full mouth examination	T060	C0430022
27688423	807	810	API	T034	C1254360
27688423	812	815	PBI	T034	C1254360
27688423	817	820	PPD	T034	C1254360
27688423	822	825	REC	T034	C1254360
27688423	830	833	CAL	T034	C1254360
27688423	835	842	Medical	T169	C0205476
27688423	843	847	data	T078	C1511726
27688423	852	855	CLL	T191	C0023434
27688423	856	864	patients	T101	C0030705
27688423	889	906	patients' records	T170	C0025102
27688423	914	927	hematological	T169	C0205488
27688423	928	932	data	T078	C1511726
27688423	956	964	hemogram	T059	C0200631
27688423	985	991	groups	T098	C1257890
27688423	996	1009	statistically	T090	C0038215
27688423	1010	1021	significant	T078	C0750502
27688423	1026	1029	age	T032	C0001779
27688423	1041	1046	teeth	T023	C0040426
27688423	1051	1060	frequency	T079	C0439603
27688423	1064	1079	dental checkups	T060	C0750862
27688423	1090	1098	Patients	T101	C0030705
27688423	1104	1107	CLL	T191	C0023434
27688423	1133	1147	average values	T081	C0392762
27688423	1151	1170	periodontal indices	T034	C0031092
27688423	1172	1175	API	T034	C1254360
27688423	1187	1190	PBI	T034	C1254360
27688423	1202	1205	PPD	T034	C1254360
27688423	1217	1220	REC	T034	C1254360
27688423	1232	1235	CAL	T034	C1254360
27688423	1263	1276	control group	T096	C0009932
27688423	1278	1281	API	T034	C1254360
27688423	1293	1296	PBI	T034	C1254360
27688423	1308	1311	PPD	T034	C1254360
27688423	1323	1326	REC	T034	C1254360
27688423	1338	1341	CAL	T034	C1254360
27688423	1358	1369	correlation	T080	C1707520
27688423	1370	1382	coefficients	T081	C1707429
27688423	1391	1394	age	T032	C0001779
27688423	1399	1418	periodontal indices	T034	C0031092
27688423	1426	1439	statistically	T090	C0038215
27688423	1461	1464	age	T032	C0001779
27688423	1469	1472	REC	T034	C1254360
27688423	1496	1499	age	T032	C0001779
27688423	1504	1507	CAL	T034	C1254360
27688423	1527	1530	Age	T032	C0001779
27688423	1539	1552	statistically	T090	C0038215
27688423	1579	1582	CAL	T034	C1254360
27688423	1611	1614	REC	T034	C1254360
27688423	1659	1677	statistical effect	T081	C0392762
27688423	1681	1684	age	T032	C0001779
27688423	1704	1707	REC	T034	C1254360
27688423	1716	1719	CLL	T191	C0023434
27688423	1724	1737	control group	T096	C0009932
27688423	1747	1760	statistically	T090	C0038215
27688423	1807	1820	Statistically	T090	C0038215
27688423	1853	1864	periodontal	T080	C0332275
27688423	1869	1882	hematological	T169	C0205488
27688423	1883	1893	parameters	T033	C0449381
27688423	1897	1900	CLL	T191	C0023434
27688423	1901	1909	patients	T101	C0030705
27688423	1938	1945	results	T169	C1274040
27688423	1954	1959	study	T062	C2603343
27688423	1972	1980	patients	T101	C0030705
27688423	1986	1989	CLL	T191	C0023434
27688423	2000	2011	periodontal	T080	C0332275
27688423	2031	2047	healthy subjects	T098	C1708335
27688423	2077	2088	periodontal	T080	C0332275
27688423	2093	2106	hematological	T169	C0205488
27688423	2107	2117	parameters	T033	C0449381
