27795266|t|Characterization of Beak and Feather Disease Virus Genomes from Wild Musk Lorikeets (Glossopsitta concinna)
27795266|a|Three complete genomes of beak and feather disease virus (BFDV) were recovered from wild musk lorikeets (Glossopsitta concinna). The genomes consisted of 2,008 to 2,010 nucleotides (nt) and encode two major proteins transcribing in opposing directions. This is the first report of BFDV complete genome sequences obtained from this host species.
27795266	0	16	Characterization	T052	C1880022
27795266	20	50	Beak and Feather Disease Virus	T005	C0206410
27795266	51	58	Genomes	T028	C0017428
27795266	64	68	Wild	T170	C0445392
27795266	69	83	Musk Lorikeets	T012	C1670393
27795266	85	106	Glossopsitta concinna	T012	C1670393
27795266	123	130	genomes	T028	C0017428
27795266	134	164	beak and feather disease virus	T005	C0206410
27795266	166	170	BFDV	T005	C0206410
27795266	192	196	wild	T170	C0445392
27795266	197	211	musk lorikeets	T012	C1670393
27795266	213	234	Glossopsitta concinna	T012	C1670393
27795266	241	248	genomes	T028	C0017428
27795266	277	288	nucleotides	T114	C0028630
27795266	290	292	nt	T114	C0028630
27795266	298	304	encode	T085	C0017380
27795266	315	323	proteins	T116,T123	C0033684
27795266	324	336	transcribing	T033	C4036062
27795266	379	385	report	T170	C0684224
27795266	389	393	BFDV	T005	C0206410
27795266	403	419	genome sequences	T028	C0017428
27795266	439	451	host species	T070	C2936412
