27811711|t|A taxonomic revision of the ground spiders of the genus Apopyllus (Araneae: Gnaphosidae)
27811711|a|The American gnaphosid genus Apopyllus Platnick & Shadab is found from southern Mexico to southern Argentina. It can be diagnosed by the complex shape of the RTA, by the membranous tegular extension, the long coiled embolus, the retrolateral incision on the cymbium, the long convoluted copulatory duct extending anteriorly to the copulatory openings and by the presence of paramedian epigynal pockets and of an anterior ridge on the epigynum. The RTA characters are important in species taxonomy but the complex shape and variation of the RTA hampers identification, especially regarding the two most common species: A. suavis (Simon) and A. silvestrii (Simon). In this paper the genus is revised, the genital morphology is described, and homology between its components and those of other genera is discussed. Apopyllus suavis is considered a senior synonym of Apopyllus pauper (Mello-Leitão) and A. iheringi (Mello-Leitão). Four new species are described from Brazil: A. aeolicus, A. atlanticus, A. centralis and A. gandarela.
27811711	2	11	taxonomic	T169	C0008903
27811711	12	20	revision	T079	C0439617
27811711	28	42	ground spiders	T204	C0037913
27811711	50	65	genus Apopyllus	T204	C1493166
27811711	67	74	Araneae	T204	C0037913
27811711	76	87	Gnaphosidae	T204	C1493166
27811711	93	101	American	T098	C0596070
27811711	102	111	gnaphosid	T204	C1493166
27811711	112	145	genus Apopyllus Platnick & Shadab	T204	C1493166
27811711	160	175	southern Mexico	T083	C0017446
27811711	179	197	southern Argentina	T083	C0017446
27811711	209	218	diagnosed	T033	C0011900
27811711	226	233	complex	T080	C0439855
27811711	234	239	shape	T082	C0332479
27811711	247	250	RTA	T023	C0229962
27811711	259	287	membranous tegular extension	T023	C0229962
27811711	293	312	long coiled embolus	T023	C0229962
27811711	318	354	retrolateral incision on the cymbium	T023	C0229962
27811711	360	391	long convoluted copulatory duct	T023	C0229962
27811711	402	412	anteriorly	T082	C0205094
27811711	420	439	copulatory openings	T023	C0229962
27811711	451	459	presence	T033	C0150312
27811711	463	490	paramedian epigynal pockets	T023	C0229962
27811711	501	509	anterior	T082	C0205094
27811711	510	515	ridge	T082	C1947915
27811711	523	531	epigynum	T023	C0229962
27811711	537	540	RTA	T023	C0229962
27811711	541	551	characters	T032	C0486537
27811711	569	576	species	T185	C1705920
27811711	577	585	taxonomy	T090	C0087066
27811711	594	601	complex	T080	C0439855
27811711	602	607	shape	T082	C0332479
27811711	612	621	variation	T080	C0205419
27811711	629	632	RTA	T023	C0229962
27811711	641	655	identification	T080	C0205396
27811711	698	705	species	T185	C1705920
27811711	707	716	A. suavis	T204	C0037913
27811711	729	742	A. silvestrii	T204	C0037913
27811711	770	775	genus	T185	C1708235
27811711	792	799	genital	T023	C0017420
27811711	800	810	morphology	T080	C0332437
27811711	829	837	homology	T080	C2697616
27811711	850	860	components	T077	C1705248
27811711	880	886	genera	T185	C1708235
27811711	901	917	Apopyllus suavis	T204	C0037913
27811711	941	948	synonym	T077	C0871468
27811711	952	968	Apopyllus pauper	T204	C0037913
27811711	988	999	A. iheringi	T204	C0037913
27811711	1025	1032	species	T185	C1705920
27811711	1052	1058	Brazil	T083	C0006137
27811711	1060	1071	A. aeolicus	T204	C0037913
27811711	1073	1086	A. atlanticus	T204	C0037913
27811711	1088	1100	A. centralis	T204	C0037913
27811711	1105	1117	A. gandarela	T204	C0037913
