27813390|t|Injury surveillance of female adult Zumba ® dancers
27813390|a|We sought to describe the patterns of injury and to establish the injury incidence rates associated with Zumba ®. Zumba ® dancers were invited to complete an anonymous web-based survey containing 13 demographic background and 14 (1 yr retrospective) injury history questions. Inclusion criteria stated that the respondents had to be aged 18 - 64 yr and currently involved in group -based classes of Zumba ®, either as a registered instructor or class participant. Binomial logistic regression analysis was used to predict the odds of injury during Zumba ® and Mann-Whitney tests were employed to ascertain differences between groups. The survey response rate was 74%. The final sample of respondents (N = 138; female = 100%) included 19 registered instructors and 119 class participants, of which 58% and 16%, respectively, sustained ≥ 1 injury during Zumba ® in the past year. The odds of injury was 7 (95% CI 2 - 19) times greater (p < 0.01) for registered instructors than for class participants. Zumba ® dancers had a 17 (95% CI 7 - 28) % greater (p < 0.01) odds of injury for every 1 h of non- Zumba ®- related moderate to vigorous physical activity (MVPA) engagement per week. The injury incidence rate for registered instructors and class participants was 5.7 (95% CI 3.1 - 8.2) and 3.9 (95% CI 2.5 - 5.3) injuries per 1000 h of exposure, respectively. Zumba ® presents a low risk of injury; for registered instructors, the increased risk of injury is likely due to the high total volume of MVPA participated in weekly.
27813390	0	19	Injury surveillance	T057	C0681625
27813390	23	29	female	T032	C0086287
27813390	30	35	adult	T100	C0001675
27813390	36	41	Zumba	T058	C1254363
27813390	44	51	dancers	T097	C0335079
27813390	78	86	patterns	T082	C0449774
27813390	90	96	injury	T037	C0043251
27813390	118	124	injury	T037	C0043251
27813390	125	140	incidence rates	T081	C1708485
27813390	141	151	associated	T080	C0332281
27813390	157	162	Zumba	T058	C1254363
27813390	166	171	Zumba	T058	C1254363
27813390	174	181	dancers	T097	C0335079
27813390	220	229	web-based	T073	C0282111
27813390	230	236	survey	T170	C0038951
27813390	251	262	demographic	T078	C0011292
27813390	263	273	background	T077	C1706907
27813390	284	286	yr	T079	C0439234
27813390	287	300	retrospective	T080	C1514923
27813390	302	308	injury	T037	C0043251
27813390	309	316	history	T169	C0019665
27813390	317	326	questions	T170	C1522634
27813390	328	337	Inclusion	T080	C1512693
27813390	338	346	criteria	T078	C0243161
27813390	363	374	respondents	T098	C0282122
27813390	385	389	aged	T032	C0001779
27813390	398	400	yr	T079	C0439234
27813390	427	432	group	T098	C1257890
27813390	440	447	classes	T170	C0456387
27813390	451	456	Zumba	T058	C1254363
27813390	472	493	registered instructor	T097	C0556993
27813390	497	502	class	T170	C0456387
27813390	503	514	participant	T098	C0679646
27813390	516	553	Binomial logistic regression analysis	UnknownType	C0681925
27813390	578	582	odds	T081	C0028873
27813390	586	592	injury	T037	C0043251
27813390	600	605	Zumba	T058	C1254363
27813390	612	630	Mann-Whitney tests	T170	C1708930
27813390	678	684	groups	T098	C1257890
27813390	690	696	survey	T170	C0038951
27813390	697	710	response rate	T081	C1521828
27813390	740	751	respondents	T098	C0282122
27813390	762	768	female	T032	C0086287
27813390	789	811	registered instructors	T097	C0556993
27813390	820	825	class	T170	C0456387
27813390	826	838	participants	T098	C0679646
27813390	876	885	sustained	T169	C0443318
27813390	890	896	injury	T037	C0043251
27813390	904	909	Zumba	T058	C1254363
27813390	924	928	year	T079	C0439234
27813390	934	938	odds	T081	C0028873
27813390	942	948	injury	T037	C0043251
27813390	960	962	CI	T081	C0009667
27813390	977	984	greater	T081	C1704243
27813390	1000	1022	registered instructors	T097	C0556993
27813390	1032	1037	class	T170	C0456387
27813390	1038	1050	participants	T098	C0679646
27813390	1052	1057	Zumba	T058	C1254363
27813390	1060	1067	dancers	T097	C0335079
27813390	1082	1084	CI	T081	C0009667
27813390	1095	1102	greater	T081	C1704243
27813390	1114	1118	odds	T081	C0028873
27813390	1122	1128	injury	T037	C0043251
27813390	1141	1142	h	T079	C0439227
27813390	1151	1156	Zumba	T058	C1254363
27813390	1168	1206	moderate to vigorous physical activity	T056	C0015259
27813390	1208	1212	MVPA	T056	C0015259
27813390	1229	1233	week	T079	C0439230
27813390	1239	1245	injury	T037	C0043251
27813390	1246	1260	incidence rate	T081	C1708485
27813390	1265	1287	registered instructors	T097	C0556993
27813390	1292	1297	class	T170	C0456387
27813390	1298	1310	participants	T098	C0679646
27813390	1324	1326	CI	T081	C0009667
27813390	1351	1353	CI	T081	C0009667
27813390	1365	1373	injuries	T037	C0043251
27813390	1383	1384	h	T079	C0439227
27813390	1388	1396	exposure	T080	C0205556
27813390	1412	1417	Zumba	T058	C1254363
27813390	1431	1439	low risk	T081	C3538919
27813390	1443	1449	injury	T037	C0043251
27813390	1455	1477	registered instructors	T097	C0556993
27813390	1483	1497	increased risk	T080	C1444641
27813390	1501	1507	injury	T037	C0043251
27813390	1550	1554	MVPA	T056	C0015259
27813390	1555	1567	participated	T169	C0679823
27813390	1571	1577	weekly	T079	C0332174
