27837093|t|Variety of DNA Replication Activity Among Cyanobacteria Correlates with Distinct Respiration Activity in the Dark
27837093|a|Cyanobacteria exhibit light -dependent cell growth since most of their cellular energy is obtained by photosynthesis. In Synechococcus elongatus PCC 7942, one of the model cyanobacteria, DNA replication depends on photosynthetic electron transport. However, the critical signal for the regulatory mechanism of DNA replication has not been identified. In addition, conservation of this regulatory mechanism has not been investigated among cyanobacteria. To understand this regulatory signal and its dependence on light, we examined the regulation of DNA replication under both light and dark conditions among three model cyanobacteria, S. elongatus PCC 7942, Synechocystis sp. PCC 6803 and Anabaena sp. PCC 7120. Interestingly, DNA replication activity in Synechocystis and Anabaena was retained when cells were transferred to the dark, although it was drastically decreased in S. elongatus. Glycogen metabolism and respiration were higher in Synechocystis and Anabaena than in S. elongatus in the dark. Moreover, DNA replication activity in Synechocystis and Anabaena was reduced to the same level as that in S. elongatus by inhibition of respiratory electron transport after transfer to the dark. These results demonstrate that there is disparity in DNA replication occurring in the dark among cyanobacteria, which is caused by the difference in activity of respiratory electron transport.
27837093	0	7	Variety	T077	C2346866
27837093	11	35	DNA Replication Activity	T045	C0598312
27837093	42	55	Cyanobacteria	T007	C1047211
27837093	56	66	Correlates	T039	C0871083
27837093	81	101	Respiration Activity	T039	C0035203
27837093	109	113	Dark	T070	C0010986
27837093	114	127	Cyanobacteria	T007	C1047211
27837093	136	141	light	T070	C0023693
27837093	153	164	cell growth	T043	C0007595
27837093	185	193	cellular	T025	C0007634
27837093	194	200	energy	T081	C1442080
27837093	216	230	photosynthesis	T070	C0031764
27837093	235	267	Synechococcus elongatus PCC 7942	T007	C1003877
27837093	286	299	cyanobacteria	T007	C1047211
27837093	301	316	DNA replication	T045	C0598312
27837093	328	361	photosynthetic electron transport	T044	C0013846
27837093	376	391	critical signal	T067	C1710082
27837093	400	410	regulatory	T038	C1327622
27837093	411	420	mechanism	T169	C0441712
27837093	424	439	DNA replication	T045	C0598312
27837093	478	490	conservation	T080	C2347858
27837093	499	519	regulatory mechanism	T169	C0441712
27837093	533	545	investigated	T169	C1292732
27837093	552	565	cyanobacteria	T007	C1047211
27837093	586	596	regulatory	T038	C1327622
27837093	597	603	signal	T067	C1710082
27837093	626	631	light	T070	C0023693
27837093	649	659	regulation	T038	C1327622
27837093	663	678	DNA replication	T045	C0598312
27837093	690	695	light	T070	C0023693
27837093	700	704	dark	T070	C0010986
27837093	728	733	model	T075	C0026336
27837093	734	747	cyanobacteria	T007	C1047211
27837093	749	770	S. elongatus PCC 7942	T007	C1003877
27837093	772	798	Synechocystis sp. PCC 6803	T007	C0995541
27837093	803	824	Anabaena sp. PCC 7120	T007	C1047885
27837093	841	865	DNA replication activity	T045	C0598312
27837093	869	882	Synechocystis	T007	C0995541
27837093	887	895	Anabaena	T007	C1047885
27837093	900	908	retained	T169	C0333118
27837093	914	919	cells	T025	C0007634
27837093	925	939	transferred to	T033	C4049693
27837093	944	948	dark	T070	C0010986
27837093	978	987	decreased	T081	C0205216
27837093	991	1003	S. elongatus	T007	C1003877
27837093	1005	1024	Glycogen metabolism	T044	C0599784
27837093	1029	1040	respiration	T039	C0035203
27837093	1056	1069	Synechocystis	T007	C0995541
27837093	1074	1082	Anabaena	T007	C1047885
27837093	1091	1103	S. elongatus	T007	C1003877
27837093	1111	1115	dark	T070	C0010986
27837093	1127	1151	DNA replication activity	T045	C0598312
27837093	1155	1168	Synechocystis	T007	C0995541
27837093	1173	1181	Anabaena	T007	C1047885
27837093	1186	1193	reduced	T081	C0205216
27837093	1223	1235	S. elongatus	T007	C1003877
27837093	1239	1249	inhibition	T052	C3463820
27837093	1253	1264	respiratory	T169	C0521346
27837093	1265	1283	electron transport	T044	C0013846
27837093	1306	1310	dark	T070	C0010986
27837093	1352	1361	disparity	T033	C1290905
27837093	1365	1380	DNA replication	T045	C0598312
27837093	1398	1402	dark	T070	C0010986
27837093	1409	1422	cyanobacteria	T007	C1047211
27837093	1447	1457	difference	T080	C1705242
27837093	1461	1469	activity	T169	C0205177
27837093	1473	1484	respiratory	T169	C0521346
27837093	1485	1503	electron transport	T044	C0013846
