27853255|t|Mimicking the cell membrane: bio-inspired simultaneous functions with monovalent anion selectivity and antifouling properties of anion exchange membrane
27853255|a|A new bio-inspired method was applied in this study to simultaneously improve the monovalent anion selectivity and antifouling properties of anion exchange membranes (AEMs). Three-layer architecture was developed by deposition of polydopamine (PDA) and electro-deposition of N-O-sulfonic acid benzyl chitosan (NSBC). The innermost and outermost layers were PDA with different deposition time. The middle layer was prepared by NSBC. Fourier transform infrared spectroscopy and scanning electron microscopy confirmed that PDA and NSBC were successfully modified on the surfaces of AEMs. The contact angle of the membranes indicated an improved hydrophilicity of the modified membranes. A series of electrodialysis experiments in which Cl(-) / SO4(2-) separation was studied, demonstrating the monovalent anion selectivity of the samples. The Cl(-) / SO4(2-) permselectivity of the modified membranes can reach up to 2.20, higher than that of the commercial membrane (only 0.78) during 90 minutes in electrodialysis (ED). The increase value of the resistance of the membranes was also measured to evaluate the antifouling properties. Sodium dodecyl benzene sulfonate (SDBS) was used as the fouling material in the ED process and the membrane area resistance of modified membrane increase value of was only 0.08 Ωcm(2) 30 minutes later.
27853255	14	27	cell membrane	T026	C3161472
27853255	29	41	bio-inspired	T090	C0872312
27853255	42	54	simultaneous	T079	C0521115
27853255	70	80	monovalent	UnknownType	C0678553
27853255	81	86	anion	T196	C0003075
27853255	87	98	selectivity	T052	C1707391
27853255	103	125	antifouling properties	T070	C0243178
27853255	129	134	anion	T196	C0003075
27853255	144	152	membrane	T074	C0025256
27853255	159	178	bio-inspired method	T090	C0872312
27853255	208	222	simultaneously	T079	C0521115
27853255	235	245	monovalent	UnknownType	C0678553
27853255	246	251	anion	T196	C0003075
27853255	252	263	selectivity	T052	C1707391
27853255	268	290	antifouling properties	T070	C0243178
27853255	294	299	anion	T196	C0003075
27853255	309	318	membranes	T074	C0025256
27853255	383	395	polydopamine	T109,T121	C3252413
27853255	397	400	PDA	T109,T121	C3252413
27853255	428	461	N-O-sulfonic acid benzyl chitosan	T109,T121	C0162969
27853255	463	467	NSBC	T109,T121	C0162969
27853255	474	483	innermost	T082	C0205102
27853255	488	497	outermost	T082	C0205101
27853255	498	504	layers	T167	C1561572
27853255	510	513	PDA	T109,T121	C3252413
27853255	550	556	middle	T082	C0444598
27853255	557	562	layer	T167	C1561572
27853255	579	583	NSBC	T109,T121	C0162969
27853255	585	624	Fourier transform infrared spectroscopy	T062	C0206055
27853255	629	657	scanning electron microscopy	T059	C0026020
27853255	673	676	PDA	T109,T121	C3252413
27853255	681	685	NSBC	T109,T121	C0162969
27853255	763	772	membranes	T074	C0025256
27853255	795	809	hydrophilicity	T080	C0475370
27853255	826	835	membranes	T074	C0025256
27853255	849	876	electrodialysis experiments	UnknownType	C0683122
27853255	886	891	Cl(-)	T196	C0596019
27853255	894	901	SO4(2-)	T196	C3536965
27853255	944	954	monovalent	UnknownType	C0678553
27853255	955	960	anion	T196	C0003075
27853255	961	972	selectivity	T052	C1707391
27853255	993	998	Cl(-)	T196	C0596019
27853255	1001	1008	SO4(2-)	T196	C3536965
27853255	1009	1024	permselectivity	T070	C0031164
27853255	1041	1050	membranes	T074	C0025256
27853255	1097	1116	commercial membrane	T074	C0025256
27853255	1150	1165	electrodialysis	UnknownType	C0683122
27853255	1167	1169	ED	UnknownType	C0683122
27853255	1216	1225	membranes	T074	C0025256
27853255	1260	1282	antifouling properties	T070	C0243178
27853255	1284	1316	Sodium dodecyl benzene sulfonate	T109,T121	C0142877
27853255	1318	1322	SDBS	T109,T121	C0142877
27853255	1340	1347	fouling	T070	C3826310
27853255	1364	1366	ED	UnknownType	C0683122
27853255	1383	1391	membrane	T074	C0025256
27853255	1411	1428	modified membrane	T074	C0025256
