27871510|t|Anticholinergic premedication to prevent bradycardia in combined spinal anesthesia and dexmedetomidine sedation: a randomized, double-blind, placebo-controlled study
27871510|a|When dexmedetomidine is used in patients undergoing spinal anesthesia, high incidence of bradycardia in response to parasympathetic activation is reported. Therefore, we aimed to evaluate the effectiveness of atropine premedication for preventing the incidence of bradycardia and the hemodynamic effect on patients undergoing spinal anesthesia with sedation by dexmedetomidine. Randomized, double-blind, placebo-controlled study. Operating room. One hundred fourteen patients (age range, 2-65 years; American Society of Anesthesiology class I-II) participated in this study, willing to be sedated and to undergo spinal anesthesia. The patients were divided into 2 groups: group A and group C. After performing spinal anesthesia, dexmedetomidine was infused at a loading dose of 0.6 μg/kg for 10 minutes, followed by an infusion at 0.25 μg/(kg h). Simultaneously with the loading dose of dexmedetomidine, patients in group A received an intravenous bolus of 0.5 mg atropine, whereas patients in group C received an intravenous normal saline bolus. Data on administration of atropine and ephedrine were collected. Hemodynamic data including heart rate, systolic blood pressure, diastolic blood pressure (DBP), and mean blood pressure (MBP) were also recorded. The incidence of bradycardia requiring atropine treatment was significantly higher in group C than group A (P=.035). However, the incidence of hypotension needing ephedrine treatment showed no significant difference between the 2 groups (P=.7). Systolic blood pressure and heart rate showed no significant differences between the 2 groups (P=.138 and .464, respectively). However, group A showed significant increases in DBP and MBP, and group C did not (P=.014 and .008, respectively). Prophylactic atropine reduces the incidence of bradycardia in patients undergoing spinal anesthesia with dexmedetomidine sedation. However, DBP and MBP showed significant increases in patients when prophylactic atropine was administrated. Therefore, atropine premedication should be administered cautiously.
27871510	0	15	Anticholinergic	T121	C0242896
27871510	16	29	premedication	T061	C0033045
27871510	41	52	bradycardia	T046	C0428977
27871510	65	82	spinal anesthesia	T061	C0002928
27871510	87	102	dexmedetomidine	T109,T121	C0113293
27871510	103	111	sedation	T061	C0344106
27871510	115	125	randomized	T062,T170	C0206034
27871510	127	139	double-blind	T062	C0013072
27871510	141	165	placebo-controlled study	T062,T170	C0599724
27871510	171	186	dexmedetomidine	T109,T121	C0113293
27871510	198	206	patients	T101	C0030705
27871510	218	235	spinal anesthesia	T061	C0002928
27871510	242	251	incidence	T169	C0220856
27871510	255	266	bradycardia	T046	C0428977
27871510	282	297	parasympathetic	T022	C0030510
27871510	298	308	activation	T052	C1879547
27871510	358	371	effectiveness	T080	C1280519
27871510	375	383	atropine	T109,T121	C0004259
27871510	384	397	premedication	T061	C0033045
27871510	402	412	preventing	T169	C1292733
27871510	417	426	incidence	T169	C0220856
27871510	430	441	bradycardia	T046	C0428977
27871510	450	468	hemodynamic effect	T042	C0019010
27871510	472	480	patients	T101	C0030705
27871510	492	509	spinal anesthesia	T061	C0002928
27871510	515	523	sedation	T061	C0344106
27871510	527	542	dexmedetomidine	T109,T121	C0113293
27871510	544	554	Randomized	T062,T170	C0206034
27871510	556	568	double-blind	T062	C0013072
27871510	570	594	placebo-controlled study	T062,T170	C0599724
27871510	596	610	Operating room	T073,T093	C0029064
27871510	633	641	patients	T109,T121	C0113293
27871510	659	664	years	T079	C1510829
27871510	666	711	American Society of Anesthesiology class I-II	T094	C0037459
27871510	734	739	study	T062	C2603343
27871510	778	795	spinal anesthesia	T061	C0002928
27871510	801	809	patients	T109,T121	C0113293
27871510	830	836	groups	UnknownType	C0681860
27871510	838	845	group A	UnknownType	C0681860
27871510	850	857	group C	UnknownType	C0681860
27871510	876	893	spinal anesthesia	T061	C0002928
27871510	895	910	dexmedetomidine	T109,T121	C0113293
27871510	915	922	infused	T061	C0574032
27871510	928	940	loading dose	UnknownType	C0678767
27871510	961	968	minutes	T079	C0439232
27871510	985	993	infusion	T061	C0574032
27871510	1037	1049	loading dose	UnknownType	C0678767
27871510	1053	1068	dexmedetomidine	T109,T121	C0113293
27871510	1070	1078	patients	T109,T121	C0113293
27871510	1082	1089	group A	UnknownType	C0681860
27871510	1102	1119	intravenous bolus	T169	C1522229
27871510	1130	1138	atropine	T109,T121	C0004259
27871510	1148	1156	patients	T109,T121	C0113293
27871510	1160	1167	group C	UnknownType	C0681860
27871510	1180	1205	intravenous normal saline	T061	C2064712
27871510	1206	1211	bolus	T061	C1511237
27871510	1213	1217	Data	T078	C1511726
27871510	1221	1235	administration	T061	C1533734
27871510	1239	1247	atropine	T109,T121	C0004259
27871510	1252	1261	ephedrine	T109,T121	C0014479
27871510	1278	1289	Hemodynamic	T059	C4281788
27871510	1290	1294	data	T078	C1511726
27871510	1305	1315	heart rate	T201	C0018810
27871510	1317	1340	systolic blood pressure	T201	C0871470
27871510	1342	1366	diastolic blood pressure	T201	C0428883
27871510	1368	1371	DBP	T201	C0428883
27871510	1378	1397	mean blood pressure	T033	C0428886
27871510	1399	1402	MBP	T033	C0428886
27871510	1428	1437	incidence	T169	C0220856
27871510	1441	1452	bradycardia	T046	C0428977
27871510	1463	1471	atropine	T109,T121	C0004259
27871510	1472	1481	treatment	T061	C0087111
27871510	1486	1506	significantly higher	T081	C4055637
27871510	1510	1517	group C	UnknownType	C0681860
27871510	1523	1530	group A	UnknownType	C0681860
27871510	1554	1563	incidence	T169	C0220856
27871510	1567	1578	hypotension	T033	C0020649
27871510	1587	1596	ephedrine	T109,T121	C0014479
27871510	1597	1606	treatment	T061	C0087111
27871510	1614	1639	no significant difference	T033	C3842396
