27872234|t|Downregulation of Endothelial Transient Receptor Potential Vanilloid Type 4 Channel and Small-Conductance of Ca2+-Activated K+ Channels Underpins Impaired Endothelium-Dependent Hyperpolarization in Hypertension
27872234|a|Endothelium-dependent hyperpolarization (EDH)-mediated responses are impaired in hypertension, but the underlying mechanisms have not yet been determined. The activation of small- and intermediate-conductance of Ca(2+)-activated K(+) channels (SKCa and IKCa) underpins EDH -mediated responses. It was recently reported that Ca(2+) influx through endothelial transient receptor potential vanilloid type 4 channel (TRPV4) is a prerequisite for the activation of SKCa / IKCa in endothelial cells in specific beds. Here, we attempted to determine whether the impairment of EDH in hypertension is attributable to the dysfunction of TRPV4 and S / IKCa, using isolated superior mesenteric arteries of 20-week-old stroke-prone spontaneously hypertensive rats (SHRSP) and age-matched Wistar-Kyoto (WKY) rats. In the WKY arteries, EDH -mediated responses were reduced by a combination of SKCa / IKCa blockers (apamin plus TRAM-34; 1-[(2-chlorophenyl)diphenylmethl]-1H-pyrazole) and by the blockade of TRPV4 with the selective antagonist RN-1734 or HC-067047. In the SHRSP arteries, EDH-mediated hyperpolarization and relaxation were significantly impaired when compared with WKY. GSK1016790A, a selective TRPV4 activator, evoked robust hyperpolarization and relaxation in WKY arteries. In contrast, in SHRSP arteries, the GSK1016790A -evoked hyperpolarization was small and relaxation was absent. Hyperpolarization and relaxation to cyclohexyl-[2-(3,5-dimethyl-pyrazol-1-yl)-6-methyl-pyrimidin-4-yl]-amine, a selective SKCa activator, were marginally decreased in SHRSP arteries compared with WKY arteries. The expression of endothelial TRPV4 and SKCa protein was significantly decreased in the SHRSP mesenteric arteries compared with those of WKY, whereas function and expression of IKCa were preserved in SHRSP arteries. These findings suggest that EDH -mediated responses are impaired in superior mesenteric arteries of SHRSP because of a reduction in both TRPV4 and SKCa input to EDH.
27872234	0	14	Downregulation	T044	C0013081
27872234	18	83	Endothelial Transient Receptor Potential Vanilloid Type 4 Channel	T116,T123	C1563722
27872234	88	135	Small-Conductance of Ca2+-Activated K+ Channels	T116,T123	C1571638
27872234	146	154	Impaired	T169	C0221099
27872234	155	194	Endothelium-Dependent Hyperpolarization	T123	C0082428
27872234	198	210	Hypertension	T047	C0020538
27872234	211	250	Endothelium-dependent hyperpolarization	T123	C0082428
27872234	252	255	EDH	T123	C0082428
27872234	266	275	responses	T033	C1704632
27872234	280	288	impaired	T169	C0221099
27872234	292	304	hypertension	T047	C0020538
27872234	325	335	mechanisms	T169	C0441712
27872234	370	380	activation	T052	C1879547
27872234	384	390	small-	T116,T123	C1571638
27872234	395	453	intermediate-conductance of Ca(2+)-activated K(+) channels	T116,T123	C1571649
27872234	455	459	SKCa	T116,T123	C1571638
27872234	464	468	IKCa	T116,T123	C1571649
27872234	480	483	EDH	T123	C0082428
27872234	494	503	responses	T033	C1704632
27872234	521	529	reported	T170	C0684224
27872234	535	548	Ca(2+) influx	T043	C3158761
27872234	557	622	endothelial transient receptor potential vanilloid type 4 channel	T116,T123	C1563722
27872234	624	629	TRPV4	T116,T123	C1563722
27872234	636	648	prerequisite	T078	C0679209
27872234	657	667	activation	T052	C1879547
27872234	671	675	SKCa	T116,T123	C1571638
27872234	678	682	IKCa	T116,T123	C1571649
27872234	686	703	endothelial cells	T025	C0225336
27872234	731	740	attempted	T051	C1516084
27872234	766	776	impairment	T169	C0221099
27872234	780	783	EDH	T123	C0082428
27872234	787	799	hypertension	T047	C0020538
27872234	823	834	dysfunction	T077	C3887504
27872234	838	843	TRPV4	T116,T123	C1563722
27872234	848	849	S	T116,T123	C1571638
27872234	852	856	IKCa	T116,T123	C1571649
27872234	873	901	superior mesenteric arteries	T023	C0162861
27872234	917	961	stroke-prone spontaneously hypertensive rats	T015	C0034705
27872234	963	968	SHRSP	T015	C0034705
27872234	986	1009	Wistar-Kyoto (WKY) rats	T015	C0034709
27872234	1018	1021	WKY	T015	C0034709
27872234	1022	1030	arteries	T023	C0003842
27872234	1032	1035	EDH	T123	C0082428
27872234	1046	1055	responses	T033	C1704632
27872234	1061	1068	reduced	T080	C0392756
27872234	1074	1085	combination	T080	C0205195
27872234	1089	1093	SKCa	T116,T123	C1571638
27872234	1096	1100	IKCa	T116,T123	C1571649
27872234	1101	1109	blockers	T121	C0870261
27872234	1111	1117	apamin	T116,T123,T131	C0003521
27872234	1123	1130	TRAM-34	T109,T121	C0916207
27872234	1132	1177	1-[(2-chlorophenyl)diphenylmethl]-1H-pyrazole	T109,T121	C0916207
27872234	1190	1198	blockade	T169	C0332206
27872234	1202	1207	TRPV4	T116,T123	C1563722
27872234	1227	1237	antagonist	T120	C0243076
27872234	1238	1245	RN-1734	T109	C2744078
27872234	1249	1258	HC-067047	T109,T121	C3493142
27872234	1267	1272	SHRSP	T015	C0034705
27872234	1273	1281	arteries	T023	C0003842
27872234	1283	1313	EDH-mediated hyperpolarization	T123	C0082428
27872234	1318	1328	relaxation	T052	C0035028
27872234	1334	1347	significantly	T078	C0750502
27872234	1348	1356	impaired	T169	C0221099
27872234	1376	1379	WKY	T015	C0034709
27872234	1381	1392	GSK1016790A	T109	C2604031
27872234	1406	1411	TRPV4	T116,T123	C1563722
27872234	1412	1421	activator	T121	C0243192
27872234	1437	1454	hyperpolarization	T043	C2262820
27872234	1459	1469	relaxation	T052	C0035028
27872234	1473	1476	WKY	T015	C0034709
27872234	1477	1485	arteries	T023	C0003842
27872234	1503	1508	SHRSP	T015	C0034705
27872234	1509	1517	arteries	T023	C0003842
27872234	1523	1534	GSK1016790A	T109	C2604031
27872234	1543	1560	hyperpolarization	T043	C2262820
27872234	1575	1585	relaxation	T052	C0035028
27872234	1590	1596	absent	T169	C0332197
27872234	1598	1615	Hyperpolarization	T043	C2262820
27872234	1620	1630	relaxation	T052	C0035028
27872234	1634	1706	cyclohexyl-[2-(3,5-dimethyl-pyrazol-1-yl)-6-methyl-pyrimidin-4-yl]-amine	T109,T121	C2976731
27872234	1720	1724	SKCa	T116,T123	C1571638
27872234	1725	1734	activator	T121	C0243192
27872234	1741	1751	marginally	T080	C1947914
27872234	1752	1761	decreased	T081	C0205216
27872234	1765	1770	SHRSP	T015	C0034705
27872234	1771	1779	arteries	T023	C0003842
27872234	1794	1797	WKY	T015	C0034709
27872234	1798	1806	arteries	T023	C0003842
27872234	1812	1822	expression	T045	C1171362
27872234	1826	1843	endothelial TRPV4	T116,T123	C1563722
27872234	1848	1852	SKCa	T116,T123	C1571638
27872234	1865	1888	significantly decreased	T081	C4055638
27872234	1896	1901	SHRSP	T015	C0034705
27872234	1902	1921	mesenteric arteries	T023	C0162861
27872234	1945	1948	WKY	T015	C0034709
27872234	1958	1966	function	T169	C0542341
27872234	1971	1981	expression	T045	C1171362
27872234	1985	1989	IKCa	T116,T123	C1571649
27872234	2008	2013	SHRSP	T015	C0034705
27872234	2014	2022	arteries	T023	C0003842
27872234	2030	2038	findings	T033	C0243095
27872234	2052	2055	EDH	T123	C0082428
27872234	2066	2075	responses	T033	C1704632
27872234	2080	2088	impaired	T169	C0221099
27872234	2092	2120	superior mesenteric arteries	T023	C0162861
27872234	2124	2129	SHRSP	T015	C0034705
27872234	2143	2152	reduction	T061	C0441610
27872234	2161	2166	TRPV4	T116,T123	C1563722
27872234	2171	2175	SKCa	T116,T123	C1571638
27872234	2176	2181	input	T077	C1708517
27872234	2185	2188	EDH	T123	C0082428
