27918168|t|The effect of therapist use of validation strategies on change in client emotion in individual dbt treatment sessions
27918168|a|Dialectical behavior therapy (DBT) is a treatment for borderline personality disorder, a disorder for which emotion dysregulation is central. Within DBT, there are 6 explicitly defined validation strategies that range hierarchically from validation level (VL) 1 to VL 6. To date, there have been no studies on the frequency of use of VLs in actual DBT sessions. The aim of the current study was to explore DBT therapists ' use of VLs and examine the relationship between VLs and change in a client emotion during therapy sessions. DBT treatment sessions (n = 121) across 35 participants in a DBT training clinic were coded for therapist use of VLs. A repeated-measures analysis of variance (ANOVA) was used to assess for change in therapist use of VLs over time and hierarchical linear modeling was used to correlate therapist use of these strategies with change in client emotion. Results indicated no significant relationship between overall frequency of VLs and change in client emotion. However, an increase in frequency of high VLs was associated with an increase in positive affect (PA) and a decrease in negative affect (NA) while an increase in frequency of low VLs was associated with a decrease in PA and no change in NA. An increase in frequency of VL 4 was associated with an increase in NA. VL 6 was associated with an increase in PA and a decrease in NA. Findings suggest that specific validation strategies may be related to session changes in affect and have implications for identifying potential mechanisms of change. (PsycINFO Database Record
27918168	4	10	effect	T080	C1280500
27918168	14	23	therapist	T097	C0871525
27918168	31	41	validation	T062	C1519941
27918168	42	52	strategies	T061	C0184661
27918168	66	72	client	T096	C0008942
27918168	73	80	emotion	T041	C0013987
27918168	95	98	dbt	T061	C1321145
27918168	99	108	treatment	T061	C0087111
27918168	109	117	sessions	T061	C0199393
27918168	118	146	Dialectical behavior therapy	T061	C1321145
27918168	148	151	DBT	T061	C1321145
27918168	158	167	treatment	T061	C0087111
27918168	172	203	borderline personality disorder	T048	C0006012
27918168	207	215	disorder	T047	C0012634
27918168	226	247	emotion dysregulation	T048	C0004936
27918168	267	270	DBT	T061	C1321145
27918168	303	313	validation	T062	C1519941
27918168	314	324	strategies	T061	C0184661
27918168	330	335	range	T081	C1514721
27918168	336	350	hierarchically	T169	C0699032
27918168	356	366	validation	T062	C1519941
27918168	367	372	level	T080	C0441889
27918168	374	376	VL	T080	C0441889
27918168	383	385	VL	T080	C0441889
27918168	417	424	studies	T062	C2603343
27918168	432	441	frequency	T081	C0871396
27918168	452	455	VLs	T080	C0441889
27918168	466	469	DBT	T061	C1321145
27918168	470	478	sessions	T061	C0199393
27918168	484	487	aim	T078	C1947946
27918168	503	508	study	T062	C2603343
27918168	524	527	DBT	T061	C1321145
27918168	528	538	therapists	T097	C0871525
27918168	548	551	VLs	T080	C0441889
27918168	556	563	examine	T058	C0582103
27918168	589	592	VLs	T080	C0441889
27918168	609	615	client	T096	C0008942
27918168	616	623	emotion	T041	C0013987
27918168	631	638	therapy	T061	C0087111
27918168	639	647	sessions	T061	C0199393
27918168	649	652	DBT	T061	C1321145
27918168	653	662	treatment	T061	C0087111
27918168	663	671	sessions	T061	C0199393
27918168	692	704	participants	T098	C0679646
27918168	710	713	DBT	T061	C1321145
27918168	723	729	clinic	T073,T093	C0442592
27918168	745	754	therapist	T097	C0871525
27918168	762	765	VLs	T080	C0441889
27918168	769	786	repeated-measures	T062	C0871881
27918168	787	807	analysis of variance	T081	C0002780
27918168	809	814	ANOVA	T081	C0002780
27918168	849	858	therapist	T097	C0871525
27918168	866	869	VLs	T080	C0441889
27918168	884	912	hierarchical linear modeling	T081	C0814910
27918168	935	944	therapist	T097	C0871525
27918168	958	968	strategies	T061	C0184661
27918168	984	990	client	T096	C0008942
27918168	991	998	emotion	T041	C0013987
27918168	1000	1007	Results	T033	C0683954
27918168	1062	1071	frequency	T081	C0871396
27918168	1075	1078	VLs	T080	C0441889
27918168	1093	1099	client	T096	C0008942
27918168	1100	1107	emotion	T041	C0013987
27918168	1133	1142	frequency	T081	C0871396
27918168	1151	1154	VLs	T080	C0441889
27918168	1190	1198	positive	T033	C1446409
27918168	1199	1205	affect	T041	C0001721
27918168	1207	1209	PA	T041	C0001721
27918168	1229	1237	negative	T033	C0205160
27918168	1238	1244	affect	T041	C0001721
27918168	1246	1248	NA	T041	C0001721
27918168	1271	1280	frequency	T081	C0871396
27918168	1288	1291	VLs	T080	C0441889
27918168	1326	1328	PA	T041	C0001721
27918168	1346	1348	NA	T041	C0001721
27918168	1365	1374	frequency	T081	C0871396
27918168	1378	1380	VL	T080	C0441889
27918168	1418	1420	NA	T041	C0001721
27918168	1422	1424	VL	T080	C0441889
27918168	1462	1464	PA	T041	C0001721
27918168	1483	1485	NA	T041	C0001721
27918168	1487	1495	Findings	T033	C0243095
27918168	1518	1528	validation	T062	C1519941
27918168	1529	1539	strategies	T061	C0184661
27918168	1529	1539	strategies	T061	C0184661
27918168	1558	1565	session	T061	C0199393
27918168	1577	1583	affect	T041	C0001721
27918168	1632	1642	mechanisms	T169	C0441712
