27928009|t|Influence of Plasma Cell Niche Factors on the Recruitment and Maintenance of IRF4hi Plasma Cells and Plasmablasts in Vaccinated, Simian Immunodeficiency Virus - Infected Rhesus Macaques with Low and High Viremia
27928009|a|In a recent study, we found that protection following simian immunodeficiency virus (SIV) exposure correlated with rectal plasma cell frequency in vaccinated female rhesus macaques. We sought to determine if the same macaques maintained high mucosal plasma cell frequencies postinfection and if this translated to reduced viremia. Although delayed SIV acquisition did not predict subsequent viral control, alterations existed in the distribution of plasma cells and plasmablasts between macaques that exhibited high or low viremia. Flow cytometric analysis of cells from rectal biopsy specimens, bone marrow, and mesenteric lymph nodes of vaccinated infected, unvaccinated infected, and uninfected macaques identified two main IRF4(hi) subsets of interest: CD138 (+) plasma cells, and CD138 (-) plasmablasts. In rectal tissue, plasma cell frequency positively correlated with plasma viremia and unvaccinated macaques had increased plasma cells and plasmablasts compared to vaccinated animals. Likewise, plasmablast frequency in the mesenteric lymph node correlated with viremia. However, in bone marrow, plasmablast frequency negatively correlated with viremia. Accordingly, low-viremic macaques had a higher frequency of both bone marrow IRF4(hi) subsets than did animals with high viremia. Significant reciprocal relationships between rectal and bone marrow plasmablasts suggested that efficient trafficking to the bone marrow as opposed to the rectal mucosa was linked to viral control. mRNA expression analysis of proteins involved in establishment of plasma cell niches in sorted bone marrow and rectal cell populations further supported this model and revealed differential mRNA expression patterns in these tissues. As key antibody producers, plasma cells and plasmablasts are critical components of vaccine -induced immunity to human immunodeficiency virus type 1 (HIV-1) in humans and SIV in the macaque model; however, few have attempted to examine the role of these cells in viral suppression postinfection. Our results suggest that plasmablast trafficking to and retention in the bone marrow play a previously unappreciated role in viral control and contrast the potential contribution of mucosal plasma cells to mediate protection at sites of infection with that of bone marrow plasmablasts and plasma cells to control viremia during chronic infection. Manipulation of niche factors influencing the distribution and maintenance of these critical antibody-secreting cells may serve as potential therapeutic targets to enhance antiviral responses postvaccination and postinfection.
27928009	0	9	Influence	T077	C4054723
27928009	13	24	Plasma Cell	T025	C0032112
27928009	25	38	Niche Factors	T169	C1521761
27928009	46	73	Recruitment and Maintenance	T038	C1744691
27928009	77	83	IRF4hi	T025	C0032112
27928009	84	96	Plasma Cells	T025	C0032112
27928009	101	113	Plasmablasts	T025	C0229657
27928009	117	127	Vaccinated	T033	C1519885
27928009	129	158	Simian Immunodeficiency Virus	T005	C0037224
27928009	161	169	Infected	T046	C3714514
27928009	170	185	Rhesus Macaques	T015	C0024400
27928009	204	211	Viremia	T047	C0042749
27928009	224	229	study	T062	C2603343
27928009	245	255	protection	T061	C0150259
27928009	266	295	simian immunodeficiency virus	T005	C0037224
27928009	297	300	SIV	T005	C0037224
27928009	302	310	exposure	T080	C0332157
27928009	327	333	rectal	T023	C0034896
27928009	334	345	plasma cell	T025	C0032112
27928009	346	355	frequency	T079	C0439603
27928009	359	369	vaccinated	T033	C1519885
27928009	370	376	female	T080	C1705498
27928009	377	392	rhesus macaques	T015	C0024400
27928009	429	437	macaques	T015	C0024400
27928009	454	461	mucosal	T024	C0026724
27928009	462	473	plasma cell	T025	C0032112
27928009	474	485	frequencies	T079	C0439603
27928009	486	499	postinfection	T079	C1254367
27928009	534	541	viremia	T047	C0042749
27928009	560	563	SIV	T005	C0037224
27928009	564	575	acquisition	T052	C1706701
27928009	661	673	plasma cells	T025	C0032112
27928009	678	690	plasmablasts	T025	C0229657
27928009	699	707	macaques	T015	C0024400
27928009	735	742	viremia	T047	C0042749
27928009	744	768	Flow cytometric analysis	T059	C0016263
27928009	772	777	cells	T025	C0007634
27928009	783	806	rectal biopsy specimens	T024	C0586753
27928009	808	819	bone marrow	T024	C0005953
27928009	825	847	mesenteric lymph nodes	T023	C0229792
27928009	851	870	vaccinated infected	T033	C0439663
27928009	872	893	unvaccinated infected	T033	C0439663
27928009	899	909	uninfected	T033	C0243095
27928009	910	918	macaques	T015	C0024400
27928009	939	947	IRF4(hi)	T025	C0032112
27928009	969	974	CD138	T116,T123	C1609943
27928009	979	991	plasma cells	T025	C0032112
27928009	997	1002	CD138	T116,T123	C1609943
27928009	1007	1019	plasmablasts	T025	C0229657
27928009	1024	1037	rectal tissue	T024	C0040300
27928009	1039	1050	plasma cell	T025	C0032112
27928009	1051	1060	frequency	T079	C0439603
27928009	1088	1094	plasma	T031	C0032105
27928009	1095	1102	viremia	T047	C0042749
27928009	1107	1128	unvaccinated macaques	T015	C0024400
27928009	1143	1155	plasma cells	T025	C0032112
27928009	1160	1172	plasmablasts	T025	C0229657
27928009	1185	1195	vaccinated	T033	C1519885
27928009	1196	1203	animals	T008	C0003062
27928009	1215	1226	plasmablast	T025	C0229657
27928009	1227	1236	frequency	T079	C0439603
27928009	1244	1265	mesenteric lymph node	T023	C0229792
27928009	1282	1289	viremia	T047	C0042749
27928009	1303	1314	bone marrow	T024	C0005953
27928009	1316	1327	plasmablast	T025	C0229657
27928009	1328	1337	frequency	T079	C0439603
27928009	1365	1372	viremia	T047	C0042749
27928009	1399	1407	macaques	T015	C0024400
27928009	1421	1430	frequency	T079	C0439603
27928009	1439	1450	bone marrow	T024	C0005953
27928009	1451	1459	IRF4(hi)	T025	C0032112
27928009	1477	1484	animals	T008	C0003062
27928009	1495	1502	viremia	T047	C0042749
27928009	1549	1555	rectal	T023	C0034896
27928009	1560	1571	bone marrow	T024	C0005953
27928009	1572	1584	plasmablasts	T025	C0229657
27928009	1610	1621	trafficking	T043	C0599896
27928009	1629	1640	bone marrow	T024	C0005953
27928009	1659	1672	rectal mucosa	T023	C0227395
27928009	1687	1700	viral control	T169	C2587213
27928009	1702	1717	mRNA expression	T045	C1515670
27928009	1730	1738	proteins	T116,T123	C0033684
27928009	1768	1779	plasma cell	T025	C0032112
27928009	1797	1808	bone marrow	T024	C0005953
27928009	1813	1824	rectal cell	T025	C0007634
27928009	1860	1865	model	T050	C0012644
27928009	1892	1907	mRNA expression	T045	C1515670
27928009	1926	1933	tissues	T024	C0040300
27928009	1942	1950	antibody	T116,T129	C0003241
27928009	1962	1974	plasma cells	T025	C0032112
27928009	1979	1991	plasmablasts	T025	C0229657
27928009	2019	2026	vaccine	T121,T129	C0042210
27928009	2036	2044	immunity	T039	C0020964
27928009	2048	2083	human immunodeficiency virus type 1	T005	C0019704
27928009	2085	2090	HIV-1	T005	C0019704
27928009	2095	2101	humans	T016	C0086418
27928009	2106	2109	SIV	T005	C0037224
27928009	2117	2130	macaque model	T050	C0012644
27928009	2189	2194	cells	T025	C0007634
27928009	2198	2215	viral suppression	T033	C4050171
27928009	2216	2229	postinfection	T079	C1254367
27928009	2256	2267	plasmablast	T025	C0229657
27928009	2268	2279	trafficking	T043	C0599896
27928009	2304	2315	bone marrow	T024	C0005953
27928009	2413	2420	mucosal	T024	C0026724
27928009	2421	2433	plasma cells	T025	C0032112
27928009	2468	2477	infection	T046	C3714514
27928009	2491	2502	bone marrow	T024	C0005953
27928009	2503	2515	plasmablasts	T025	C0229657
27928009	2520	2532	plasma cells	T025	C0032112
27928009	2544	2551	viremia	T047	C0042749
27928009	2559	2576	chronic infection	T047	C0151317
27928009	2594	2607	niche factors	T169	C1521761
27928009	2624	2636	distribution	T169	C1704711
27928009	2641	2652	maintenance	T052	C0024501
27928009	2671	2695	antibody-secreting cells	T025	C0085820
27928009	2750	2769	antiviral responses	T040	C1155328
27928009	2770	2785	postvaccination	T079	C1254367
27928009	2790	2803	postinfection	T079	C1254367
