28065421|t|Exploration of the Influence of Factors Identified in the Literature on School-aged Children's Emotional Responses to Asthma
28065421|a|Approximately 6.3 million US children suffer from asthma. The purpose of this study was to explore factors on school-aged children's emotional responses to asthma, N=85, ages 6-12. Correlations included Asthma related child emotional functioning QOL and (a) asthma severity, r=-0.30, p<0.01, (b) child internalizing behaviors, r=-0.26, p<0.05, (c) child externalizing behaviors r=-0.43, p<0.001; Caregiver emotional functioning QOL and (a) asthma severity, r=-0.39, p<0.001, (b) child internalizing behaviors, r=-0.22, p<0.05, (c) child externalizing behaviors, r=-0.25; p<0.05. Multiple regression analysis revealed that asthma severity and child externalizing problems accounted for 26% of the variance in asthma related child emotional functioning QOL, F (4, 79)=7.051, p<0.001 (asthma severity, β=-0.31, p<0.01; child externalizing problem behaviors, β=-0.43, p<0.001). Findings imply that asthma research should consider problem behaviors of school-aged children when addressing asthma related emotional functioning QOL.
28065421	0	11	Exploration	T061	C1280903
28065421	19	28	Influence	T077	C4054723
28065421	32	39	Factors	T041	C0033898
28065421	40	50	Identified	T080	C0205396
28065421	58	68	Literature	T170	C0023866
28065421	72	83	School-aged	T032	C0001779
28065421	84	94	Children's	T100	C0008059
28065421	95	114	Emotional Responses	T041	C0870485
28065421	118	124	Asthma	T047	C0004096
28065421	125	138	Approximately	T080	C0332232
28065421	143	150	million	T081	C1881839
28065421	151	153	US	T083	C0041703
28065421	154	162	children	T100	C0008059
28065421	163	169	suffer	T184	C0751408
28065421	175	181	asthma	T047	C0004096
28065421	203	208	study	T062	C2603343
28065421	224	231	factors	T041	C0033898
28065421	235	246	school-aged	T032	C0001779
28065421	247	257	children's	T100	C0008059
28065421	258	277	emotional responses	T041	C0870485
28065421	281	287	asthma	T047	C0004096
28065421	295	299	ages	T032	C0001779
28065421	306	318	Correlations	T080	C1707520
28065421	328	342	Asthma related	T047	C0004096
28065421	343	348	child	T100	C0008059
28065421	349	358	emotional	T041	C0013987
28065421	359	370	functioning	T169	C0542341
28065421	371	374	QOL	T078	C0034380
28065421	383	398	asthma severity	T058	C0581122
28065421	421	426	child	T100	C0008059
28065421	427	450	internalizing behaviors	T053	C0004927
28065421	473	478	child	T100	C0008059
28065421	479	502	externalizing behaviors	T053	C0004927
28065421	521	530	Caregiver	T097	C0085537
28065421	531	540	emotional	T041	C0013987
28065421	541	552	functioning	T169	C0542341
28065421	553	556	QOL	T078	C0034380
28065421	565	580	asthma severity	T058	C0581122
28065421	604	609	child	T100	C0008059
28065421	610	633	internalizing behaviors	T053	C0004927
28065421	656	661	child	T100	C0008059
28065421	662	685	externalizing behaviors	T053	C0004927
28065421	704	712	Multiple	T081	C0439064
28065421	713	732	regression analysis	T170	C0034980
28065421	747	762	asthma severity	T058	C0581122
28065421	767	772	child	T100	C0008059
28065421	773	795	externalizing problems	T053	C0004927
28065421	821	829	variance	T080	C1711260
28065421	833	847	asthma related	T047	C0004096
28065421	848	853	child	T100	C0008059
28065421	854	863	emotional	T041	C0013987
28065421	864	875	functioning	T169	C0542341
28065421	876	879	QOL	T078	C0034380
28065421	907	922	asthma severity	T058	C0581122
28065421	941	946	child	T100	C0008059
28065421	947	978	externalizing problem behaviors	T053	C0004927
28065421	999	1007	Findings	T033	C0243095
28065421	1019	1025	asthma	T047	C0004096
28065421	1026	1034	research	T062	C0035168
28065421	1051	1068	problem behaviors	T048	C0233514
28065421	1072	1083	school-aged	T032	C0001779
28065421	1084	1092	children	T100	C0008059
28065421	1109	1123	asthma related	T047	C0004096
28065421	1124	1133	emotional	T041	C0013987
28065421	1134	1145	functioning	T169	C0542341
28065421	1146	1149	QOL	T078	C0034380
