28081044|t|Evaluation of the Condom Barriers Scale for Young Black Men Who Have Sex With Men: Reliability and Validity of 3 Subscales
28081044|a|Reliable and valid scale measures of barriers to condom use are not available for young black men who have sex with men (YBMSM). The purpose of this study was to evaluate the Condom Barriers Scales for application with YBMSM. A clinic-based sample of 600 YBMSM completed a computer-assisted self-interview. The primary measure was a 14-item abbreviated version of the Condom Barriers Scale. Reliability and criterion validity were assessed. All 3 subscales were reliable: partner -related barriers (Cronbach α =0.73), sensation -related barriers (α=0.70), and motivation -related barriers (α =0.81). A complete absence of barriers was common: 47.0% (partner -related), 30.7% (sensation -related), and 46.5% (motivation -related). Dichotomized subscales were significantly associated with reporting any condomless insertive anal sex (all Ps < 0.001) and any condomless receptive anal sex (all Ps < 0.001). The subscales were significantly associated with these measures of condomless sex preserved at a continuous level (all Ps <0.001, except for sensation barriers associated with condomless receptive anal sex = 0.03). Further, the subscales were significantly associated with reporting any condom use problems (all Ps <0.001) and a measure of condomless oral sex (all Ps <0.001, except for partner -related barriers =0.31). Finally, the sensation -related barriers subscale was significantly associated with testing positive for Chlamydia and/or gonorrhea (P=0.049). The 3 identified subscales yielded adequate reliability and strong evidence of validity, thereby suggesting the utility of these brief measures for use in observational and experimental research with YBMSM.
28081044	0	10	Evaluation	T058	C0220825
28081044	18	39	Condom Barriers Scale	T170	C0349674
28081044	44	49	Young	T100	C0238598
28081044	50	81	Black Men Who Have Sex With Men	T098	C2827413
28081044	83	107	Reliability and Validity	T080	C0035036
28081044	113	122	Subscales	T170	C0349674
28081044	123	131	Reliable	T080	C0035037
28081044	136	141	valid	T080	C2349099
28081044	142	147	scale	T170	C0349674
28081044	148	156	measures	T081	C0086749
28081044	160	168	barriers	T061	C0004764
28081044	172	182	condom use	T055	C0679782
28081044	205	210	young	T100	C0238598
28081044	211	242	black men who have sex with men	T098	C2827413
28081044	244	249	YBMSM	T098	C2827413
28081044	298	320	Condom Barriers Scales	T170	C0349674
28081044	342	347	YBMSM	T098	C2827413
28081044	351	363	clinic-based	T080	C0205210
28081044	364	370	sample	T077	C2347026
28081044	378	383	YBMSM	T098	C2827413
28081044	396	413	computer-assisted	T059	C2362103
28081044	414	428	self-interview	T052	C0021822
28081044	442	449	measure	T081	C0086749
28081044	464	483	abbreviated version	T170	C0282574
28081044	491	512	Condom Barriers Scale	T170	C0349674
28081044	514	525	Reliability	T080	C0035037
28081044	530	548	criterion validity	T081	C2699472
28081044	570	579	subscales	T170	C0349674
28081044	585	593	reliable	T080	C0035037
28081044	595	602	partner	T098	C0036911
28081044	612	620	barriers	T061	C0004764
28081044	622	632	Cronbach α	T081	C0392762
28081044	641	650	sensation	T042	C0036658
28081044	660	668	barriers	T061	C0004764
28081044	683	693	motivation	T041	C0026605
28081044	703	711	barriers	T061	C0004764
28081044	725	753	complete absence of barriers	T033	C0517435
28081044	773	780	partner	T098	C0036911
28081044	799	808	sensation	T042	C0036658
28081044	831	841	motivation	T041	C0026605
28081044	866	875	subscales	T170	C0349674
28081044	881	894	significantly	T081	C0237881
28081044	895	910	associated with	T080	C0332281
28081044	925	935	condomless	T033	C0420844
28081044	936	945	insertive	T054	C0233979
28081044	946	954	anal sex	T055	C0282347
28081044	960	962	Ps	T081	C0392762
28081044	980	990	condomless	T033	C0420844
28081044	991	1000	receptive	T042	C0544683
28081044	1001	1009	anal sex	T055	C0282347
28081044	1015	1017	Ps	T081	C0392762
28081044	1032	1041	subscales	T170	C0349674
28081044	1047	1060	significantly	T081	C0237881
28081044	1061	1076	associated with	T080	C0332281
28081044	1083	1091	measures	T081	C0086749
28081044	1095	1105	condomless	T033	C0420844
28081044	1106	1109	sex	T040	C0009253
28081044	1125	1135	continuous	T078	C0549178
28081044	1136	1141	level	T080	C0441889
28081044	1147	1149	Ps	T081	C0392762
28081044	1169	1178	sensation	T042	C0036658
28081044	1179	1187	barriers	T061	C0004764
28081044	1188	1203	associated with	T080	C0332281
28081044	1204	1214	condomless	T033	C0420844
28081044	1225	1233	anal sex	T055	C0282347
28081044	1256	1265	subscales	T170	C0349674
28081044	1271	1284	significantly	T081	C0237881
28081044	1285	1300	associated with	T080	C0332281
28081044	1315	1325	condom use	T055	C0679782
28081044	1326	1334	problems	T078	C1546466
28081044	1340	1342	Ps	T081	C0392762
28081044	1357	1364	measure	T081	C0086749
28081044	1368	1378	condomless	T033	C0420844
28081044	1379	1387	oral sex	T055	C0282348
28081044	1393	1395	Ps	T081	C0392762
28081044	1415	1422	partner	T098	C0036911
28081044	1432	1440	barriers	T061	C0004764
28081044	1462	1471	sensation	T042	C0036658
28081044	1481	1489	barriers	T061	C0004764
28081044	1490	1498	subscale	T170	C0349674
28081044	1503	1516	significantly	T081	C0237881
28081044	1517	1532	associated with	T080	C0332281
28081044	1541	1549	positive	T033	C1514241
28081044	1554	1563	Chlamydia	T007	C0008148
28081044	1571	1580	gonorrhea	T047	C0018081
28081044	1609	1618	subscales	T170	C0349674
28081044	1636	1647	reliability	T080	C0035037
28081044	1671	1679	validity	T080	C0042284
28081044	1727	1735	measures	T081	C0086749
28081044	1747	1760	observational	T062	C1518527
28081044	1765	1786	experimental research	T062	C0681814
28081044	1792	1797	YBMSM	T098	C2827413
