28106838|t|Molecular Characterization of Voltage-Gated Sodium Channels and Their Relations with Paralytic Shellfish Toxin Bioaccumulation in the Pacific Oyster Crassostrea gigas
28106838|a|Paralytic shellfish toxins (PST) bind to voltage-gated sodium channels (Nav) and block conduction of action potential in excitable cells. This study aimed to (i) characterize Nav sequences in Crassostrea gigas and (ii) investigate a putative relation between Nav and PST - bioaccumulation in oysters. The phylogenetic analysis highlighted two types of Nav in C. gigas: a Nav1 (CgNav1) and a Nav2 (CgNav2) with sequence properties of sodium-selective and sodium / calcium-selective channels, respectively. Three alternative splice transcripts of CgNav1 named A, B and C, were characterized. The expression of CgNav1, analyzed by in situ hybridization, is specific to nervous cells and to structures corresponding to neuromuscular junctions. Real-time PCR analyses showed a strong expression of CgNav1A in the striated muscle while CgNav1B is mainly expressed in visceral ganglia. CgNav1C expression is ubiquitous. The PST binding site (domain II) of CgNav1 variants possess an amino acid Q that could potentially confer a partial saxitoxin (STX)-resistance to the channel. The CgNav1 genotype or alternative splicing would not be the key point determining PST bioaccumulation level in oysters.
28106838	0	9	Molecular	T080	C1521991
28106838	10	26	Characterization	T052	C1880022
28106838	30	59	Voltage-Gated Sodium Channels	T116,T123	C3494197
28106838	85	110	Paralytic Shellfish Toxin	T116,T123,T131	C0301278
28106838	111	126	Bioaccumulation	T042	C0311432
28106838	134	141	Pacific	T083	C0017446
28106838	142	148	Oyster	T204	C0030104
28106838	149	166	Crassostrea gigas	T204	C1002498
28106838	167	193	Paralytic shellfish toxins	T116,T123,T131	C0301278
28106838	195	198	PST	T116,T123,T131	C0301278
28106838	208	237	voltage-gated sodium channels	T116,T123	C3494197
28106838	239	242	Nav	T116,T123	C3494197
28106838	268	284	action potential	T043	C0001272
28106838	288	303	excitable cells	T025	C0007634
28106838	310	315	study	T062	C2603343
28106838	342	345	Nav	T116,T123	C3494197
28106838	346	355	sequences	T087	C0002518
28106838	359	376	Crassostrea gigas	T204	C1002498
28106838	426	429	Nav	T116,T123	C3494197
28106838	434	437	PST	T116,T123,T131	C0301278
28106838	440	455	bioaccumulation	T042	C0311432
28106838	459	466	oysters	T204	C0030104
28106838	472	493	phylogenetic analysis	T062	C1519068
28106838	519	522	Nav	T116,T123	C3494197
28106838	526	534	C. gigas	T204	C1002498
28106838	538	542	Nav1	T116,T123	C3494197
28106838	544	550	CgNav1	T028	C1334284
28106838	558	562	Nav2	T116,T123	C3494197
28106838	564	570	CgNav2	T028	C1334284
28106838	577	585	sequence	T087	C0002518
28106838	600	616	sodium-selective	T116,T123	C0037492
28106838	621	627	sodium	T116,T123	C0037492
28106838	630	656	calcium-selective channels	T116,T123	C0006685
28106838	678	708	alternative splice transcripts	T086,T123	C1720837
28106838	712	718	CgNav1	T028	C1334284
28106838	725	726	A	T086,T123	C1720837
28106838	728	729	B	T086,T123	C1720837
28106838	734	735	C	T086,T123	C1720837
28106838	761	771	expression	T045	C0017262
28106838	775	781	CgNav1	T028	C1334284
28106838	795	816	in situ hybridization	T063	C0162788
28106838	833	846	nervous cells	T025	C0027882
28106838	882	905	neuromuscular junctions	T026	C0027869
28106838	907	920	Real-time PCR	T063	C1709846
28106838	946	956	expression	T045	C0017262
28106838	960	967	CgNav1A	T028	C1334284
28106838	975	990	striated muscle	T024	C1331262
28106838	997	1004	CgNav1B	T028	C1334284
28106838	1015	1024	expressed	T045	C0017262
28106838	1028	1044	visceral ganglia	T023	C0017067
28106838	1046	1053	CgNav1C	T028	C1334284
28106838	1054	1064	expression	T045	C0017262
28106838	1084	1087	PST	T116,T123,T131	C0301278
28106838	1088	1100	binding site	T192	C0005456
28106838	1102	1111	domain II	T192	C0005456
28106838	1116	1122	CgNav1	T028	C1334284
28106838	1143	1153	amino acid	T116,T121,T123	C0002520
28106838	1154	1155	Q	T116,T121,T123	C0017797
28106838	1196	1205	saxitoxin	T109,T123,T131	C0036248
28106838	1207	1210	STX	T109,T123,T131	C0036248
28106838	1230	1237	channel	T082	C0439799
28106838	1243	1249	CgNav1	T028	C1334284
28106838	1250	1258	genotype	T032	C0017431
28106838	1262	1282	alternative splicing	T045	C0002345
28106838	1322	1325	PST	T116,T123,T131	C0301278
28106838	1326	1341	bioaccumulation	T042	C0311432
28106838	1351	1358	oysters	T204	C0030104
