28111379|t|Knocking down TCF8 inhibits high glucose - and angiotensin II - induced epithelial to mesenchymal transition in podocytes
28111379|a|Epithelial to mesenchymal transition (EMT) is a physiological phenomenon in mammalian embryogenesis by which epithelial cells become mesenchymal stem cells. Studies have indicated that an inappropriate EMT plays a key role in a variety of pathogenic processes such as embryonic development and tumor metastasis. Moreover, recent studies have indicated EMT also plays an important role in renal fibrosis. In the current study, glucose and angiotensin II promoted EMT in podocytes as well as changes in the cellular morphology of podocytes. A high concentration of glucose and angiotensin II also promoted podocyte movement and migration. Moreover, a high concentration of glucose and angiotensin II promoted TCF8 expression. Inhibiting TCF8 expression with siRNA reversed EMT in podocytes in the presence of a high concentration of glucose and angiotensin. Inhibiting TCF8 expression also reversed changes in cellular morphology and podocyte movement and migration. Therefore, glucose and angiotensin II may promote EMT in podocytes via TCF8.
28111379	0	13	Knocking down	T063	C2350567
28111379	14	18	TCF8	T028	C1420645
28111379	28	40	high glucose	T033	C0860803
28111379	47	61	angiotensin II	T116,T121,T123	C0003009
28111379	64	71	induced	T169	C0205263
28111379	72	108	epithelial to mesenchymal transition	T043	C1523298
28111379	112	121	podocytes	T025	C1328818
28111379	122	158	Epithelial to mesenchymal transition	T043	C1523298
28111379	160	163	EMT	T043	C1523298
28111379	170	194	physiological phenomenon	T039	C2350828
28111379	198	207	mammalian	T015	C0024660
28111379	208	221	embryogenesis	T042	C0013936
28111379	231	247	epithelial cells	T025	C0014597
28111379	255	277	mesenchymal stem cells	T025	C1257975
28111379	324	327	EMT	T043	C1523298
28111379	361	371	pathogenic	T033	C3816499
28111379	372	381	processes	T067	C1522240
28111379	390	411	embryonic development	T042	C0013936
28111379	416	432	tumor metastasis	T191	C0027627
28111379	474	477	EMT	T043	C1523298
28111379	510	524	renal fibrosis	T047	C0151650
28111379	548	555	glucose	T109,T121,T123	C0017725
28111379	560	574	angiotensin II	T116,T121,T123	C0003009
28111379	584	587	EMT	T043	C1523298
28111379	591	600	podocytes	T025	C1328818
28111379	627	646	cellular morphology	T201	C1521816
28111379	650	659	podocytes	T025	C1328818
28111379	663	667	high	T080	C0205250
28111379	668	681	concentration	T081	C1446561
28111379	685	692	glucose	T109,T121,T123	C0017725
28111379	697	711	angiotensin II	T116,T121,T123	C0003009
28111379	726	734	podocyte	T025	C1328818
28111379	735	743	movement	T040	C1621968
28111379	748	757	migration	T043	C1622501
28111379	771	775	high	T080	C0205250
28111379	776	789	concentration	T081	C1446561
28111379	793	800	glucose	T109,T121,T123	C0017725
28111379	805	819	angiotensin II	T116,T121,T123	C0003009
28111379	829	833	TCF8	T028	C1420645
28111379	834	844	expression	T045	C0017262
28111379	846	856	Inhibiting	T052	C3463820
28111379	857	861	TCF8	T028	C1420645
28111379	862	872	expression	T045	C0017262
28111379	878	883	siRNA	T114,T123	C1099354
28111379	893	896	EMT	T043	C1523298
28111379	900	909	podocytes	T025	C1328818
28111379	931	935	high	T080	C0205250
28111379	936	949	concentration	T081	C1446561
28111379	953	960	glucose	T109,T121,T123	C0017725
28111379	965	976	angiotensin	T116,T121,T123	C0003018
28111379	978	988	Inhibiting	T052	C3463820
28111379	989	993	TCF8	T028	C1420645
28111379	994	1004	expression	T045	C0017262
28111379	1030	1049	cellular morphology	T201	C1521816
28111379	1054	1062	podocyte	T025	C1328818
28111379	1063	1071	movement	T040	C1621968
28111379	1076	1085	migration	T043	C1622501
28111379	1098	1105	glucose	T109,T121,T123	C0017725
28111379	1110	1124	angiotensin II	T116,T121,T123	C0003009
28111379	1137	1140	EMT	T043	C1523298
28111379	1144	1153	podocytes	T025	C1328818
28111379	1158	1162	TCF8	T028	C1420645
