28131428|t|A New Intraoperative Protocol for Reducing Perioperative Transfusions in Cardiac Surgery
28131428|a|Perioperative anemia and blood product transfusion increases short-term and long-term morbidity and mortality during cardiac surgery. We hypothesized that streamlined cardiopulmonary bypass circuit and rotational thromboelastometry (ROTEM) would reduce blood product usage and improve outcomes. All patients with Society of Thoracic Surgeons risk scores at our institution from January 2013 to June 2015 were included. Individuals were chronologically stratified into 2 groups according to institutional changes to a streamlined bypass circuit and ROTEM -guided transfusion. Blood product transfusion, hematocrit, and observed to expected outcomes (O/E) were compared between the groups. Patients were defined as either control group (533 patients, 12 months) or intervention group (804 patients, 18 months). The intervention group was further subdivided into streamlined circuit (290 patients, 6 months) and ROTEM (514 patients, 12 months). Use of streamlined bypass circuit correlated with significantly reduced intraoperative transfusion of packed red blood cells (pRBCs) (23.8% versus 17.9%; p = 0.05) and platelets (28.0% versus 19.3; p = 0.01) with improvement in lowest intraoperative hematocrit (26.0 versus 26.9; p = 0.02). ROTEM was associated with a further reduction in intraoperative pRBCs (17.9% versus 11.28%; p = 0.01) and postoperative transfusion pRBCs (38.3% versus 23.5%; p = 0.02). The combination was associated with reduced intraoperative (44.6% versus 34.1; p < 0.001) and postoperative transfusions (45.6% versus 40.1; p < 0.001) in the intervention group, while maintaining a higher hematocrit at discharge (28.1 versus 29.1; p < 0.001). Finally, the intervention was associated with a statistically significant reduction in the O/E for reoperation (p = 0.003). Use of streamlined cardiopulmonary bypass circuit and ROTEM may reduce transfusion and reoperation rates and improve perioperative anemia in cardiac surgical patients. This study demonstrates reproducible intraoperative methods for reducing blood product usage and improving outcomes.
28131428	6	29	Intraoperative Protocol	UnknownType	C0548477
28131428	34	69	Reducing Perioperative Transfusions	T061	C0376101
28131428	73	88	Cardiac Surgery	T061	C0018821
28131428	89	102	Perioperative	T079	C1518988
28131428	103	109	anemia	T047	C0002871
28131428	114	139	blood product transfusion	T061	C0005841
28131428	140	149	increases	T081	C0205217
28131428	150	160	short-term	T079	C0443303
28131428	165	174	long-term	T079	C0443252
28131428	175	184	morbidity	T081	C0026538
28131428	189	198	mortality	T081	C0205848
28131428	199	205	during	T079	C0347984
28131428	206	221	cardiac surgery	T061	C0018821
28131428	226	238	hypothesized	T078	C1512571
28131428	244	286	streamlined cardiopulmonary bypass circuit	T074	C3688890
28131428	291	320	rotational thromboelastometry	T060	C3661505
28131428	322	327	ROTEM	T060	C3661505
28131428	342	361	blood product usage	T061	C0005841
28131428	366	382	improve outcomes	T081	C0086749
28131428	388	396	patients	T101	C0030705
28131428	402	442	Society of Thoracic Surgeons risk scores	T170	C3164380
28131428	450	461	institution	T093	C2607850
28131428	541	551	stratified	T080	C0205363
28131428	559	565	groups	T078	C0441833
28131428	579	600	institutional changes	T058	C0021626
28131428	606	632	streamlined bypass circuit	T074	C3688890
28131428	637	642	ROTEM	T060	C3661505
28131428	651	662	transfusion	T061	C0005841
28131428	664	689	Blood product transfusion	T061	C0005841
28131428	691	701	hematocrit	T201	C1542366
28131428	707	715	observed	T169	C1441672
28131428	719	736	expected outcomes	T170	C2963499
28131428	738	741	O/E	T081	C0086749
28131428	769	775	groups	T078	C0441833
28131428	777	785	Patients	T101	C0030705
28131428	809	822	control group	T096	C0009932
28131428	828	836	patients	T101	C0030705
28131428	852	870	intervention group	T098	C2986530
28131428	876	884	patients	T101	C0030705
28131428	902	920	intervention group	T098	C2986530
28131428	949	968	streamlined circuit	T074	C3688890
28131428	974	982	patients	T101	C0030705
28131428	998	1003	ROTEM	T060	C3661505
28131428	1009	1017	patients	T101	C0030705
28131428	1038	1064	streamlined bypass circuit	T074	C3688890
28131428	1065	1075	correlated	T080	C1707520
28131428	1081	1102	significantly reduced	T080	C0392756
28131428	1103	1117	intraoperative	T079	C0456904
28131428	1118	1129	transfusion	T061	C0005841
28131428	1133	1155	packed red blood cells	T116,T121	C2316467
28131428	1157	1162	pRBCs	T116,T121	C2316467
28131428	1199	1208	platelets	T025	C0005821
28131428	1244	1255	improvement	T077	C2986411
28131428	1266	1280	intraoperative	T079	C0456904
28131428	1281	1291	hematocrit	T033	C0518014
28131428	1322	1327	ROTEM	T060	C3661505
28131428	1332	1347	associated with	T080	C0332281
28131428	1358	1367	reduction	T080	C0392756
28131428	1371	1385	intraoperative	T079	C0456904
28131428	1386	1391	pRBCs	T116,T121	C2316467
28131428	1428	1441	postoperative	T079	C0032790
28131428	1442	1453	transfusion	T061	C0005841
28131428	1454	1459	pRBCs	T116,T121	C2316467
