28149400|t|The effect of different decline angles on the biomechanics of double limb squats and the implications to clinical and training practice
28149400|a|Bilateral decline squatting has been well documented as a rehabilitation exercise, however, little information exists on the optimum angle of decline. The aim of this study was to determine the ankle and knee angle, moments, the patellofemoral joint load, patellar tendon load and associated muscle activity while performing a double limb squat at different decline angles and the implications to rehabilitation. Eighteen healthy subjects performed double limb squats at 6 angles of declination: 0, 5, 10, 15, 20 and 25 degrees. The range of motion of the knee and ankle joints, external moments, the patellofemoral / patellar tendon load and integrated EMG of gastrocnemius, tibialis anterior, rectus femoris and biceps femoris were evaluated. As the decline angle increased up to 20 degrees, the range of motion possible at the ankle and knee increased. The joint moments showed a decrease at the ankle up to 15 degrees and an increase at the knee up to 25 degrees, indicating a progressive reduction in loading around the ankle with a corresponding increase of the load in the patellar tendon and patellofemoral joint. These trends were supported by a decrease in tibialis anterior activity and an increase in the rectus femoris activity up to 15 degrees declination. However, gastrocnemius and biceps femoris activity increased as the decline angle increased above 15 degrees. The action of gastrocnemius and biceps femoris stabilises the knee against an anterior displacement of the femur on the tibia. These findings would suggest that there is little benefit in using a decline angle greater than 15-20 degrees unless the purpose is to offer an additional stability challenge to the knee joint.
28149400	4	13	effect of	T080	C1704420
28149400	24	31	decline	T081	C0392762
28149400	32	38	angles	T082	C0205143
28149400	46	58	biomechanics	T091	C0005537
28149400	62	68	double	T169	C0205173
28149400	69	73	limb	T023	C0015385
28149400	74	80	squats	T039	C2584306
28149400	105	135	clinical and training practice	T170	C0282574
28149400	146	153	decline	T081	C0392762
28149400	154	163	squatting	T039	C2584306
28149400	194	217	rehabilitation exercise	T061	C0452240
28149400	261	268	optimum	T080	C2698651
28149400	269	274	angle	T082	C0205143
28149400	278	285	decline	T081	C0392762
28149400	330	335	ankle	T029	C0003086
28149400	340	350	knee angle	T033	C0231760
28149400	352	359	moments	T033	C0243095
28149400	365	385	patellofemoral joint	T030	C0447801
28149400	386	390	load	T067	C0033095
28149400	392	407	patellar tendon	T023	C0206332
28149400	408	412	load	T067	C0033095
28149400	417	427	associated	T078	C0750490
28149400	428	434	muscle	T024	C0026845
28149400	435	443	activity	T052	C0441655
28149400	463	469	double	T169	C0205173
28149400	470	474	limb	T023	C0015385
28149400	475	480	squat	T039	C2584306
28149400	494	501	decline	T081	C0392762
28149400	502	508	angles	T082	C0205143
28149400	533	547	rehabilitation	T169	C0034992
28149400	558	574	healthy subjects	T098	C1708335
28149400	585	591	double	T169	C0205173
28149400	592	596	limb	T023	C0015385
28149400	597	603	squats	T039	C2584306
28149400	609	615	angles	T082	C0205143
28149400	619	630	declination	T081	C0392762
28149400	656	663	degrees	T081	C0449286
28149400	669	696	range of motion of the knee	T033	C0576094
28149400	701	713	ankle joints	T030	C0003087
28149400	715	731	external moments	T033	C0243095
28149400	737	751	patellofemoral	T030	C0447801
28149400	754	769	patellar tendon	T023	C0206332
28149400	770	774	load	T067	C0033095
28149400	790	793	EMG	T060	C0013839
28149400	797	810	gastrocnemius	T023	C0242691
28149400	812	829	tibialis anterior	T023	C0242690
28149400	831	845	rectus femoris	T023	C0584894
28149400	850	864	biceps femoris	T023	C0224449
28149400	870	879	evaluated	T058	C0220825
28149400	888	895	decline	T081	C0392762
28149400	896	901	angle	T082	C0205143
28149400	902	911	increased	T081	C0205217
28149400	921	928	degrees	T081	C0449286
28149400	934	949	range of motion	T201	C2607871
28149400	966	971	ankle	T029	C0003086
28149400	976	980	knee	T023	C0022742
28149400	981	990	increased	T081	C0205217
28149400	996	1001	joint	T030	C0022417
28149400	1002	1009	moments	T033	C0243095
28149400	1019	1027	decrease	T081	C0547047
28149400	1035	1040	ankle	T029	C0003086
28149400	1050	1057	degrees	T081	C0449286
28149400	1065	1073	increase	T169	C0442805
28149400	1081	1085	knee	T023	C0022742
28149400	1095	1102	degrees	T081	C0449286
28149400	1129	1138	reduction	T080	C0392756
28149400	1142	1149	loading	T067	C0033095
28149400	1161	1166	ankle	T029	C0003086
28149400	1188	1196	increase	T169	C0442805
28149400	1204	1208	load	T067	C0033095
28149400	1216	1231	patellar tendon	T023	C0206332
28149400	1236	1256	patellofemoral joint	T030	C0447801
28149400	1291	1299	decrease	T081	C0547047
28149400	1303	1320	tibialis anterior	T023	C0242690
28149400	1321	1329	activity	T052	C0441655
28149400	1337	1345	increase	T169	C0442805
28149400	1353	1367	rectus femoris	T023	C0584894
28149400	1368	1376	activity	T052	C0441655
28149400	1386	1393	degrees	T081	C0449286
28149400	1394	1405	declination	T081	C0392762
28149400	1416	1429	gastrocnemius	T023	C0242691
28149400	1434	1448	biceps femoris	T023	C0224449
28149400	1449	1457	activity	T052	C0441655
28149400	1458	1467	increased	T081	C0205217
28149400	1475	1482	decline	T081	C0392762
28149400	1483	1488	angle	T082	C0205143
28149400	1489	1498	increased	T081	C0205217
28149400	1508	1515	degrees	T081	C0449286
28149400	1521	1527	action	T052	C3266814
28149400	1531	1544	gastrocnemius	T023	C0242691
28149400	1549	1563	biceps femoris	T023	C0224449
28149400	1564	1574	stabilises	T080	C0205360
28149400	1579	1583	knee	T023	C0022742
28149400	1595	1616	anterior displacement	T169	C0333043
28149400	1624	1629	femur	T023	C0015811
28149400	1637	1642	tibia	T023	C0040184
28149400	1713	1720	decline	T081	C0392762
28149400	1721	1726	angle	T082	C0205143
28149400	1746	1753	degrees	T081	C0449286
28149400	1799	1808	stability	T080	C0205360
28149400	1826	1836	knee joint	T030	C0022745
