28210819|t|Evidence for instructions -based updating of task-set representations: the informed fadeout effect
28210819|a|The cognitive system can be updated rapidly and efficiently to maximize performance in cognitive tasks. This paper used a task - switching task to explore updating at the level of the plausible task -sets held for future performance. Previous research suggested a " fadeout effect ", performance improvement when moving from task - switching context to single-task context, yet this effect could reflect passive learning rather than intentional control. In a novel " informed fadeout paradigm ", one of two tasks was canceled for a certain number of trials and participants were informed or uninformed regarding task cancelation. The " informed fadeout effect " indicates better performance in the informed than uninformed fadeout after one informed trial had been executed. However, the results regarding the first trial were inconclusive. Possible underlying mechanisms are discussed.
28210819	13	25	instructions	T065	C0039401
28210819	45	69	task-set representations	T061	C0039333
28210819	75	83	informed	T080	C1522154
28210819	84	98	fadeout effect	T041	C0237614
28210819	103	119	cognitive system	T041	C0392335
28210819	171	182	performance	T061	C0039333
28210819	186	201	cognitive tasks	T041	C0392335
28210819	221	225	task	T057	C3540678
28210819	228	237	switching	T169	C0392747
28210819	238	242	task	T057	C3540678
28210819	270	275	level	T080	C0441889
28210819	293	297	task	T057	C3540678
28210819	320	331	performance	T061	C0039333
28210819	342	350	research	T062	C0035168
28210819	365	379	fadeout effect	T041	C0237614
28210819	383	394	performance	T061	C0039333
28210819	395	406	improvement	T061	C0039333
28210819	424	428	task	T057	C3540678
28210819	431	440	switching	T169	C0392747
28210819	452	463	single-task	T169	C2371306
28210819	503	510	passive	T080	C3686820
28210819	511	519	learning	T041	C0023185
28210819	532	543	intentional	T080	C1283828
28210819	544	551	control	T080	C0243148
28210819	566	574	informed	T080	C1522154
28210819	575	582	fadeout	T078	C0033897
28210819	583	591	paradigm	T062	C0681797
28210819	606	611	tasks	T057	C3540678
28210819	649	655	trials	T062	C0681815
28210819	660	672	participants	T098	C0679646
28210819	678	686	informed	T080	C1522154
28210819	690	700	uninformed	T033	C0562357
28210819	711	715	task	T057	C3540678
28210819	716	727	cancelation	T080	C0205544
28210819	735	743	informed	T080	C1522154
28210819	744	758	fadeout effect	T041	C0237614
28210819	778	789	performance	T061	C0039333
28210819	797	805	informed	T080	C1522154
28210819	811	821	uninformed	T033	C0562357
28210819	822	829	fadeout	T041	C0237614
28210819	840	848	informed	T080	C1522154
28210819	849	854	trial	T062	C0681815
28210819	864	872	executed	T052	C1705848
28210819	915	920	trial	T062	C0681815
28210819	960	970	mechanisms	T169	C0441712
