28221018|t|Low Efficiency Upconversion Nanoparticles for High-Resolution Coalignment of Near-Infrared and Visible Light Paths on a Light Microscope
28221018|a|The combination of near-infrared (NIR) and visible wavelengths in light microscopy for biological studies is increasingly common. For example, many fields of biology are developing the use of NIR for optogenetics, in which an NIR laser induces a change in gene expression and/or protein function. One major technical barrier in working with both NIR and visible light on an optical microscope is obtaining their precise coalignment at the imaging plane position. Photon upconverting particles (UCPs) can bridge this gap as they are excited by NIR light but emit in the visible range via an anti-Stokes luminescence mechanism. Here, two different UCPs have been identified, high- efficiency micro (540)- UCPs and lower efficiency nano (545)- UCPs, that respond to NIR light and emit visible light with high photostability even at very high NIR power densities (>25 000 Suns). Both of these UCPs can be rapidly and reversibly excited by visible and NIR light and emit light at visible wavelengths detectable with standard emission settings used for Green Fluorescent Protein (GFP), a commonly used genetically encoded fluorophore. However, the high efficiency micro (540)- UCPs were suboptimal for NIR and visible light coalignment, due to their larger size and spatial broadening from particle -to- particle energy transfer consistent with a long-lived excited state and saturated power dependence. In contrast, the lower efficiency nano - UCPs were superior for precise coalignment of the NIR beam with the visible light path (∼2 μm versus ∼8 μm beam broadening, respectively) consistent with limited particle -to- particle energy transfer, superlinear power dependence for emission, and much smaller particle size. Furthermore, the nano - UCPs were superior to a traditional two- camera method for NIR and visible light path alignment in an in vivo Infrared-Laser-Evoked Gene Operator (IR-LEGO) optogenetics assay in the budding yeast Saccharomyces cerevisiae. In summary, nano - UCPs are powerful new tools for coaligning NIR and visible light paths on a light microscope.
28221018	28	41	Nanoparticles	T073	C1450053
28221018	46	61	High-Resolution	T059	C1719039
28221018	62	73	Coalignment	T081	C1706765
28221018	77	90	Near-Infrared	T070	C1289901
28221018	95	108	Visible Light	T070	C0242377
28221018	120	136	Light Microscope	T074	C0491970
28221018	156	169	near-infrared	T070	C1289901
28221018	171	174	NIR	T070	C1289901
28221018	180	199	visible wavelengths	T070	C0242377
28221018	203	219	light microscopy	T059	C0430389
28221018	224	242	biological studies	T059	C0005507
28221018	295	302	biology	T091	C0005532
28221018	329	332	NIR	T070	C1289901
28221018	337	349	optogenetics	T063	C3494301
28221018	363	372	NIR laser	T070	C1289901
28221018	393	408	gene expression	T045	C0017262
28221018	416	432	protein function	T044	C1527118
28221018	444	461	technical barrier	T067	C1710348
28221018	483	486	NIR	T070	C1289901
28221018	491	504	visible light	T070	C0242377
28221018	511	529	optical microscope	T059	C0026018
28221018	557	568	coalignment	T081	C1706765
28221018	576	598	imaging plane position	T082	C1254362
28221018	600	606	Photon	T167	C0086805
28221018	607	629	upconverting particles	T104	C0597177
28221018	631	635	UCPs	T104	C0597177
28221018	653	656	gap	T082	C3887622
28221018	669	676	excited	T052	C0549255
28221018	680	689	NIR light	T070	C1289901
28221018	694	698	emit	T070	C0596835
28221018	706	719	visible range	T070	C0242377
28221018	727	761	anti-Stokes luminescence mechanism	T080	C4054591
28221018	783	787	UCPs	T104	C0597177
28221018	816	826	efficiency	T081	C0013682
28221018	827	832	micro	T077	C3811161
28221018	840	844	UCPs	T104	C0597177
28221018	855	865	efficiency	T081	C0013682
28221018	866	870	nano	T081	C1553036
28221018	878	882	UCPs	T104	C0597177
28221018	900	909	NIR light	T070	C1289901
28221018	919	932	visible light	T070	C0242377
28221018	943	957	photostability	T080	C0205360
28221018	976	979	NIR	T070	C1289901
28221018	1026	1030	UCPs	T104	C0597177
28221018	1061	1068	excited	T052	C0549255
28221018	1072	1079	visible	T070	C0242377
28221018	1084	1093	NIR light	T070	C1289901
28221018	1098	1108	emit light	T070	C0596835
28221018	1112	1131	visible wavelengths	T070	C0242377
28221018	1157	1165	emission	T070	C0596835
28221018	1184	1209	Green Fluorescent Protein	T116,T130	C0120285
28221018	1211	1214	GFP	T116,T130	C0120285
28221018	1233	1252	genetically encoded	T045	C0314627
28221018	1253	1264	fluorophore	T121,T130	C0598447
28221018	1284	1294	efficiency	T081	C0013682
28221018	1295	1300	micro	T077	C3811161
28221018	1308	1312	UCPs	T104	C0597177
28221018	1318	1328	suboptimal	T080	C2984009
28221018	1333	1336	NIR	T070	C1289901
28221018	1341	1354	visible light	T070	C0242377
28221018	1355	1366	coalignment	T081	C1706765
28221018	1381	1387	larger	T081	C0549177
28221018	1388	1392	size	T082	C0456389
28221018	1397	1415	spatial broadening	T082	C0332464
28221018	1421	1429	particle	T104	C0597177
28221018	1435	1443	particle	T104	C0597177
28221018	1444	1459	energy transfer	T044	C0014274
28221018	1489	1502	excited state	T033	C3833702
28221018	1558	1568	efficiency	T081	C0013682
28221018	1569	1573	nano	T081	C1553036
28221018	1576	1580	UCPs	T104	C0597177
28221018	1607	1618	coalignment	T081	C1706765
28221018	1626	1634	NIR beam	T070	C1289901
28221018	1644	1657	visible light	T070	C0242377
28221018	1683	1687	beam	T070	C0260186
28221018	1688	1698	broadening	T082	C0332464
28221018	1738	1746	particle	T104	C0597177
28221018	1752	1760	particle	T104	C0597177
28221018	1761	1776	energy transfer	T044	C0014274
28221018	1811	1819	emission	T070	C0596835
28221018	1838	1851	particle size	T081	C0030608
28221018	1870	1874	nano	T081	C1553036
28221018	1877	1881	UCPs	T104	C0597177
28221018	1918	1924	camera	T074	C0179533
28221018	1936	1939	NIR	T070	C1289901
28221018	1944	1957	visible light	T070	C0242377
28221018	1963	1972	alignment	T081	C1706765
28221018	1979	1986	in vivo	T082	C1515655
28221018	1987	2051	Infrared-Laser-Evoked Gene Operator (IR-LEGO) optogenetics assay	T063	C3494301
28221018	2073	2097	Saccharomyces cerevisiae	T004	C0036025
28221018	2111	2115	nano	T081	C1553036
28221018	2118	2122	UCPs	T104	C0597177
28221018	2150	2160	coaligning	T081	C1706765
28221018	2161	2164	NIR	T070	C1289901
28221018	2169	2182	visible light	T070	C0242377
28221018	2194	2210	light microscope	T074	C0491970
