28243780|t|The influence of cognitive load on metabolic cost of transport during overground walking in healthy, young adults
28243780|a|Our aim was to examine whether cognitive processing during walking increases the metabolic cost of transport in healthy young adults. Twenty healthy, young adults completed five conditions: (1) walking at a self - selected speed (spontaneous single-task), (2) seated resting (baseline), (3) performing cognitive task while seated (cognitive single-task), (4) walking while simultaneously performing the cognitive task (dual-task), and (5) single-task walking at a speed that matched the participant's dual-task gait speed (matched single-task). Rate of oxygen consumption (V̇O2) was recorded during all conditions. Gait speed and cost of walking (Cw; oxygen consumed per distance traveled) were recorded during all walking conditions. Reaction time and accuracy of responses in the cognitive task were recorded during all cognitive task conditions. Data from the fifth minute of each 5- min condition were analyzed. There was no difference in V̇O2 between the dual-task and matched single-task walking conditions. V̇O2 in the seated cognitive condition was significantly smaller than both walking conditions, but was not significantly different than zero. Cw was significantly greater during the matched single-task walking condition than during the dual-task walking condition. However, the difference in Cw was so small that it is unlikely to be clinically significant (0.008 mLO2/kg/m, 95% CI 0.002-0.014). Cognitive processing while walking may not increase energy demands of walking in healthy young adults. Maintaining non-preferred gait speed (matched speed) overground continuously for 5 min may require attentional resources, and thereby increase metabolic costs relative to walking at habitual speed.
28243780	4	13	influence	T077	C4054723
28243780	17	31	cognitive load	T081	C0870301
28243780	35	44	metabolic	T040	C0025519
28243780	45	49	cost	T081	C0015316
28243780	53	62	transport	T078	C1554194
28243780	70	88	overground walking	T056	C0080331
28243780	92	99	healthy	T080	C3898900
28243780	101	113	young adults	T100	C0238598
28243780	145	165	cognitive processing	T041	C0025361
28243780	173	180	walking	T056	C0080331
28243780	181	190	increases	T169	C0442805
28243780	195	204	metabolic	T040	C0025519
28243780	205	209	cost	T081	C0015316
28243780	213	222	transport	T078	C1554194
28243780	226	233	healthy	T080	C3898900
28243780	234	246	young adults	T100	C0238598
28243780	255	262	healthy	T080	C3898900
28243780	264	276	young adults	T100	C0238598
28243780	292	302	conditions	T080	C0348080
28243780	308	315	walking	T056	C0080331
28243780	321	325	self	T078	C0036588
28243780	328	336	selected	T052	C1707391
28243780	337	342	speed	T081	C0678536
28243780	344	355	spontaneous	T169	C0205359
28243780	356	367	single-task	T052	C0441655
28243780	374	380	seated	T033	C4042775
28243780	381	388	resting	T056	C0035253
28243780	390	398	baseline	T081	C1442488
28243780	416	425	cognitive	T041	C0009240
28243780	426	430	task	T052	C0441655
28243780	437	443	seated	T033	C4042775
28243780	445	454	cognitive	T041	C0009240
28243780	455	466	single-task	T052	C0441655
28243780	473	480	walking	T056	C0080331
28243780	487	501	simultaneously	T079	C0521115
28243780	502	512	performing	T169	C0884358
28243780	517	526	cognitive	T041	C0009240
28243780	527	531	task	T052	C0441655
28243780	533	542	dual-task	T052	C0441655
28243780	553	564	single-task	T052	C0441655
28243780	565	572	walking	T056	C0080331
28243780	578	583	speed	T081	C0678536
28243780	589	596	matched	T080	C1708943
28243780	601	614	participant's	T098	C0679646
28243780	615	624	dual-task	T052	C0441655
28243780	625	635	gait speed	T032	C2009910
28243780	637	644	matched	T080	C1708943
28243780	645	656	single-task	T052	C0441655
28243780	659	685	Rate of oxygen consumption	T081	C1521828
28243780	687	691	V̇O2	T081	C1521828
28243780	717	727	conditions	T080	C0348080
28243780	729	739	Gait speed	T032	C2009910
28243780	744	748	cost	T081	C0015316
28243780	752	759	walking	T056	C0080331
28243780	761	763	Cw	T081	C0015316
28243780	765	802	oxygen consumed per distance traveled	T201	C0030055
28243780	829	836	walking	T056	C0080331
28243780	837	847	conditions	T080	C0348080
28243780	849	862	Reaction time	T079	C0034746
28243780	867	875	accuracy	T080	C0443131
28243780	879	888	responses	T032	C0871261
28243780	896	905	cognitive	T041	C0009240
28243780	906	910	task	T052	C0441655
28243780	936	945	cognitive	T041	C0009240
28243780	946	950	task	T052	C0441655
28243780	951	961	conditions	T080	C0348080
28243780	963	967	Data	T078	C1511726
28243780	983	989	minute	T079	C0439232
28243780	1001	1004	min	T079	C0439232
28243780	1005	1014	condition	T080	C0348080
28243780	1020	1028	analyzed	T062	C0936012
28243780	1057	1061	V̇O2	T081	C1521828
28243780	1074	1083	dual-task	T052	C0441655
28243780	1088	1095	matched	T080	C1708943
28243780	1096	1107	single-task	T052	C0441655
28243780	1108	1115	walking	T056	C0080331
28243780	1116	1126	conditions	T080	C0348080
28243780	1128	1132	V̇O2	T081	C1521828
28243780	1140	1146	seated	T033	C4042775
28243780	1147	1156	cognitive	T041	C0009240
28243780	1157	1166	condition	T080	C0348080
28243780	1203	1210	walking	T056	C0080331
28243780	1211	1221	conditions	T080	C0348080
28243780	1270	1272	Cw	T081	C0015316
28243780	1310	1317	matched	T080	C1708943
28243780	1318	1329	single-task	T052	C0441655
28243780	1330	1337	walking	T056	C0080331
28243780	1338	1347	condition	T080	C0348080
28243780	1364	1373	dual-task	T052	C0441655
28243780	1374	1381	walking	T056	C0080331
28243780	1382	1391	condition	T080	C0348080
28243780	1420	1422	Cw	T081	C0015316
28243780	1462	1472	clinically	T080	C0205210
