28254935|t|Persistent effects of pre-Columbian plant domestication on Amazonian forest composition
28254935|a|The extent to which pre-Columbian societies altered Amazonian landscapes is hotly debated. We performed a basin-wide analysis of pre-Columbian impacts on Amazonian forests by overlaying known archaeological sites in Amazonia with the distributions and abundances of 85 woody species domesticated by pre-Columbian peoples. Domesticated species are five times more likely than nondomesticated species to be hyperdominant. Across the basin, the relative abundance and richness of domesticated species increase in forests on and around archaeological sites. In southwestern and eastern Amazonia, distance to archaeological sites strongly influences the relative abundance and richness of domesticated species. Our analyses indicate that modern tree communities in Amazonia are structured to an important extent by a long history of plant domestication by Amazonian peoples.
28254935	0	10	Persistent	T079	C0205322
28254935	11	18	effects	T080	C1280500
28254935	22	35	pre-Columbian	T081	C0032659
28254935	36	41	plant	T002	C0032098
28254935	42	55	domestication	T078	C0175819
28254935	59	75	Amazonian forest	T070	C0086312
28254935	76	87	composition	T201	C0486616
28254935	108	121	pre-Columbian	T081	C0032659
28254935	122	131	societies	T092	C0037455
28254935	140	149	Amazonian	T070	C0086312
28254935	150	160	landscapes	T082	C0870781
28254935	194	213	basin-wide analysis	T062	C0936012
28254935	217	230	pre-Columbian	T081	C0032659
28254935	231	238	impacts	T080	C4049986
28254935	242	259	Amazonian forests	T070	C0086312
28254935	280	300	archaeological sites	T082	C0205145
28254935	304	312	Amazonia	UnknownType	C0681784
28254935	340	350	abundances	T080	C2346714
28254935	357	362	woody	T002	C0040811
28254935	363	370	species	T185	C1705920
28254935	371	383	domesticated	T078	C0175819
28254935	387	400	pre-Columbian	T081	C0032659
28254935	401	408	peoples	T098	C0027361
28254935	410	422	Domesticated	T078	C0175819
28254935	423	430	species	T185	C1705920
28254935	463	486	nondomesticated species	T185	C1705920
28254935	493	506	hyperdominant	T169	C1527180
28254935	539	548	abundance	T080	C2346714
28254935	553	561	richness	T080	C0205556
28254935	565	577	domesticated	T078	C0175819
28254935	578	585	species	T185	C1705920
28254935	598	605	forests	T070	C0086312
28254935	620	640	archaeological sites	T082	C0205145
28254935	645	678	southwestern and eastern Amazonia	UnknownType	C0681784
28254935	692	712	archaeological sites	T082	C0205145
28254935	746	755	abundance	T080	C2346714
28254935	772	784	domesticated	T078	C0175819
28254935	785	792	species	T185	C1705920
28254935	798	806	analyses	T062	C0936012
28254935	828	832	tree	T002	C0040811
28254935	833	844	communities	T096	C0009462
28254935	848	856	Amazonia	UnknownType	C0681784
28254935	905	912	history	T169	C0019665
28254935	916	921	plant	T002	C0032098
28254935	922	935	domestication	T078	C0175819
28254935	939	948	Amazonian	T070	C0086312
28254935	949	956	peoples	T098	C0027361
