28270084|t|Synthesis, EGFR inhibition and anti-cancer activity of new 3,6-dimethyl-1-phenyl-4-(substituted-methoxy)pyrazolo[3,4-d] pyrimidine derivatives
28270084|a|A new series of hybrid pyrazolo[3,4-d]pyrimidine scaffold with a heteroaryl moiety as pyrazole, oxadiazole, triazole or phthalimide moiety (14a-f, 16, 17, 19, 20) was synthesized and biologically evaluated for the cytotoxicity against human liver cancer cell line (HEPG-2), human breast cancer cell line (MCF-7) and human colon cancer cell line (HCT-116). While the pyrazolo hybrid compounds (14a-f) showed good activity against HEPG-2, MCF-7 and HCT-116 cell lines (IC50 = 3.65 - 39.98, 1.45 - 54.19 and 2.00 - 50.6 µM respectively) in comparison with doxorubicin (IC50 = 5.66, 2.60 and 8.48 µM respectively), the triazolo derivatives (17, 19) showed considerable potency (IC50 = 22.20 - 54.61, 14.98 - 88.78, and 10.79 - 53.40 µM respectively), the oxadiazolo hybrid compound (16, IC50 = 149.91, 115.89 and 110.07 µM respectively) and phthalimido hybrid compound (20, IC50 = 96.02, 131.19 and 120.36 µM respectively) showed low potency. The pyrazolo derivative (14d, IC50 = 3.65, 1.45 and 2.00 µM) was the most potent among all compounds against HEPG-2, MCF-7 and HCT-116 cell lines respectively. Also, the hybrid pyrazolo[3,4-d]pyrimidine derivatives were evaluated for their inhibitory activity to epidermal growth factor receptor tyrosine kinase (EGFR-TK) and they showed a good inhibitory activity (IC50 = 8.27 - 19.03 µM). With the exception of the pyrazolo derivative (14c, IC50 = 18.82 µM), the inhibitory activity against EGFR-TK was consistent with the in vitro cytotoxic activity against HEPG-2, MCF-7 and HCT-116 cell lines. Moreover, molecular docking studies were performed and the results were in agreement with that obtained from the in vitro inhibition assays.
28270084	0	9	Synthesis	T070	C0007987
28270084	11	26	EGFR inhibition	T039	C1524081
28270084	31	51	anti-cancer activity	T033	C0243095
28270084	59	142	3,6-dimethyl-1-phenyl-4-(substituted-methoxy)pyrazolo[3,4-d] pyrimidine derivatives	T121	C1254351
28270084	166	191	pyrazolo[3,4-d]pyrimidine	T109	C0606043
28270084	208	225	heteroaryl moiety	T077	C3641152
28270084	229	237	pyrazole	T077	C3641152
28270084	239	249	oxadiazole	T077	C3641152
28270084	251	259	triazole	T077	C3641152
28270084	263	281	phthalimide moiety	T077	C3641152
28270084	310	321	synthesized	T052	C1883254
28270084	326	338	biologically	T080	C0205460
28270084	339	348	evaluated	T058	C0220825
28270084	357	369	cytotoxicity	T049	C0596402
28270084	378	406	human liver cancer cell line	T025	C2717940
28270084	408	414	HEPG-2	T025	C2717940
28270084	417	446	human breast cancer cell line	T025	C0596890
28270084	448	453	MCF-7	T025	C0596890
28270084	459	487	human colon cancer cell line	T025	C1258005
28270084	489	496	HCT-116	T025	C1258005
28270084	509	534	pyrazolo hybrid compounds	T121	C1254351
28270084	555	563	activity	T169	C0599112
28270084	572	578	HEPG-2	T025	C2717940
28270084	580	585	MCF-7	T025	C0596890
28270084	590	608	HCT-116 cell lines	T025	C1258005
28270084	610	614	IC50	T081	C0600495
28270084	696	707	doxorubicin	T109,T195	C0013089
28270084	709	713	IC50	T081	C0600495
28270084	758	778	triazolo derivatives	T121	C1254351
28270084	808	815	potency	T038	C0678792
28270084	817	821	IC50	T081	C0600495
28270084	894	920	oxadiazolo hybrid compound	T121	C1254351
28270084	926	930	IC50	T081	C0600495
28270084	980	1007	phthalimido hybrid compound	T121	C1254351
28270084	1013	1017	IC50	T081	C0600495
28270084	1073	1080	potency	T038	C0678792
28270084	1086	1105	pyrazolo derivative	T121	C1254351
28270084	1112	1116	IC50	T081	C0600495
28270084	1156	1162	potent	T038	C0678792
28270084	1191	1197	HEPG-2	T025	C2717940
28270084	1199	1204	MCF-7	T025	C0596890
28270084	1209	1227	HCT-116 cell lines	T025	C1258005
28270084	1252	1296	hybrid pyrazolo[3,4-d]pyrimidine derivatives	T121	C1254351
28270084	1302	1311	evaluated	T058	C0220825
28270084	1322	1341	inhibitory activity	T043	C1519725
28270084	1345	1393	epidermal growth factor receptor tyrosine kinase	T116,T126,T192	C0034802
28270084	1395	1402	EGFR-TK	T116,T126,T192	C0034802
28270084	1427	1446	inhibitory activity	T043	C1519725
28270084	1448	1452	IC50	T081	C0600495
28270084	1499	1518	pyrazolo derivative	T121	C1254351
28270084	1525	1529	IC50	T081	C0600495
28270084	1547	1566	inhibitory activity	T043	C1519725
28270084	1575	1582	EGFR-TK	T116,T126,T192	C0034802
28270084	1607	1615	in vitro	T080	C1533691
28270084	1616	1625	cytotoxic	T169	C1511636
28270084	1626	1634	activity	T169	C0599112
28270084	1643	1649	HEPG-2	T025	C2717940
28270084	1651	1656	MCF-7	T025	C0596890
28270084	1661	1679	HCT-116 cell lines	T025	C1258005
28270084	1691	1716	molecular docking studies	T063	C3494273
28270084	1740	1747	results	T169	C1274040
28270084	1794	1802	in vitro	T080	C1533691
28270084	1803	1820	inhibition assays	T059	C0201783
