28294559|t|The platelet-activating receptor C-type lectin receptor-2 plays an essential role in liver regeneration after partial hepatectomy in mice
28294559|a|Essentials Regeneration role of C-type lectin receptor-2 (CLEC-2) after 70% hepatectomy (HPx) was investigated. Wild-type or CLEC-2 deleted from platelets of chimeric mice (flKO) underwent HPx. The liver/body weight ratio was significantly lower in the flKO than in the wild-type. CLEC-2 plays an essential role in liver regeneration after HPx. Background and aim The aim of the present study was to investigate the role of C-type lectin receptor (CLEC)-2 in liver regeneration following partial liver resection in mice. Materials and methods Irradiated chimeric mice transplanted with fetal liver cells from wild-type (WT) mice, CLEC-2 - deleted (KO) mice or mice with CLEC-2 deleted specifically from platelets (flKO) were generated. Mice underwent 70% partial hepatectomy (PH). Immunohistochemical staining was performed to investigate the expression of the endogenous ligand for CLEC-2, podoplanin. The accumulation of platelets in the liver was also quantified. The hepatic expression of the IL-6 / gp130 and STAT3, Akt and ERK1/2 was also examined. Results The liver/body weight ratio and expression of all cell proliferation markers were significantly lower in the flKO group than in the WT group. The expression of phosphorylated (p) Akt and pERK1 /2 was similar in the WT and flKO groups. On the other hand, the expression of pSTAT3 and IL-6 was significantly stronger in the WT group than in the flKO group. The expression of podoplanin was detected in the hepatic sinusoids of both groups. However, the extent to which platelets accumulated in hepatic sinusoids was significantly less in the flKO group than in the WT group. Conclusion CLEC-2 was involved in hepatic regeneration after liver resection and CLEC-2 -related liver regeneration was attributed to the interaction between platelets and sinusoidal endothelial cells.
28294559	4	32	platelet-activating receptor	T116,T129,T192	C0071234
28294559	33	57	C-type lectin receptor-2	T116,T123	C2354438
28294559	77	81	role	T077	C1705810
28294559	85	103	liver regeneration	T042	C0023907
28294559	110	129	partial hepatectomy	T061	C0193398
28294559	133	137	mice	T015	C0025929
28294559	149	161	Regeneration	T042	C0023907
28294559	162	166	role	T077	C1705810
28294559	170	194	C-type lectin receptor-2	T116,T123	C2354438
28294559	196	202	CLEC-2	T116,T123	C2354438
28294559	210	225	70% hepatectomy	T061	C0193398
28294559	227	230	HPx	T061	C0193398
28294559	250	259	Wild-type	T028	C1883559
28294559	263	269	CLEC-2	T028	C0017337
28294559	270	277	deleted	T045	C0017260
28294559	283	292	platelets	T025	C0005821
28294559	296	309	chimeric mice	T015	C0025929
28294559	311	315	flKO	T015	C0025929
28294559	327	330	HPx	T061	C0193398
28294559	336	359	liver/body weight ratio	T081	C2983636
28294559	391	395	flKO	T015	C0025929
28294559	408	417	wild-type	T015	C1520150
28294559	419	425	CLEC-2	T116,T123	C2354438
28294559	445	449	role	T077	C1705810
28294559	453	471	liver regeneration	T042	C0023907
28294559	478	481	HPx	T061	C0193398
28294559	554	558	role	T077	C1705810
28294559	562	593	C-type lectin receptor (CLEC)-2	T116,T123	C2354438
28294559	597	615	liver regeneration	T042	C0023907
28294559	626	649	partial liver resection	T061	C0193398
28294559	653	657	mice	T015	C0025929
28294559	692	705	chimeric mice	T015	C0025929
28294559	706	718	transplanted	T169	C0700106
28294559	724	729	fetal	T169	C0521457
28294559	730	741	liver cells	T025	C0227525
