28300431|t|The Psychometric Costs of Applicants ' Faking: Examining Measurement Invariance and Retest Correlations Across Response Conditions
28300431|a|This study examines the stability of the response process and the rank-order of respondents responding to 3 personality scales in 4 different response conditions. Applicants to the University College of Teacher Education Styria (N = 243) completed personality scales as part of their college admission process. Half a year later, they retook the same personality scales in 1 of 3 randomly assigned experimental response conditions: honest, faking-good, or reproduce. Longitudinal means and covariance structure analyses showed that applicants ' response processes could be partially reproduced after half a year, and respondents seemed to rely on an honest response behavior as a frame of reference. Additionally, applicants ' faking behavior and instructed faking (faking-good) caused differences in the latent retest correlations and consistently affected measurement properties. The varying latent retest correlations indicated that faking can distort respondents ' rank-order and thus the fairness of subsequent selection decisions, depending on the kind of faking behavior. Instructed faking (faking-good) even affected weak measurement invariance, whereas applicants ' faking behavior did not. Consequently, correlations with personality scales -which can be utilized for predictive validity -may be readily interpreted for applicants. Faking behavior also introduced a uniform bias, implying that the classically observed mean raw score differences may not be readily interpreted.
28300431	4	22	Psychometric Costs	T060	C0033920
28300431	26	36	Applicants	T098	C0696628
28300431	39	45	Faking	T055	C0871743
28300431	57	68	Measurement	T169	C0242485
28300431	84	103	Retest Correlations	T062	C0237828
28300431	111	130	Response Conditions	T041	C0009647
28300431	142	164	examines the stability	T080	C0205360
28300431	172	188	response process	T041	C0009647
28300431	197	207	rank-order	T062,T170	C0871206
28300431	211	222	respondents	T098	C0282122
28300431	223	233	responding	T041	C0009647
28300431	239	257	personality scales	T170	C0582654
28300431	273	292	response conditions	T041	C0009647
28300431	294	304	Applicants	T098	C0696628
28300431	312	351	University College of Teacher Education	T073,T092	C0041740
28300431	352	358	Styria	T083	C0017446
28300431	379	397	personality scales	T170	C0582654
28300431	415	440	college admission process	T170	C0009352
28300431	482	500	personality scales	T170	C0582654
28300431	511	528	randomly assigned	UnknownType	C0814868
28300431	542	561	response conditions	T041	C0009647
28300431	563	569	honest	T055	C0870663
28300431	571	582	faking-good	T055	C0871743
28300431	598	616	Longitudinal means	T062	C0023981
28300431	621	650	covariance structure analyses	T081	C0814908
28300431	663	673	applicants	T098	C0696628
28300431	676	694	response processes	T041	C0009647
28300431	748	759	respondents	T098	C0282122
28300431	781	787	honest	T055	C0870663
28300431	788	805	response behavior	T041	C0009647
28300431	811	829	frame of reference	T077	C1711364
28300431	845	855	applicants	T098	C0696628
28300431	858	873	faking behavior	T055	C0871743
28300431	889	895	faking	T055	C0871743
28300431	897	908	faking-good	T055	C0871743
28300431	936	942	latent	T080	C0205275
28300431	943	962	retest correlations	T062	C0237828
28300431	989	1000	measurement	T169	C0242485
28300431	1025	1031	latent	T080	C0205275
28300431	1032	1051	retest correlations	T062	C0237828
28300431	1052	1061	indicated	T033	C1444656
28300431	1067	1073	faking	T055	C0871743
28300431	1078	1085	distort	T169	C0700135
28300431	1086	1097	respondents	T098	C0282122
28300431	1100	1110	rank-order	T062,T170	C0871206
28300431	1124	1132	fairness	T080	C2911689
28300431	1147	1166	selection decisions	T041	C0011109
28300431	1193	1208	faking behavior	T055	C0871743
28300431	1221	1227	faking	T055	C0871743
28300431	1229	1240	faking-good	T055	C0871743
28300431	1261	1272	measurement	T169	C0242485
28300431	1293	1303	applicants	T098	C0696628
28300431	1306	1321	faking behavior	T055	C0871743
28300431	1345	1357	correlations	T080	C1707520
28300431	1363	1381	personality scales	T170	C0582654
28300431	1409	1428	predictive validity	T080	C0681898
28300431	1445	1456	interpreted	T169	C1285553
28300431	1461	1471	applicants	T098	C0696628
28300431	1473	1488	Faking behavior	T055	C0871743
28300431	1507	1519	uniform bias	T078	C0242568
28300431	1560	1574	mean raw score	T081	C0392762
28300431	1606	1617	interpreted	T169	C1285553
