28355605|t|The Use of a Software - Assisted Method to Estimate Fetal Weight at and Near Term Using Magnetic Resonance Imaging
28355605|a|The aim of this study was to apply a semi-automated calculation method of fetal body volume and, thus, of magnetic resonance-estimated fetal weight (MR-EFW) prior to planned delivery and to evaluate whether the technique of measurement could be simplified while remaining accurate. MR-EFW was calculated using a semi-automated method at 38.6 weeks of gestation in 36 patients and compared to the picture archiving and communication system (PACS). Per patient, 8 sequences were acquired with a slice thickness of 4-8 mm and an intersection gap of 0, 4, 8, 12, 16, or 20 mm. The median absolute relative errors for MR-EFW and the time of planimetric measurements were calculated for all 8 sequences and for each method (assisted vs. PACS), and the difference between the methods was calculated. The median delivery weight was 3,280 g. The overall median relative error for all 288 MR-EFW calculations was 2.4% using the semi-automated method and 2.2% for the PACS method. Measurements did not differ between the 8 sequences using the assisted method (p = 0.313) or the PACS (p = 0.118), while the time of planimetric measurement decreased significantly with a larger gap (p < 0.001) and in the assisted method compared to the PACS method (p < 0.01). Our simplified MR-EFW measurement showed a dramatic decrease in time of planimetric measurement without a decrease in the accuracy of weight estimates.
28355605	13	21	Software	T073,T170	C0037585
28355605	24	32	Assisted	T080	C1269765
28355605	33	39	Method	T170	C0025663
28355605	43	51	Estimate	T081	C0750572
28355605	52	64	Fetal Weight	T032	C0751992
28355605	77	81	Term	T040	C0232991
28355605	88	114	Magnetic Resonance Imaging	T060	C0024485
28355605	131	136	study	T062	C2603343
28355605	152	166	semi-automated	T169	C0205554
28355605	167	178	calculation	T052	C1441506
28355605	179	185	method	T170	C0025663
28355605	189	194	fetal	T018	C0015965
28355605	195	206	body volume	T032	C0178521
28355605	221	262	magnetic resonance-estimated fetal weight	T032	C0751992
28355605	264	270	MR-EFW	T032	C0751992
28355605	281	288	planned	T169	C1301732
28355605	289	297	delivery	T040	C0005615
28355605	305	313	evaluate	T058	C0220825
28355605	326	335	technique	T169	C0449851
28355605	339	350	measurement	T169	C0242485
28355605	360	370	simplified	T080	C0205352
28355605	377	386	remaining	T080	C1527428
28355605	387	395	accurate	T080	C0443131
28355605	397	403	MR-EFW	T032	C0751992
28355605	408	418	calculated	T169	C0444686
28355605	427	441	semi-automated	T169	C0205554
28355605	442	448	method	T170	C0025663
28355605	457	462	weeks	T079	C0439230
28355605	466	475	gestation	T040	C0032961
28355605	482	490	patients	T101	C0030705
28355605	511	553	picture archiving and communication system	T074	C0182281
28355605	555	559	PACS	T074	C0182281
28355605	566	573	patient	T101	C0030705
28355605	577	586	sequences	T169	C1519249
28355605	592	600	acquired	T080	C0439661
28355605	608	623	slice thickness	T081	C3829566
28355605	641	657	intersection gap	T082	C3887622
28355605	692	698	median	T082	C2939193
28355605	699	707	absolute	T080	C0205344
28355605	708	723	relative errors	T080	C0743559
28355605	728	734	MR-EFW	T032	C0751992
28355605	743	747	time	T079	C0040223
28355605	751	775	planimetric measurements	T169	C0242485
28355605	781	791	calculated	T169	C0444686
28355605	802	811	sequences	T169	C1519249
28355605	825	831	method	T170	C0025663
28355605	833	841	assisted	T170	C3204107
28355605	846	850	PACS	T074	C0182281
28355605	884	891	methods	T170	C0025663
28355605	896	906	calculated	T169	C0444686
28355605	912	918	median	T082	C2939193
28355605	960	966	median	T082	C2939193
28355605	967	981	relative error	T080	C0743559
28355605	994	1000	MR-EFW	T032	C0751992
28355605	1001	1013	calculations	T052	C1441506
28355605	1033	1047	semi-automated	T169	C0205554
28355605	1048	1054	method	T170	C0025663
28355605	1072	1076	PACS	T074	C0182281
28355605	1077	1083	method	T170	C0025663
28355605	1085	1097	Measurements	T169	C0242485
28355605	1127	1136	sequences	T169	C1519249
28355605	1147	1155	assisted	T170	C3204107
28355605	1156	1162	method	T170	C0025663
28355605	1182	1186	PACS	T074	C0182281
28355605	1210	1214	time	T079	C0040223
28355605	1218	1241	planimetric measurement	T169	C0242485
28355605	1242	1251	decreased	T081	C0205216
28355605	1280	1283	gap	T082	C3887622
28355605	1307	1315	assisted	T170	C3204107
28355605	1316	1322	method	T170	C0025663
28355605	1339	1343	PACS	T074	C0182281
28355605	1344	1350	method	T170	C0025663
28355605	1367	1377	simplified	T080	C0205352
28355605	1378	1384	MR-EFW	T032	C0751992
28355605	1385	1396	measurement	T169	C0242485
28355605	1406	1423	dramatic decrease	T081	C0547047
28355605	1427	1431	time	T079	C0040223
28355605	1435	1458	planimetric measurement	T169	C0242485
28355605	1469	1477	decrease	T081	C0547047
28355605	1485	1493	accuracy	T080	C0598285
28355605	1497	1503	weight	T032	C0751992
28355605	1504	1513	estimates	T081	C0681916
