28389983|t|Single Stage Tandem Mass Spectrometry Assignment of the C-5 Uronic Acid Stereochemistry in Heparan Sulfate Tetrasaccharides using Electron Detachment Dissociation
28389983|a|The analysis of heparan sulfate (HS) glycosaminoglycans presents many challenges, due to the high degree of structural heterogeneity arising from their non-template biosynthesis. Complete structural elucidation of glycosaminoglycans necessitates the unambiguous assignments of sulfo modifications and the C-5 uronic acid stereochemistry. Efforts to develop tandem mass spectrometric-based methods for the structural analysis of glycosaminoglycans have focused on the assignment of sulfo positions. The present work focuses on the assignment of the C-5 stereochemistry of the uronic acid that lies closest to the reducing end. Prior work with electron-based tandem mass spectrometry methods, specifically electron detachment dissociation (EDD), have shown great promise in providing stereo-specific product ions, such as the B3 (´) - CO2, which has been found to distinguish glucuronic acid (GlcA) from iduronic acid (IdoA) in some HS tetrasaccharides. The previously observed diagnostic ions are generally not observed with 2-O-sulfo uronic acids or for more highly sulfated heparan sulfate tetrasaccharides. A recent study using electron detachment dissociation and principal component analysis revealed a series of ions that correlate with GlcA versus IdoA for a set of 2-O-sulfo HS tetrasaccharide standards. The present work comprehensively investigates the efficacy of these ions for assigning the C-5 stereochemistry of the reducing end uronic acid in 33 HS tetrasaccharides. A diagnostic ratio can be computed from the sum of the ions that correlate to GlcA to those that correlate to IdoA. Graphical Abstract ᅟ.
28389983	0	37	Single Stage Tandem Mass Spectrometry	T063	C0599748
28389983	38	48	Assignment	T169	C1516050
28389983	56	71	C-5 Uronic Acid	T109	C0020817
28389983	72	87	Stereochemistry	T082	C2350023
28389983	91	123	Heparan Sulfate Tetrasaccharides	T109,T123	C0019143
28389983	130	162	Electron Detachment Dissociation	T062	C0035177
28389983	167	175	analysis	T062	C0936012
28389983	179	218	heparan sulfate (HS) glycosaminoglycans	T109,T123	C0019143
28389983	271	281	structural	T082	C0678594
28389983	282	295	heterogeneity	T080	C0019409
28389983	315	340	non-template biosynthesis	T052	C1883254
28389983	351	373	structural elucidation	T052	C0441655
28389983	377	395	glycosaminoglycans	T109,T121,T123	C0017973
28389983	425	436	assignments	T169	C1516050
28389983	440	445	sulfo	T121,T123,T196	C0038774
28389983	468	483	C-5 uronic acid	T109	C0020817
28389983	484	499	stereochemistry	T082	C2350023
28389983	520	559	tandem mass spectrometric-based methods	T062	C0035177
28389983	568	587	structural analysis	T061	C0204514
28389983	591	609	glycosaminoglycans	T109,T121,T123	C0017973
28389983	630	640	assignment	T169	C1516050
28389983	644	649	sulfo	T121,T123,T196	C0038774
28389983	650	659	positions	T082	C0733755
28389983	693	703	assignment	T169	C1516050
28389983	711	730	C-5 stereochemistry	T082	C2350023
28389983	738	749	uronic acid	T109	C0042081
28389983	805	852	electron-based tandem mass spectrometry methods	T062	C0035177
28389983	867	899	electron detachment dissociation	T062	C0035177
28389983	901	904	EDD	T062	C0035177
28389983	945	968	stereo-specific product	T071	C1514468
28389983	969	973	ions	T196	C0022023
28389983	987	989	B3	T196	C2349968
28389983	996	999	CO2	T123,T197	C0007012
28389983	1037	1052	glucuronic acid	T109,T123	C0061444
28389983	1054	1058	GlcA	T109,T123	C0061444
28389983	1065	1078	iduronic acid	T109	C0020817
28389983	1080	1084	IdoA	T109	C0020817
28389983	1094	1113	HS tetrasaccharides	T109,T123	C0019143
28389983	1139	1149	diagnostic	T169	C0348026
28389983	1150	1154	ions	T196	C0022023
28389983	1187	1209	2-O-sulfo uronic acids	T109	C0042081
28389983	1229	1270	sulfated heparan sulfate tetrasaccharides	T109,T123	C0019143
28389983	1281	1286	study	T062	C2603343
28389983	1293	1325	electron detachment dissociation	T062	C0035177
28389983	1330	1358	principal component analysis	T081	C0429865
28389983	1380	1384	ions	T196	C0022023
28389983	1390	1399	correlate	T080	C1707520
28389983	1405	1409	GlcA	T109,T123	C0061444
28389983	1417	1421	IdoA	T109	C0020817
28389983	1435	1463	2-O-sulfo HS tetrasaccharide	T109,T123	C0019143
28389983	1508	1520	investigates	T169	C1292732
28389983	1543	1547	ions	T196	C0022023
28389983	1552	1561	assigning	T169	C1516050
28389983	1566	1585	C-5 stereochemistry	T082	C2350023
28389983	1606	1617	uronic acid	T109	C0042081
28389983	1624	1643	HS tetrasaccharides	T109,T123	C0019143
28389983	1647	1657	diagnostic	T169	C0348026
28389983	1658	1663	ratio	T081	C0456603
28389983	1700	1704	ions	T196	C0022023
28389983	1710	1719	correlate	T080	C1707520
28389983	1723	1727	GlcA	T109,T123	C0061444
28389983	1755	1759	IdoA	T109	C0020817
