28407625|t|Comparison of Occlusive and Open Application in a Psoriasis Plaque Test Design, Exemplarily Using Investigations of Mapracorat 0.1% Ointment versus Vehicle and Reference Drugs
28407625|a|Psoriasis plaque tests (PPTs) are important tools in the early phases of antipsoriatic drug development. Two distinct PPT design variants (open vs. occluded drug application) are commonly used, but no previous work has aimed to directly compare and contrast their performance. We compared the antipsoriatic efficacy of mapracorat 0.1% ointment and reference drugs reported in 2 separate studies, representing open and occluded PPT designs. The drug effect size was measured by sonography (mean change in echo-poor band thickness), chromametry, and standardized clinical assessment. Antipsoriatic effects were detectable for the study drugs in both occluded and open PPTs. Differences between the potency of antipsoriatic drugs and vehicle were observable. The total antipsoriatic effect size appeared to be higher in the occluded PPT than the open PPT, despite the shorter treatment duration (2 vs. 4 weeks). Effect dynamics over time revealed greater differences between some study drugs in the open PPT compared to the occluded PPT. Taking the higher technical challenges for the open PPT into account, we recommend the occluded PPT as a standard screening setting in early drug development. In special cases, considering certain drug aspects or study objectives that would require procedural adaptations, an open PPT could be the better-suited design. Finally, both PPT models show clear advantages: classification as phase I studies, small number of psoriatic subjects, relatively short study duration, excellent discrimination between compounds and concentrations, parallel measurement of treatment response, and go/no go decisions very early in clinical development.
28407625	0	10	Comparison	T052	C1707455
28407625	14	23	Occlusive	T169	C1947917
28407625	28	32	Open	T082	C0175566
28407625	33	44	Application	T169	C4048755
28407625	50	78	Psoriasis Plaque Test Design	T062	C0008976
28407625	98	112	Investigations	T169	C1292732
28407625	116	126	Mapracorat	T109,T121	C3252363
28407625	132	140	Ointment	T122	C0028912
28407625	148	155	Vehicle	T122	C0042444
28407625	160	169	Reference	T077	C1706462
28407625	170	175	Drugs	T121	C0013227
28407625	176	198	Psoriasis plaque tests	T062	C0008976
28407625	200	204	PPTs	T062	C0008976
28407625	249	262	antipsoriatic	T121	C1874314
28407625	263	279	drug development	T091	C0872152
28407625	294	304	PPT design	T062	C0008976
28407625	315	319	open	T169	C0013153
28407625	324	349	occluded drug application	T169	C0013153
28407625	469	482	antipsoriatic	T121	C1874314
28407625	495	505	mapracorat	T109,T121	C3252363
28407625	511	519	ointment	T122	C0028912
28407625	524	533	reference	T077	C1706462
28407625	534	539	drugs	T121	C0013227
28407625	563	570	studies	T062	C2603343
28407625	585	589	open	T062	C0008976
28407625	594	614	occluded PPT designs	T062	C0008976
28407625	620	631	drug effect	T169	C0728866
28407625	653	663	sonography	T060	C0041618
28407625	695	704	thickness	T080	C1280412
28407625	707	718	chromametry	T059	C0022885
28407625	737	756	clinical assessment	T033	C3845884
28407625	758	771	Antipsoriatic	T121	C1874314
28407625	772	779	effects	T169	C0728866
28407625	804	809	study	T062	C2603343
28407625	810	815	drugs	T121	C0013227
28407625	824	832	occluded	T062	C0008976
28407625	837	846	open PPTs	T062	C0008976
28407625	872	879	potency	T038	C0678792
28407625	883	902	antipsoriatic drugs	T121	C1874314
28407625	907	914	vehicle	T122	C0042444
28407625	942	955	antipsoriatic	T121	C1874314
28407625	956	962	effect	T169	C0728866
28407625	997	1009	occluded PPT	T062	C0008976
28407625	1019	1027	open PPT	T062	C0008976
28407625	1049	1067	treatment duration	T079	C0444921
28407625	1077	1082	weeks	T079	C0439230
28407625	1085	1091	Effect	T169	C0728866
28407625	1092	1100	dynamics	T070	C3826426
28407625	1106	1110	time	T079	C0040223
28407625	1153	1158	study	T062	C2603343
28407625	1159	1164	drugs	T121	C0013227
28407625	1172	1180	open PPT	T062	C0008976
28407625	1197	1209	occluded PPT	T062	C0008976
28407625	1229	1249	technical challenges	T067	C1710348
28407625	1258	1266	open PPT	T062	C0008976
28407625	1298	1310	occluded PPT	T062	C0008976
28407625	1325	1334	screening	T062	C0013206
28407625	1346	1351	early	T079	C1279919
28407625	1352	1368	drug development	T091	C0872152
28407625	1408	1412	drug	T121	C0013227
28407625	1413	1420	aspects	T080	C1879746
28407625	1424	1429	study	T062	C2603343
28407625	1487	1495	open PPT	T062	C0008976
28407625	1545	1548	PPT	T062	C0008976
28407625	1579	1593	classification	T185	C0008902
28407625	1597	1612	phase I studies	T062	C0920321
28407625	1667	1672	study	T062	C2603343
28407625	1673	1681	duration	T079	C0449238
28407625	1716	1725	compounds	T103	C1706082
28407625	1730	1744	concentrations	T081	C1264643
28407625	1755	1766	measurement	T169	C0242485
28407625	1770	1788	treatment response	T201	C0521982
28407625	1818	1823	early	T079	C1279919
28407625	1827	1847	clinical development	T062	C1512068
