28478464|t|Comparative analysis of macular and peripapillary retinal nerve fiber layer thickness in normal, glaucoma suspect and glaucomatous eyes by optical coherence tomography
28478464|a|Peripapillary retinal nerve fiber layer (RNFL) thickness analysis is a subjective method of analysis of glaucomatous damage. As almost 50% of retinal ganglion cells are located in the macula, assessment of macular thickness can be an alternative method for diagnosis of glaucoma. To evaluate the changes in macular and retinal nerve fiber layer thickness in controls, glaucoma suspects and glaucoma patients using time domain optical coherence tomography (TD-OCT). Macular and peripapillary RNFL scans were performed in one eye of 70 controls, 35 glaucoma suspect s and 70 glaucoma patients by TD-OCT. The discriminating power of each parameter between the groups was determined by area under the receiver operating characteristic (AROC) curve. The correlation of macula r thickness and RNFL thickness parameters with global field indices were also performed. P-value of less than 0.05 was considered statistically significant. The differences in all the macula r thickness parameters between the groups were statistically significant (pless than 0.05) except foveal thickness (FT) and nasal inner (NI) quadrant thickness. The temporal outer (TO) macular quadrant produced largest AROC curve of 0.90 between controls and glaucoma patients. The differences in all the RNFL thickness parameters were highly significant between the groups (pless than 0.001). The AROC curve between control group and glaucoma patients for RNFL average thickness was 0.99. Macular thickness as detected by TD-OCT had high discriminating power between controls, glaucoma suspects and glaucoma patients comparable with peripapillary RNFL thickness parameters.
28478464	0	20	Comparative analysis	T062	C0683941
28478464	24	31	macular	T023	C0450295
28478464	36	49	peripapillary	T082	C0442163
28478464	50	75	retinal nerve fiber layer	T023	C1517753
28478464	76	85	thickness	T080	C1280412
28478464	97	113	glaucoma suspect	T047	C0017614
28478464	118	135	glaucomatous eyes	T047	C0017601
28478464	139	167	optical coherence tomography	T060	C2013322
28478464	168	181	Peripapillary	T082	C0442163
28478464	182	207	retinal nerve fiber layer	T023	C1517753
28478464	209	213	RNFL	T023	C1517753
28478464	215	224	thickness	T080	C1280412
28478464	225	233	analysis	T062	C0936012
28478464	239	268	subjective method of analysis	T060	C4067875
28478464	272	284	glaucomatous	T047	C0017601
28478464	285	291	damage	T169	C1883709
28478464	310	332	retinal ganglion cells	T025	C0035316
28478464	337	344	located	T082	C0332285
28478464	352	358	macula	T023	C0450295
28478464	360	370	assessment	T058	C0220825
28478464	374	381	macular	T023	C0450295
28478464	382	391	thickness	T080	C1280412
28478464	402	413	alternative	T077	C1523987
28478464	414	420	method	T170	C0025663
28478464	425	434	diagnosis	T033	C0011900
28478464	438	446	glaucoma	T047	C0017601
28478464	451	459	evaluate	T058	C0220825
28478464	464	471	changes	T169	C0392747
28478464	475	482	macular	T023	C0450295
28478464	487	512	retinal nerve fiber layer	T023	C1517753
28478464	513	522	thickness	T080	C1280412
28478464	526	534	controls	T096	C0009932
28478464	536	553	glaucoma suspects	T047	C0017614
28478464	558	566	glaucoma	T047	C0017601
28478464	567	575	patients	T101	C0030705
28478464	582	622	time domain optical coherence tomography	T060	C2013322
28478464	624	630	TD-OCT	T060	C2013322
28478464	633	640	Macular	T023	C0450295
28478464	645	658	peripapillary	T082	C0442163
28478464	659	663	RNFL	T023	C1517753
28478464	664	669	scans	T060	C0441633
28478464	692	695	eye	T023	C0015392
28478464	702	710	controls	T096	C0009932
28478464	715	731	glaucoma suspect	T047	C0017614
28478464	741	749	glaucoma	T047	C0017601
28478464	750	758	patients	T101	C0030705
28478464	762	768	TD-OCT	T060	C2013322
28478464	803	812	parameter	T033	C0449381
28478464	825	831	groups	T078	C0441833
28478464	850	911	area under the receiver operating characteristic (AROC) curve	T081	C0376690
28478464	865	898	receiver operating characteristic	T081	C1527113
28478464	917	928	correlation	T080	C1707520
28478464	932	938	macula	T023	C0450295
28478464	941	950	thickness	T080	C1280412
28478464	955	959	RNFL	T023	C1517753
28478464	960	969	thickness	T080	C1280412
28478464	970	980	parameters	T033	C0449381
28478464	986	1006	global field indices	T201	C1720706
28478464	1028	1035	P-value	T081	C1709380
28478464	1069	1094	statistically significant	T081	C0237881
28478464	1123	1129	macula	T023	C0450295
28478464	1132	1141	thickness	T080	C1280412
28478464	1142	1152	parameters	T033	C0449381
28478464	1165	1171	groups	T078	C0441833
28478464	1177	1202	statistically significant	T081	C0237881
28478464	1228	1244	foveal thickness	T081	C4067878
28478464	1246	1248	FT	T081	C4067878
28478464	1254	1289	nasal inner (NI) quadrant thickness	T080	C1280412
28478464	1295	1331	temporal outer (TO) macular quadrant	T082	C1631280
28478464	1349	1359	AROC curve	T081	C0376690
28478464	1376	1384	controls	T096	C0009932
28478464	1389	1397	glaucoma	T047	C0017601
28478464	1398	1406	patients	T101	C0030705
28478464	1435	1439	RNFL	T023	C1517753
28478464	1440	1449	thickness	T080	C1280412
28478464	1450	1460	parameters	T033	C0449381
28478464	1497	1503	groups	T078	C0441833
28478464	1528	1538	AROC curve	T081	C0376690
28478464	1565	1573	glaucoma	T047	C0017601
28478464	1574	1582	patients	T101	C0030705
28478464	1587	1591	RNFL	T023	C1517753
28478464	1600	1609	thickness	T080	C1280412
28478464	1620	1627	Macular	T023	C0450295
28478464	1628	1637	thickness	T080	C1280412
28478464	1653	1659	TD-OCT	T060	C2013322
28478464	1698	1706	controls	T096	C0009932
28478464	1708	1725	glaucoma suspects	T047	C0017614
28478464	1730	1738	glaucoma	T047	C0017601
28478464	1739	1747	patients	T101	C0030705
28478464	1764	1777	peripapillary	T082	C0442163
28478464	1778	1782	RNFL	T023	C1517753
28478464	1783	1792	thickness	T080	C1280412
28478464	1793	1803	parameters	T033	C0449381
