28485268|t|Biochemical studies of amylase, lipase and protease in Callosobruchus maculatus (Coleoptera: Chrysomelidae) populations fed with Vigna unguiculata grain cultivated with diazotrophic bacteria strains
28485268|a|The objective of this study was to evaluate the enzymatic activity of homogenates of insects fed on grain of cowpea, Vigna unguiculata (L.), cultivars grown with different nitrogen sources. For the experiment we used aliquots of the homogenate of 100 unsexed adult insects, emerged from 10 g of grain obtained from four cowpea cultivars: ' BRS Acauã ', ' BRS Carijó ', ' BRS Pujante ', and ' BRS Tapaihum ' grown under different regimes of nitrogen sources: mineral fertilizer, inoculation with strains of diazotrophs (BR 3267, BR 3262, BR 3299; INPA 03-11B, 03-84 UFLA, as well as the control (with soil nitrogen). The parameters evaluated were enzymatic activities of insect protease, amylase and lipase and the starch content of the grains. There were differences in the enzymatic activity of amylase, lipase and protease of insect homogenate according to the food source. A lower activity of the enzyme amylase from C. maculatus homogenate was observed when insects were fed grain of the cultivar BRS Carijó. A lower activity of lipase enzyme from C. maculatus homogenate was observed when the insects fed on grain from the interaction of the cultivar Tapaihum inoculated with BR 3262 diazotrophs. The lowest proteolytic activity was observed in homogenate of insects fed on interaction of ' BRS Carijó ' inoculated with BR 3262 diazotroph s. Starch content correlated positively with the amylase activity of C. maculatus homogenate. The cultivar BRS Carijó had a different behavior from the other cultivars, according to the cluster analysis.
28485268	0	11	Biochemical	T169	C0205474
28485268	12	19	studies	T062	C2603343
28485268	23	30	amylase	T116,T121,T126	C0002712
28485268	32	38	lipase	T116,T121,T126	C0023764
28485268	43	51	protease	T116,T126	C0030940
28485268	55	79	Callosobruchus maculatus	T204	C1024702
28485268	81	91	Coleoptera	T204	C0009276
28485268	93	106	Chrysomelidae	T204	C1001499
28485268	108	119	populations	T098	C1257890
28485268	129	146	Vigna unguiculata	T002	C0996865
28485268	147	152	grain	T168	C0007757
28485268	153	163	cultivated	T062	C0242481
28485268	169	198	diazotrophic bacteria strains	T007	C0004611
28485268	221	226	study	T062	C2603343
28485268	247	265	enzymatic activity	T044	C0243102
28485268	269	280	homogenates	T072	C3829671
28485268	284	291	insects	T204	C0021585
28485268	299	304	grain	T168	C0007757
28485268	308	314	cowpea	T002	C0996865
28485268	316	338	Vigna unguiculata (L.)	T002	C0996865
28485268	340	349	cultivars	T002	C0032098
28485268	371	379	nitrogen	T123,T196	C0028158
28485268	432	442	homogenate	T072	C3829671
28485268	458	463	adult	T100	C0001675
28485268	464	471	insects	T204	C0021585
28485268	494	499	grain	T168	C0007757
28485268	519	525	cowpea	T002	C0996865
28485268	526	535	cultivars	T002	C0032098
28485268	539	548	BRS Acauã	T002	C0032098
28485268	554	564	BRS Carijó	T002	C0032098
28485268	570	581	BRS Pujante	T002	C0032098
28485268	591	603	BRS Tapaihum	T002	C0032098
28485268	639	647	nitrogen	T123,T196	C0028158
28485268	657	664	mineral	T197	C0026162
28485268	665	675	fertilizer	T073,T131	C0015919
28485268	677	688	inoculation	T059	C0022885
28485268	694	716	strains of diazotrophs	T007	C0004611
28485268	718	725	BR 3267	T007	C3917457
28485268	727	734	BR 3262	T007	C3917456
28485268	736	743	BR 3299	T007	C0004611
28485268	745	756	INPA 03-11B	T007	C0004611
28485268	758	768	03-84 UFLA	T007	C0004611
28485268	785	792	control	T096	C0009932
28485268	799	803	soil	T167	C0037592
28485268	804	812	nitrogen	T123,T196	C0028158
28485268	845	865	enzymatic activities	T044	C0243102
28485268	869	875	insect	T204	C0021585
28485268	876	884	protease	T116,T126	C0030940
28485268	886	893	amylase	T116,T121,T126	C0002712
28485268	898	904	lipase	T116,T121,T126	C0023764
28485268	913	919	starch	T109,T121,T123	C0038179
28485268	935	941	grains	T168	C0007757
28485268	973	991	enzymatic activity	T044	C0243102
28485268	995	1002	amylase	T116,T121,T126	C0002712
28485268	1004	1010	lipase	T116,T121,T126	C0023764
28485268	1015	1023	protease	T116,T126	C0030940
28485268	1027	1033	insect	T204	C0021585
28485268	1034	1044	homogenate	T072	C3829671
28485268	1062	1066	food	T168	C0016452
28485268	1083	1105	activity of the enzyme	T044	C0243102
28485268	1106	1113	amylase	T116,T121,T126	C0002712
28485268	1119	1131	C. maculatus	T204	C1024702
28485268	1132	1142	homogenate	T072	C3829671
28485268	1161	1168	insects	T204	C0021585
28485268	1178	1183	grain	T168	C0007757
28485268	1191	1210	cultivar BRS Carijó	T002	C0032098
28485268	1220	1245	activity of lipase enzyme	T044	C1149836
28485268	1251	1263	C. maculatus	T204	C1024702
28485268	1264	1274	homogenate	T072	C3829671
28485268	1297	1304	insects	T204	C0021585
28485268	1312	1317	grain	T168	C0007757
28485268	1346	1363	cultivar Tapaihum	T002	C0032098
28485268	1380	1399	BR 3262 diazotrophs	T007	C3917456
28485268	1412	1432	proteolytic activity	T044	C0597304
28485268	1449	1459	homogenate	T072	C3829671
28485268	1463	1470	insects	T204	C0021585
28485268	1495	1505	BRS Carijó	T002	C0032098
28485268	1524	1542	BR 3262 diazotroph	T007	C3917456
28485268	1546	1552	Starch	T109,T121,T123	C0038179
28485268	1592	1608	amylase activity	T044	C1150038
28485268	1612	1624	C. maculatus	T204	C1024702
28485268	1625	1635	homogenate	T072	C3829671
28485268	1641	1660	cultivar BRS Carijó	T002	C0032098
28485268	1701	1710	cultivars	T002	C0032098
28485268	1729	1745	cluster analysis	T062	C0009085
