28527429|t|Coexistence of light-driven Na(+) and H(+) transport in a microbial rhodopsin from Nonlabens dokdonensis
28527429|a|Ion pumping microbial rhodopsins are photochemically active membrane proteins, converting light energy into ion-motive-force for ATP synthesis. Nonlabens dokdonensis rhodopsin 2 (NdR2), was recently identified as a light-driven Na(+) pump. However, few functional studies on NdR2 have been conducted to elucidate its mechanism of ion transport. By reconstituting NdR2 into liposomes, we proved that NdR2 functions as a light-driven Na(+) / H(+) pump. As Na(+) concentration increased, the dominant H(+) pump activity switched to the Na(+) pump activity at neutral pH. The inversion of pH change by the addition of CCCP at low Na(+) further suggested that the transport of Na(+) and H(+) should coexist in NdR2. By increasing H(+) concentration, the affinity for Na(+) lowered, which was indicated by an increase in KM from ~31mM at pH ~7.5, to ~74mM at pH ~6.5. These results demonstrated that Na(+) transport competed with H(+) transport in NdR2, which was confirmed by the dominant H(+) pump activity at pH ~5.7. Kinetic experiments using pyranine uncovered a transient H(+) uptake, followed by an H(+) release at the millisecond time scale in both Na(+) and K(+) solutions. Therefore, these NdR2 results may provide functional and kinetic insights into the ion transport mechanism in light-driven Na(+) pumps.
28527429	0	11	Coexistence	T077	C2987476
28527429	15	27	light-driven	T044	C1159580
28527429	28	33	Na(+)	T043	C1159690
28527429	38	52	H(+) transport	T043	C1159576
28527429	58	77	microbial rhodopsin	T116,T123	C0949708
28527429	83	104	Nonlabens dokdonensis	T007	C1623666
28527429	105	116	Ion pumping	T116,T123	C0085193
28527429	117	137	microbial rhodopsins	T116,T123	C0949708
28527429	142	157	photochemically	T070	C2350502
28527429	158	182	active membrane proteins	T116,T123	C0025252
28527429	195	207	light energy	T070	C1254365
28527429	213	229	ion-motive-force	T044	C0282517
28527429	234	247	ATP synthesis	T044	C1157223
28527429	249	270	Nonlabens dokdonensis	T007	C1623666
28527429	271	282	rhodopsin 2	T116,T123	C0035499
28527429	284	288	NdR2	T116,T123	C0035499
28527429	320	332	light-driven	T044	C1159580
28527429	333	343	Na(+) pump	T043	C1159690
28527429	358	368	functional	T169	C0205245
28527429	380	384	NdR2	T116,T123	C0035499
28527429	422	431	mechanism	T169	C0441712
28527429	435	448	ion transport	T043	C0162585
28527429	468	472	NdR2	T116,T123	C0035499
28527429	478	487	liposomes	T109	C0023828
28527429	504	508	NdR2	T116,T123	C0035499
28527429	524	536	light-driven	T044	C1159580
28527429	537	542	Na(+)	T043	C1159690
28527429	545	554	H(+) pump	T116,T126	C0018440
28527429	559	564	Na(+)	T196	C0597484
28527429	565	578	concentration	T081	C1446561
28527429	603	621	H(+) pump activity	T116,T126	C0018440
28527429	638	657	Na(+) pump activity	T044	C1749452
28527429	669	671	pH	T081	C0020283
28527429	690	692	pH	T081	C0020283
28527429	719	723	CCCP	T109	C0007043
28527429	731	736	Na(+)	T196	C0597484
28527429	764	782	transport of Na(+)	T043	C1159690
28527429	787	791	H(+)	T043	C1159576
28527429	810	814	NdR2	T116,T123	C0035499
28527429	830	848	H(+) concentration	T081	C0020283
28527429	867	872	Na(+)	T196	C0597484
28527429	920	922	KM	T081	C1706312
28527429	937	939	pH	T081	C0020283
28527429	958	960	pH	T081	C0020283
28527429	999	1014	Na(+) transport	T043	C1159690
28527429	1029	1043	H(+) transport	T043	C1159576
28527429	1047	1051	NdR2	T116,T123	C0035499
28527429	1089	1107	H(+) pump activity	T116,T126	C0018440
28527429	1111	1113	pH	T081	C0020283
28527429	1120	1139	Kinetic experiments	T070	C0022702
28527429	1146	1154	pyranine	T109,T130	C0072651
28527429	1177	1181	H(+)	T196	C0033727
28527429	1205	1209	H(+)	T196	C0033727
28527429	1237	1247	time scale	T079	C0040223
28527429	1256	1261	Na(+)	T196	C0597484
28527429	1266	1280	K(+) solutions	T123,T196	C0032821
28527429	1299	1303	NdR2	T116,T123	C0035499
28527429	1324	1334	functional	T169	C0205245
28527429	1339	1346	kinetic	T070	C0022702
28527429	1365	1378	ion transport	T043	C0162585
28527429	1379	1388	mechanism	T169	C0441712
28527429	1392	1404	light-driven	T044	C1159580
28527429	1405	1416	Na(+) pumps	T043	C1159690
