28532107|t|Comparison of electrospun and solvent cast polylactic acid (PLA)/ poly(vinyl alcohol) (PVA) inserts as potential ocular drug delivery vehicles
28532107|a|The purpose of this work was to develop, characterize and compare electrospun nanofiber inserts (ENIs) and solvent cast polymeric inserts (SCIs) for ocular drug delivery. ENI and SCI of 1%, 5% and 10% w/w dexamethasone were fabricated using a blend of poly-lactic acid (PLA) and poly-vinyl alcohol (PVA). Inserts were characterized for morphology, thickness, pH, drug content, drug crystallinity, in vitro drug release, sterility, dimethylformamide (DMF) and chloroform content, and cytotoxicity. The thickness of 1%, 5%, and 10% dexamethasone -loaded ENIs were found to be 50μm, 62.5μm, and 93.3μm, respectively, with good folding endurance. SCIs were brittle, with thickness values >200μm. Drug release rates from 1%, 5% and 10% ENIs were found to be 0.62μg/h, 1.46μg/h, and 2.30μg/h, respectively, while those from SCIs were erratic. DMF content in ENIs and SCIs were 0.007% w/w and 0.123% w/w, respectively, while chloroform was not detected. No cytotoxicity was observed from ENIs in cultured bovine corneal endothelial cells for up to 24h. We conclude that ENIs are better than SCIs and could be utilized as a potential delivery system for treating anterior segment ocular diseases.
28532107	0	10	Comparison	T052	C1707455
28532107	14	25	electrospun	T067	C1254366
28532107	30	42	solvent cast	T067	C1254366
28532107	43	58	polylactic acid	T109,T122	C0071443
28532107	60	63	PLA	T109,T122	C0071443
28532107	66	85	poly(vinyl alcohol)	T122	C0032623
28532107	87	90	PVA	T122	C0032623
28532107	92	99	inserts	T122	C0005479
28532107	113	119	ocular	T023	C0015392
28532107	120	142	drug delivery vehicles	T122	C0042444
28532107	209	230	electrospun nanofiber	T073	C1881960
28532107	231	238	inserts	T122	C0005479
28532107	240	244	ENIs	T073	C1881960
28532107	250	262	solvent cast	T067	C1254366
28532107	263	272	polymeric	T104,T122	C0032521
28532107	273	280	inserts	T122	C0005479
28532107	282	286	SCIs	T104,T122	C0032521
28532107	292	298	ocular	T023	C0015392
28532107	299	312	drug delivery	T074	C0085104
28532107	314	317	ENI	T073	C1881960
28532107	322	325	SCI	T104,T122	C0032521
28532107	348	361	dexamethasone	T109,T121	C0011777
28532107	367	377	fabricated	T067	C1254366
28532107	386	391	blend	T068	C0678946
28532107	395	411	poly-lactic acid	T109,T122	C0071443
28532107	413	416	PLA	T109,T122	C0071443
28532107	422	440	poly-vinyl alcohol	T122	C0032623
28532107	442	445	PVA	T122	C0032623
28532107	448	455	Inserts	T122	C0005479
28532107	479	489	morphology	T080	C0332437
28532107	491	500	thickness	T080	C1280412
28532107	502	504	pH	T081	C0020283
28532107	506	518	drug content	T077	C0456205
28532107	520	538	drug crystallinity	T080	C0205556
28532107	540	548	in vitro	T080	C1533691
28532107	549	561	drug release	T070	C3850077
28532107	563	572	sterility	T080	C0232920
28532107	574	591	dimethylformamide	T109,T130	C0012426
28532107	593	596	DMF	T109,T130	C0012426
28532107	602	612	chloroform	T109,T130,T131	C0008238
28532107	613	620	content	T077	C0456205
28532107	626	638	cytotoxicity	T049	C0596402
28532107	644	653	thickness	T080	C1280412
28532107	673	686	dexamethasone	T109,T121	C0011777
28532107	695	699	ENIs	T073	C1881960
28532107	767	784	folding endurance	T033	C0518031
28532107	786	790	SCIs	T104,T122	C0032521
28532107	796	803	brittle	T033	C3810845
28532107	810	819	thickness	T080	C1280412
28532107	835	847	Drug release	T070	C3850077
28532107	848	853	rates	T081	C1521828
28532107	874	878	ENIs	T073	C1881960
28532107	961	965	SCIs	T104,T122	C0032521
28532107	980	983	DMF	T109,T130	C0012426
28532107	984	991	content	T077	C0456205
28532107	995	999	ENIs	T073	C1881960
28532107	1004	1008	SCIs	T104,T122	C0032521
28532107	1061	1071	chloroform	T109,T130,T131	C0008238
28532107	1076	1088	not detected	T033	C0442737
28532107	1090	1092	No	T033	C1513916
28532107	1093	1105	cytotoxicity	T049	C0596402
28532107	1124	1128	ENIs	T073	C1881960
28532107	1132	1140	cultured	T025	C0007635
28532107	1141	1147	bovine	T015	C3667982
28532107	1148	1173	corneal endothelial cells	T025	C0225336
28532107	1206	1210	ENIs	T073	C1881960
28532107	1227	1231	SCIs	T104,T122	C0032521
28532107	1269	1284	delivery system	T074	C0085104
28532107	1289	1297	treating	T169	C1522326
28532107	1298	1314	anterior segment	T082	C0348014
28532107	1315	1330	ocular diseases	T047	C0015397
