28534189|t|National Trends in Bariatric Surgery 2012-2015: Demographics, Procedure Selection, Readmissions, and Cost
28534189|a|Bariatric surgery is widely accepted as the best treatment for obesity and type 2 diabetes mellitus (T2DM). The Roux-en-Y gastric bypass (RYGB) and the sleeve gastrectomy (SG) have become the predominant bariatric procedures in the USA over the last several years, although the most recent trends in selection are unknown. The objective of this study is to assess selection trends, readmission rates, and cost of bariatric procedures in the USA from 2012 to 2015. We used the Premier database from 2012 to 2015 to examine trends in incidence of RYGB, adjustable gastric banding (LAGB), and SG; readmissions; and cost. Multivariate regression was performed to identify predictors of readmission. The proportion of SG went up from 38 to 63% while the RYGB decreased from 44 to 30% over this time period. LAGB has decreased in use from 13 to 2%. In comparison to RYGB, readmission was less likely for SG (OR 0.64), males (OR 0.91), and more likely for black race (OR 1.27). The overall proportion of patients seeking RYGB with type 2 diabetes was higher than with SG (36 versus 25%), but SG has now overtaken RYGB as the most common procedure among diabetics. The SG is less costly than RYGB ($11,183 versus $13,485). There is a continued overall trend in the increased popularity of the SG and decreased utilization of the RYGB and LAGB, although growth of the SG appears to be slowing. This is also true among patients with type 2 diabetes mellitus. Regardless of surgery type, underinsured and African-American race were more likely to be readmitted.
28534189	0	8	National	T082	C0681788
28534189	9	15	Trends	T079	C1521798
28534189	19	36	Bariatric Surgery	T061	C1456587
28534189	48	60	Demographics	T090	C0011298
28534189	62	71	Procedure	T061	C0087111
28534189	72	81	Selection	T052	C1707391
28534189	83	95	Readmissions	T058	C0030700
28534189	101	105	Cost	T081	C0010186
28534189	106	123	Bariatric surgery	T061	C1456587
28534189	155	164	treatment	T061	C0087111
28534189	169	176	obesity	T047	C0028754
28534189	181	205	type 2 diabetes mellitus	T047	C0011860
28534189	207	211	T2DM	T047	C0011860
28534189	218	242	Roux-en-Y gastric bypass	T061	C0585179
28534189	244	248	RYGB	T061	C0585179
28534189	258	276	sleeve gastrectomy	T061	C3160799
28534189	278	280	SG	T061	C3160799
28534189	298	309	predominant	T080	C1542147
28534189	310	330	bariatric procedures	T061	C1456587
28534189	338	341	USA	T083	C0041703
28534189	396	402	trends	T079	C1521798
28534189	433	442	objective	T170	C0018017
28534189	451	456	study	T062	C2603343
28534189	480	486	trends	T079	C1521798
28534189	488	499	readmission	T058	C0030700
28534189	500	505	rates	T081	C1521828
28534189	511	515	cost	T081	C0010186
28534189	519	539	bariatric procedures	T061	C1456587
28534189	547	550	USA	T083	C0041703
28534189	582	598	Premier database	T170	C0242356
28534189	628	634	trends	T079	C1521798
28534189	638	647	incidence	T081	C0021149
28534189	651	655	RYGB	T061	C0585179
28534189	657	683	adjustable gastric banding	T061	C1532765
28534189	685	689	LAGB	T061	C1532765
28534189	696	698	SG	T061	C3160799
28534189	700	712	readmissions	T058	C0030700
28534189	718	722	cost	T081	C0010186
28534189	724	747	Multivariate regression	T081	C0026777
28534189	774	784	predictors	T078	C2698872
28534189	788	799	readmission	T058	C0030700
28534189	805	815	proportion	T081	C1709707
28534189	819	821	SG	T061	C3160799
28534189	855	859	RYGB	T061	C0585179
28534189	860	869	decreased	T081	C0205216
28534189	908	912	LAGB	T061	C1532765
28534189	917	926	decreased	T081	C0205216
28534189	952	962	comparison	T052	C1707455
28534189	966	970	RYGB	T061	C0585179
28534189	972	983	readmission	T058	C0030700
28534189	993	999	likely	T078	C0750492
28534189	1004	1006	SG	T061	C3160799
28534189	1018	1023	males	T032	C0086582
28534189	1044	1050	likely	T078	C0750492
28534189	1055	1065	black race	T098	C0005680
28534189	1081	1088	overall	T080	C1561607
28534189	1103	1111	patients	T101	C0030705
28534189	1120	1124	RYGB	T061	C0585179
28534189	1130	1145	type 2 diabetes	T047	C0011860
28534189	1150	1156	higher	T080	C0205250
28534189	1167	1169	SG	T061	C3160799
28534189	1191	1193	SG	T061	C3160799
28534189	1212	1216	RYGB	T061	C0585179
28534189	1236	1245	procedure	T061	C0087111
28534189	1252	1261	diabetics	T033	C0241863
28534189	1267	1269	SG	T061	C3160799
28534189	1290	1294	RYGB	T061	C0585179
28534189	1342	1349	overall	T080	C1561607
28534189	1350	1355	trend	T079	C1521798
28534189	1363	1372	increased	T081	C0205217
28534189	1391	1393	SG	T061	C3160799
28534189	1398	1407	decreased	T081	C0205216
28534189	1427	1431	RYGB	T061	C0585179
28534189	1436	1440	LAGB	T061	C1532765
28534189	1465	1467	SG	T061	C3160799
28534189	1515	1523	patients	T101	C0030705
28534189	1529	1553	type 2 diabetes mellitus	T047	C0011860
28534189	1569	1576	surgery	T061	C0543467
28534189	1577	1581	type	T080	C0332307
28534189	1600	1621	African-American race	T098	C0085756
28534189	1632	1638	likely	T078	C0750492
28534189	1645	1655	readmitted	T058	C0030700
