27236780|t|Histopathology of the filum terminale in children with and without tethered cord syndrome with attention to the elastic tissue within the filum
27236780|a|To compare histologically transected fila from pediatric patients with tethered cord syndrome (TCS), with and without a low conus, with controls, focusing on collagenous and elastic tissue. Thirty fila from patients with TCS, including 5 where minimal cautery was used prior to filum section, were compared with fila from 27 pediatric cadavers without TCS (controls). Sections of fila were stained with H&E, Masson trichrome and Verhoeff von Gieson elastic stains, and 7 with Gordon and Sweet's reticulin stain. Fila from controls showed loose fibrous connective tissue (FCT) with thin and evenly dispersed elastic fibers (EFs). Reticulin fibers (RFs) were seen in blood vessel walls and nerve twigs. Fat was identified microscopically in 2 fila. All fila from patients with TCS had dense FCT. The EFs were in normal numbers in 17, and focally or diffusely decreased in 13. All 25 patients where the fila were cauterized during resection had thick and coiled EFs. Coiling was not seen when minimal cautery was applied. RFs were seen in blood vessel walls and nerve twigs. Fat was identified in 19 patients. Findings were similar, whether the conus termination was normal or low. The fila of all patients with TCS, whether or not the conus was low, showed abnormal FCT. EFs were decreased in 48 % of patients; however, there were thick and coiled EFs in all patients. Coiling of EFs, initially thought to be an abnormality in patients, is considered most likely to be a result of cautery (i.e., artifactual / iatrogenic coiling).
27236780	0	14	Histopathology	T091	UMLS:C0677043
27236780	22	37	filum terminale	T017	UMLS:C0016109
27236780	67	89	tethered cord syndrome	T038	UMLS:C0080218
27236780	112	126	elastic tissue	T017	UMLS:C0013762
27236780	138	143	filum	T017	UMLS:C0016109
27236780	181	185	fila	T017	UMLS:C0016109
27236780	215	237	tethered cord syndrome	T038	UMLS:C0080218
27236780	239	242	TCS	T038	UMLS:C0080218
27236780	264	267	low	T082	UMLS:C1548802
27236780	268	273	conus	T017	UMLS:C0149601
27236780	302	313	collagenous	T017	UMLS:C0225333
27236780	318	332	elastic tissue	T017	UMLS:C0013762
27236780	341	345	fila	T017	UMLS:C0016109
27236780	365	368	TCS	T038	UMLS:C0080218
27236780	396	403	cautery	T058	UMLS:C0007471
27236780	422	427	filum	T017	UMLS:C0016109
27236780	428	435	section	T058	UMLS:C0700320
27236780	456	460	fila	T017	UMLS:C0016109
27236780	479	487	cadavers	T017	UMLS:C0006629
27236780	496	499	TCS	T038	UMLS:C0080218
27236780	524	528	fila	T017	UMLS:C0016109
27236780	534	541	stained	T058	UMLS:C0487602
27236780	547	550	H&E	T058	UMLS:C0523207
27236780	552	568	Masson trichrome	T058	UMLS:C1294297
27236780	573	607	Verhoeff von Gieson elastic stains	T058	UMLS:C1294321
27236780	620	654	Gordon and Sweet's reticulin stain	T058	UMLS:C1293950
27236780	656	660	Fila	T017	UMLS:C0016109
27236780	688	713	fibrous connective tissue	T017	UMLS:C1184823
27236780	715	718	FCT	T017	UMLS:C1184823
27236780	751	765	elastic fibers	T017	UMLS:C0230899
27236780	767	770	EFs	T017	UMLS:C0230899
27236780	773	789	Reticulin fibers	T103	UMLS:C0035285
27236780	791	794	RFs	T103	UMLS:C0035285
27236780	809	827	blood vessel walls	T017	UMLS:C1180033
27236780	832	837	nerve	T017	UMLS:C0027740
27236780	845	848	Fat	T103	UMLS:C0015677
27236780	885	889	fila	T017	UMLS:C0016109
27236780	895	899	fila	T017	UMLS:C0016109
27236780	919	922	TCS	T038	UMLS:C0080218
27236780	927	936	dense FCT	T017	UMLS:C0225333
27236780	942	945	EFs	T017	UMLS:C0230899
27236780	980	987	focally	T082	UMLS:C0205234
27236780	1044	1048	fila	T017	UMLS:C0016109
27236780	1054	1064	cauterized	T058	UMLS:C0007471
27236780	1072	1081	resection	T058	UMLS:C0728940
27236780	1096	1102	coiled	T082	UMLS:C1880179
27236780	1103	1106	EFs	T017	UMLS:C0230899
27236780	1108	1115	Coiling	T082	UMLS:C0444764
27236780	1142	1149	cautery	T058	UMLS:C0007471
27236780	1163	1166	RFs	T103	UMLS:C0035285
27236780	1180	1198	blood vessel walls	T017	UMLS:C1180033
27236780	1216	1219	Fat	T103	UMLS:C0015677
27236780	1251	1259	Findings	T033	UMLS:C0243095
27236780	1286	1291	conus	T017	UMLS:C0149601
27236780	1318	1321	low	T082	UMLS:C0441994
27236780	1327	1331	fila	T017	UMLS:C0016109
27236780	1353	1356	TCS	T038	UMLS:C0080218
27236780	1377	1382	conus	T017	UMLS:C0149601
27236780	1387	1390	low	T082	UMLS:C0441994
27236780	1399	1407	abnormal	T033	UMLS:C0205161
27236780	1408	1411	FCT	T017	UMLS:C1184823
27236780	1413	1416	EFs	T017	UMLS:C0230899
27236780	1483	1489	coiled	T082	UMLS:C1880179
27236780	1490	1493	EFs	T017	UMLS:C0230899
27236780	1511	1518	Coiling	T082	UMLS:C0444764
27236780	1522	1525	EFs	T017	UMLS:C0230899
27236780	1554	1565	abnormality	T033	UMLS:C1704258
27236780	1623	1630	cautery	T058	UMLS:C0007471
27236780	1663	1670	coiling	T082	UMLS:C0444764
