27265179|t|Effects of grazing cow diet on volatile compounds as well as physicochemical and sensory characteristics of 12- month - ripened Montasio cheese
27265179|a|The aim of this study was to evaluate the effects of pasture type and cow feeding supplementation level on a 12- mo - ripened Montasio protected designation of origin (PDO) cheese, which is one of the most important PDO cheeses produced in northeast Italy. Cheeses were characterized for volatile compounds, color, mechanical variables, and sensory descriptors. Pasture type significantly affected most of the instrumental variables considered and, as a consequence, sensory properties were affected as well. Cheeses from the pasture characterized by a nutrient-rich vegetation type were higher in protein and lower in fat content. Furthermore, such cheeses, evaluated by a sensory panel, were more intense in color with a more pungent and less cow-like odor, in agreement with what found through instrumental analyses. Supplementation level resulted in less pronounced effects, limited to volatile compounds and texture properties, which were not detected by sensory analysis. The characterization of the 12- mo ripened Montasio cheese reported here is an important step for the valorization of this PDO product.
27265179	11	22	grazing cow	T038	UMLS:C3178952
27265179	23	27	diet	T168	UMLS:C0012155
27265179	31	49	volatile compounds	T103	UMLS:C0443769
27265179	120	143	ripened Montasio cheese	T168	UMLS:C0007968
27265179	160	165	study	T062	UMLS:C2603343
27265179	173	181	evaluate	T058	UMLS:C0220825
27265179	197	204	pasture	T082	UMLS:C0442534
27265179	214	217	cow	T204	UMLS:C0007452
27265179	226	241	supplementation	T168	UMLS:C0242295
27265179	262	278	ripened Montasio	T168	UMLS:C0007968
27265179	279	310	protected designation of origin	T170	UMLS:C1519193
27265179	312	315	PDO	T170	UMLS:C1519193
27265179	317	323	cheese	T168	UMLS:C0007968
27265179	360	363	PDO	T170	UMLS:C1519193
27265179	364	371	cheeses	T168	UMLS:C0007968
27265179	384	399	northeast Italy	T082	UMLS:C0022277
27265179	401	408	Cheeses	T168	UMLS:C0007968
27265179	432	450	volatile compounds	T103	UMLS:C0443769
27265179	493	504	descriptors	T170	UMLS:C0282354
27265179	506	513	Pasture	T082	UMLS:C0442534
27265179	653	660	Cheeses	T168	UMLS:C0007968
27265179	670	677	pasture	T082	UMLS:C0442534
27265179	697	710	nutrient-rich	T168	UMLS:C0678695
27265179	711	721	vegetation	T168	UMLS:C0032099
27265179	742	749	protein	T103	UMLS:C0033684
27265179	763	766	fat	T103	UMLS:C0012171
27265179	794	801	cheeses	T168	UMLS:C0007968
27265179	803	812	evaluated	T058	UMLS:C0220825
27265179	818	831	sensory panel	T097	UMLS:C0027363
27265179	954	962	analyses	T062	UMLS:C0936012
27265179	964	979	Supplementation	T168	UMLS:C0242295
27265179	1034	1052	volatile compounds	T103	UMLS:C0443769
27265179	1112	1120	analysis	T062	UMLS:C0936012
27265179	1157	1180	ripened Montasio cheese	T168	UMLS:C0007968
27265179	1245	1248	PDO	T170	UMLS:C1519193
