27273231|t|Experimental study in pulmonary artery sealing with a vessel-sealing device
27273231|a|The development of vessel-sealing devices will facilitate safety in video-assisted thoracoscopic surgery. Our objective was to evaluate the feasibility and safety of sealing pulmonary arteries with the Enseal tissue-sealing device. Pulmonary arteries from beagle dogs (mean body weight 13.1 kg, range 10.5-15.4 kg) were divided into 3 groups according to the in-vivo sealing method used (Enseal, ligation, and proximal ligation plus distal Enseal) and extracted to evaluate the pressure tolerance up to 75 mm Hg at the sealed end. A left lower lobectomy was performed to evaluate chronic-phase durability of the sealed stumps in a survival model. Two or three branches of the pulmonary arteries in each dog were allocated to each of the 3 groups. After the scheduled survival period, the pulmonary arteries were sampled. Pressure tolerance at the sealed end was evaluated in 91 pulmonary artery sections. All sealed ends showed pressure tolerance >75 mm Hg. A left lower lobectomy was performed in 13 dogs in which 35 pulmonary artery sections had been allocated into the 3 groups. No sealing failure was found, and pathological findings showed healing and persistent hemostasis at all sealed ends of the pulmonary arteries after 2 and 4 weeks of the survival period. Pulmonary arteries sealed in vivo with the Enseal device showed pressure tolerance >75 mm Hg in the acute phase, and persistent hemostasis after 2 or 4 weeks. Pulmonary artery sealing with the Enseal device is feasible and safe in thoracic surgery settings.
27273231	0	18	Experimental study	T062	UMLS:C0681814
27273231	22	38	pulmonary artery	T017	UMLS:C0034052
27273231	39	46	sealing	T058	UMLS:C1963784
27273231	54	75	vessel-sealing device	T074	UMLS:C0025080
27273231	95	117	vessel-sealing devices	T074	UMLS:C0025080
27273231	144	180	video-assisted thoracoscopic surgery	T058	UMLS:C0752151
27273231	242	249	sealing	T058	UMLS:C1963784
27273231	250	268	pulmonary arteries	T017	UMLS:C0034052
27273231	278	306	Enseal tissue-sealing device	T074	UMLS:C0025080
27273231	308	326	Pulmonary arteries	T017	UMLS:C0034052
27273231	332	343	beagle dogs	T204	UMLS:C1296765
27273231	435	442	in-vivo	T082	UMLS:C1515655
27273231	443	457	sealing method	T170	UMLS:C0449371
27273231	464	470	Enseal	T074	UMLS:C0025080
27273231	472	480	ligation	T058	UMLS:C0189722
27273231	486	494	proximal	T082	UMLS:C0205107
27273231	495	503	ligation	T058	UMLS:C0189722
27273231	509	515	distal	T082	UMLS:C0205108
27273231	516	522	Enseal	T074	UMLS:C0025080
27273231	602	605	end	T082	UMLS:C0444930
27273231	620	629	lobectomy	T058	UMLS:C0023928
27273231	688	701	sealed stumps	T074	UMLS:C0025080
27273231	707	721	survival model	T204	UMLS:C0599779
27273231	752	770	pulmonary arteries	T017	UMLS:C0034052
27273231	779	782	dog	T204	UMLS:C0012984
27273231	864	882	pulmonary arteries	T017	UMLS:C0034052
27273231	930	933	end	T082	UMLS:C0444930
27273231	954	970	pulmonary artery	T017	UMLS:C0034052
27273231	992	996	ends	T082	UMLS:C0444930
27273231	1047	1056	lobectomy	T058	UMLS:C0023928
27273231	1077	1081	dogs	T204	UMLS:C0012984
27273231	1094	1110	pulmonary artery	T017	UMLS:C0034052
27273231	1158	1160	No	T033	UMLS:C1513916
27273231	1161	1168	sealing	T058	UMLS:C1963784
27273231	1205	1213	findings	T033	UMLS:C0243095
27273231	1221	1228	healing	T038	UMLS:C0043240
27273231	1244	1254	hemostasis	T038	UMLS:C0019116
27273231	1269	1273	ends	T082	UMLS:C0444930
27273231	1281	1299	pulmonary arteries	T017	UMLS:C0034052
27273231	1344	1362	Pulmonary arteries	T017	UMLS:C0034052
27273231	1370	1377	in vivo	T082	UMLS:C1515655
27273231	1387	1400	Enseal device	T074	UMLS:C0025080
27273231	1472	1482	hemostasis	T038	UMLS:C0019116
27273231	1503	1519	Pulmonary artery	T017	UMLS:C0034052
27273231	1520	1527	sealing	T058	UMLS:C1963784
27273231	1537	1550	Enseal device	T074	UMLS:C0025080
27273231	1575	1591	thoracic surgery	T058	UMLS:C0524832
