27279849|t|Clinical evaluation of the AutoPulse automated chest compression device for out-of-hospital cardiac arrest in the northern district of Shanghai, China
27279849|a|Whether the AutoPulse automated chest compression device is worthy of clinical use for out-of-hospital cardiac arrest (OHCA) remains controversial. A prospective controlled study was conducted to evaluate the effect of AutoPulse versus manual chest compression for cardiopulmonary resuscitation (CPR) of OHCA patients in the northern district of Shanghai, China. A total of 133 patients with OHCA who were treated at the Emergency Medical Center of the Tenth People's Hospital Affiliated with Tongji University between March 2011 and March 2012 were included. The patients were randomly assigned to the Manual CPR (n = 64) and AutoPulse CPR groups (n = 69) in accordance with the approach of chest compression received. The primary outcome measure was return of spontaneous circulation (ROSC), and the secondary outcome measures included 24-h survival rate, hospital discharge rate, and neurological prognosis at hospital discharge. The ROSC rate of patients with OHCA was significantly higher in the AutoPulse CPR group than in the Manual CPR group (44.9% vs. 23.4%; p = 0.009). The 24-h survival rate of OHCA patients was significantly higher in the AutoPulse CPR group than in the Manual CPR group (39.1% vs. 21.9%; p = 0.03). The hospital discharge rate of the patients with OHCA was significantly higher in the AutoPulse CPR group than in the Manual CPR group (18.8% vs. 6.3%; p = 0.03). The proportion of patients with OHCA and a cerebral performance category score of 1 or 2 points at hospital discharge was higher in the AutoPulse CPR group than in the Manual CPR group, but the difference was not statistically significant (16.2% vs. 13.4%, p = 1.00). Use of the AutoPulse increases CPR success and survival rates in patients with OHCA, but its ability to improve cerebral performance requires further evaluation.
27279849	0	19	Clinical evaluation	T058	UMLS:C4084924
27279849	27	36	AutoPulse	T074	UMLS:C0183001
27279849	37	71	automated chest compression device	T074	UMLS:C0183001
27279849	76	106	out-of-hospital cardiac arrest	T038	UMLS:C2936490
27279849	114	122	northern	T082	UMLS:C1709269
27279849	135	143	Shanghai	T082	UMLS:C0017446
27279849	145	150	China	T082	UMLS:C0008115
27279849	163	172	AutoPulse	T074	UMLS:C0183001
27279849	173	207	automated chest compression device	T074	UMLS:C0183001
27279849	238	268	out-of-hospital cardiac arrest	T038	UMLS:C2936490
27279849	270	274	OHCA	T038	UMLS:C2936490
27279849	301	329	prospective controlled study	T062	UMLS:C0033522
27279849	347	355	evaluate	T058	UMLS:C0220825
27279849	370	379	AutoPulse	T074	UMLS:C0183001
27279849	394	399	chest	T082	UMLS:C0817096
27279849	400	411	compression	T058	UMLS:C0565514
27279849	416	445	cardiopulmonary resuscitation	T058	UMLS:C0007203
27279849	447	450	CPR	T058	UMLS:C0007203
27279849	455	459	OHCA	T038	UMLS:C2936490
27279849	476	484	northern	T082	UMLS:C1709269
27279849	497	505	Shanghai	T082	UMLS:C0017446
27279849	507	512	China	T082	UMLS:C0008115
27279849	543	547	OHCA	T038	UMLS:C2936490
27279849	572	627	Emergency Medical Center of the Tenth People's Hospital	T092	UMLS:C0019994
27279849	644	661	Tongji University	T092	UMLS:C0020028
27279849	761	764	CPR	T058	UMLS:C0007203
27279849	778	787	AutoPulse	T074	UMLS:C0183001
27279849	788	791	CPR	T058	UMLS:C0007203
27279849	843	848	chest	T082	UMLS:C0817096
27279849	849	860	compression	T058	UMLS:C0565514
27279849	1051	1060	prognosis	T058	UMLS:C0033325
27279849	1064	1082	hospital discharge	T058	UMLS:C0586003
27279849	1115	1119	OHCA	T038	UMLS:C2936490
27279849	1152	1161	AutoPulse	T074	UMLS:C0183001
27279849	1162	1165	CPR	T058	UMLS:C0007203
27279849	1191	1194	CPR	T058	UMLS:C0007203
27279849	1257	1261	OHCA	T038	UMLS:C2936490
27279849	1303	1312	AutoPulse	T074	UMLS:C0183001
27279849	1313	1316	CPR	T058	UMLS:C0007203
27279849	1342	1345	CPR	T058	UMLS:C0007203
27279849	1430	1434	OHCA	T038	UMLS:C2936490
27279849	1467	1476	AutoPulse	T074	UMLS:C0183001
27279849	1477	1480	CPR	T058	UMLS:C0007203
27279849	1506	1509	CPR	T058	UMLS:C0007203
27279849	1576	1580	OHCA	T038	UMLS:C2936490
27279849	1643	1661	hospital discharge	T058	UMLS:C0586003
27279849	1680	1689	AutoPulse	T074	UMLS:C0183001
27279849	1690	1693	CPR	T058	UMLS:C0007203
27279849	1719	1722	CPR	T058	UMLS:C0007203
27279849	1823	1832	AutoPulse	T074	UMLS:C0183001
27279849	1843	1846	CPR	T058	UMLS:C0007203
27279849	1891	1895	OHCA	T038	UMLS:C2936490
27279849	1916	1923	improve	T033	UMLS:C0184511
27279849	1924	1932	cerebral	T017	UMLS:C0006104
27279849	1962	1972	evaluation	T058	UMLS:C0220825
