27300443|t|Synthesis and Photophysical Properties of Fluorescence Molecular Probe for Turn-ON-Type Detection of Cytosine Bulge DNA
27300443|a|A fluorescent molecule DANP that binds to cytosine bulge DNA and emits characteristic fluorescence was conjugated to pyrene to give a new fluorescence probe PyDANP. Temperature - and solvent -dependent absorption changes showed that DANP and pyrene chromophores stacked at room temperature in an aqueous buffer solution and quenched fluorescence. Upon binding of DANP moiety in PyDANP to cytosine bulge DNA, the fluorescence from DANP bound to C-bulge increased by ∼12-fold, showing that PyDANP is a turn-ON probe for the detection of C-bulge DNA.
27300443	14	38	Photophysical Properties	T201	UMLS:C1998468
27300443	55	70	Molecular Probe	T103	UMLS:C0026381
27300443	75	97	Turn-ON-Type Detection	T058	UMLS:C0026380
27300443	101	115	Cytosine Bulge	T103	UMLS:C0010843
27300443	116	119	DNA	T103	UMLS:C0012854
27300443	122	147	fluorescent molecule DANP	T103	UMLS:C2001813
27300443	162	176	cytosine bulge	T103	UMLS:C0010843
27300443	177	180	DNA	T103	UMLS:C0012854
27300443	223	233	conjugated	T082	UMLS:C0522529
27300443	237	243	pyrene	T103	UMLS:C0072667
27300443	258	283	fluorescence probe PyDANP	T103	UMLS:C0016321
27300443	303	310	solvent	T103	UMLS:C0037638
27300443	353	357	DANP	T103	UMLS:C2001813
27300443	382	389	stacked	T082	UMLS:C3272897
27300443	393	409	room temperature	T033	UMLS:C1822393
27300443	444	465	quenched fluorescence	T058	UMLS:C0026380
27300443	483	487	DANP	T103	UMLS:C2001813
27300443	498	504	PyDANP	T103	UMLS:C0016321
27300443	508	522	cytosine bulge	T103	UMLS:C0010843
27300443	523	526	DNA	T103	UMLS:C0012854
27300443	550	554	DANP	T103	UMLS:C2001813
27300443	564	571	C-bulge	T103	UMLS:C0010843
27300443	608	614	PyDANP	T103	UMLS:C0016321
27300443	620	651	turn-ON probe for the detection	T058	UMLS:C0026380
27300443	655	662	C-bulge	T103	UMLS:C0010843
27300443	663	667	DNA.	T103	UMLS:C0012854
