27303808|t|Ownership and Agency of an Independent Supernumerary Hand Induced by an Imitation Brain-Computer Interface
27303808|a|To study body ownership and control, illusions that elicit these feelings in non-body objects are widely used. Classically introduced with the Rubber Hand Illusion, these illusions have been replicated more recently in virtual reality and by using brain-computer interfaces. Traditionally these illusions investigate the replacement of a body part by an artificial counterpart, however as brain-computer interface research develops it offers us the possibility to explore the case where non-body objects are controlled in addition to movements of our own limbs. Therefore we propose a new illusion designed to test the feeling of ownership and control of an independent supernumerary hand. Subjects are under the impression they control a virtual reality hand via a brain-computer interface, but in reality there is no causal connection between brain activity and virtual hand movement but correct movements are observed with 80% probability. These imitation brain-computer interface trials are interspersed with movements in both the subjects ' real hands, which are in view throughout the experiment. We show that subjects develop strong feelings of ownership and control over the third hand, despite only receiving visual feedback with no causal link to the actual brain signals. Our illusion is crucially different from previously reported studies as we demonstrate independent ownership and control of the third hand without loss of ownership in the real hands.
27303808	14	20	Agency	T092	UMLS:C0237463
27303808	27	38	Independent	T033	UMLS:C1299583
27303808	72	106	Imitation Brain-Computer Interface	T074	UMLS:C3494288
27303808	116	120	body	T017	UMLS:C1268086
27303808	144	153	illusions	T038	UMLS:C0020903
27303808	172	180	feelings	T038	UMLS:C1527305
27303808	250	270	Rubber Hand Illusion	T038	UMLS:C0020903
27303808	278	287	illusions	T038	UMLS:C0020903
27303808	355	380	brain-computer interfaces	T074	UMLS:C3494288
27303808	402	411	illusions	T038	UMLS:C0020903
27303808	445	454	body part	T017	UMLS:C0229962
27303808	461	483	artificial counterpart	T074	UMLS:C0336559
27303808	496	520	brain-computer interface	T074	UMLS:C3494288
27303808	521	529	research	T062	UMLS:C0035168
27303808	696	704	illusion	T038	UMLS:C0020903
27303808	726	733	feeling	T038	UMLS:C1527305
27303808	797	805	Subjects	T098	UMLS:C2349001
27303808	873	897	brain-computer interface	T074	UMLS:C3494288
27303808	952	966	brain activity	T038	UMLS:C0443158
27303808	1005	1014	movements	T038	UMLS:C0026649
27303808	1056	1090	imitation brain-computer interface	T074	UMLS:C3494288
27303808	1120	1129	movements	T038	UMLS:C0026649
27303808	1142	1150	subjects	T098	UMLS:C2349001
27303808	1153	1163	real hands	T017	UMLS:C0018563
27303808	1198	1208	experiment	T062	UMLS:C0681814
27303808	1223	1231	subjects	T098	UMLS:C2349001
27303808	1240	1255	strong feelings	T038	UMLS:C1527305
27303808	1325	1340	visual feedback	T038	UMLS:C2936181
27303808	1375	1380	brain	T017	UMLS:C0006104
27303808	1394	1402	illusion	T038	UMLS:C0020903
27303808	1477	1488	independent	T033	UMLS:C1299583
27303808	1562	1572	real hands	T017	UMLS:C0018563
