27333594|t|Proteomic analysis of docetaxel resistance in human nasopharyngeal carcinoma cells using the two-dimensional gel electrophoresis method
27333594|a|Docetaxel -based chemotherapy has been recommended for advanced nasopharyngeal carcinoma (NPC). However, treatment failure often occurs because of acquired drug resistance. In this study, a docetaxel - resistant NPC cell line CNE-2R was established with increasing doses of docetaxel for more than 6 months. Two-dimensional gel electrophoresis and ESI-Q-TOF-MS were used to compare the differential expression of docetaxel - resistance - associated proteins between human NPC CNE-2 cells and docetaxel - resistant CNE-2R cells. As a result, 24 differentially expressed proteins were identified, including 11 proteins with increased expression and 13 proteins with decreased expression. These proteins function in diverse biological processes such as metabolism, signal transduction, calcium ion binding, immune response, proteolysis, and so on. Among these, α-enolase (ENO1), significantly upregulated in CNE-2R, was selected for detailed analysis. Inhibition of ENO1 by shRNA restored CNE-2R cells ' sensitivity to docetaxel. Moreover, overexpression of ENO1 could facilitate the development of acquired resistance of docetaxel in CNE-2 cells. Western blot and reverse-transcription PCR data of clinical samples confirmed that α-enolase was upregulated in docetaxel - resistant human NPC tissues. Finding such proteins might improve interpretation of the molecular mechanisms leading to the acquisition of docetaxel chemoresistance.
27333594	0	9	Proteomic	T091	UMLS:C0872252
27333594	10	18	analysis	T062	UMLS:C0936012
27333594	22	31	docetaxel	T103	UMLS:C0246415
27333594	32	42	resistance	T038	UMLS:C0013203
27333594	46	51	human	T204	UMLS:C0086418
27333594	52	76	nasopharyngeal carcinoma	T038	UMLS:C2931822
27333594	77	82	cells	T017	UMLS:C0597032
27333594	93	135	two-dimensional gel electrophoresis method	T058	UMLS:C0013860
27333594	136	145	Docetaxel	T103	UMLS:C0246415
27333594	153	165	chemotherapy	T058	UMLS:C3665472
27333594	200	224	nasopharyngeal carcinoma	T038	UMLS:C2931822
27333594	226	229	NPC	T038	UMLS:C2931822
27333594	241	258	treatment failure	T033	UMLS:C0162643
27333594	292	307	drug resistance	T038	UMLS:C0013203
27333594	317	322	study	T062	UMLS:C0681814
27333594	326	335	docetaxel	T103	UMLS:C0246415
27333594	338	347	resistant	T038	UMLS:C0013203
27333594	348	351	NPC	T038	UMLS:C2931822
27333594	352	368	cell line CNE-2R	T017	UMLS:C0085983
27333594	410	419	docetaxel	T103	UMLS:C0246415
27333594	444	479	Two-dimensional gel electrophoresis	T058	UMLS:C0013860
27333594	535	545	expression	T038	UMLS:C1171362
27333594	549	558	docetaxel	T103	UMLS:C0246415
27333594	561	571	resistance	T038	UMLS:C0013203
27333594	574	593	associated proteins	T103	UMLS:C0033684
27333594	602	607	human	T204	UMLS:C0086418
27333594	608	611	NPC	T038	UMLS:C2931822
27333594	612	623	CNE-2 cells	T017	UMLS:C0007634
27333594	628	637	docetaxel	T103	UMLS:C0246415
27333594	640	649	resistant	T038	UMLS:C0013203
27333594	650	662	CNE-2R cells	T017	UMLS:C0007634
27333594	669	675	result	T033	UMLS:C2825142
27333594	695	713	expressed proteins	T038	UMLS:C1171362
27333594	744	752	proteins	T103	UMLS:C0033684
27333594	768	778	expression	T038	UMLS:C1171362
27333594	786	794	proteins	T103	UMLS:C0033684
27333594	810	820	expression	T038	UMLS:C1171362
27333594	828	845	proteins function	T038	UMLS:C1527118
27333594	857	877	biological processes	T038	UMLS:C3714634
27333594	898	917	signal transduction	T038	UMLS:C0037083
27333594	919	938	calcium ion binding	T038	UMLS:C1148580
27333594	940	955	immune response	T038	UMLS:C0301872
27333594	957	968	proteolysis	T038	UMLS:C0597304
27333594	994	1003	α-enolase	T103	UMLS:C2364020
27333594	1005	1009	ENO1	T103	UMLS:C2364020
27333594	1041	1047	CNE-2R	T017	UMLS:C0007634
27333594	1075	1083	analysis	T062	UMLS:C0936012
27333594	1099	1103	ENO1	T103	UMLS:C2364020
27333594	1107	1112	shRNA	T103	UMLS:C2930586
27333594	1122	1134	CNE-2R cells	T017	UMLS:C0007634
27333594	1152	1161	docetaxel	T103	UMLS:C0246415
27333594	1173	1187	overexpression	T038	UMLS:C1514559
27333594	1191	1195	ENO1	T103	UMLS:C2364020
27333594	1241	1251	resistance	T038	UMLS:C0013203
27333594	1255	1264	docetaxel	T103	UMLS:C0246415
27333594	1268	1279	CNE-2 cells	T017	UMLS:C0007634
27333594	1281	1293	Western blot	T058	UMLS:C0005863
27333594	1298	1323	reverse-transcription PCR	T062	UMLS:C0599161
27333594	1364	1373	α-enolase	T103	UMLS:C2364020
27333594	1393	1402	docetaxel	T103	UMLS:C0246415
27333594	1405	1414	resistant	T038	UMLS:C0013203
27333594	1415	1420	human	T204	UMLS:C0086418
27333594	1421	1424	NPC	T038	UMLS:C2931822
27333594	1425	1432	tissues	T017	UMLS:C0040300
27333594	1434	1441	Finding	T033	UMLS:C0243095
27333594	1447	1455	proteins	T103	UMLS:C0033684
27333594	1462	1469	improve	T033	UMLS:C0184511
27333594	1470	1484	interpretation	T170	UMLS:C0459471
27333594	1492	1512	molecular mechanisms	T038	UMLS:C3537153
27333594	1543	1552	docetaxel	T103	UMLS:C0246415
27333594	1553	1568	chemoresistance	T038	UMLS:C0013203
