27341373|t|Nest - site competition between invasive and native cavity nesting birds and its implication for conservation
27341373|a|Nesting cavities are often a limited resource that multiple species use. There is an ongoing discussion on whether invasive cavity nesting birds restrict the availability of this key limited resource. While the answer to this question has important conservation implications, little experimental work has been done to examine it. Here, we aimed to experimentally test whether alien cavity nesting birds affect the occupancy of cavities and the resulting breeding success of native cavity breeders in a large urban park located in Tel Aviv, Israel. Over three breeding seasons, we manipulated the entry size of nest boxes and compared the occupancy and breeding success of birds in nest boxes of two treatments. These included nest boxes with large - entrance and small - entrance holes. The large - entrance holes allowed access for both the native and invasive birds (the two main aliens in the park are the common mynas and rose-ringed parakeets). The smaller - entrance boxes, on the other hand, allowed only the smaller sized native cavity breeders (great tits and house sparrows) to enter the boxes but prevented the alien species from entering. We found that the large - entrance nest boxes were occupied by five different bird species, comprising three natives (great tit, house sparrow, Scops owl) and two invasive species (common myna, rose-ringed parakeet) while the small - entrance boxes were only occupied by the two native species. The alien common mynas and rose-ringed parakeets occupied 77.5% of the large - entrance nest boxes whereas native species, mainly great tits, occupied less than 9% of the large - entrance boxes and 36.5% of the small - entrance boxes. When examining the occupancy of those cavities that were not occupied by the aliens, natives occupied both the small and large - entrance nest boxes equally. Three quarters (78%) of the great tits breeding in the large - entrance boxes were usurped by common mynas during the breeding season and as a result breeding success was significantly lower for great tits breeding in the large - entrance boxes compared with the small - entrance boxes. The results of this study suggests that the invasive alien species can reduce the breeding potential of native cavity breeders both by exploiting the limited breeding resource (nest cavities) and by directly usurping cavities already occupied by the native species. Since the majority of large - entrance nest boxes were occupied by the large r alien birds, less native species bred in the limited number of unoccupied large - entrance nest boxes because of exploitation competition. We propose that for management purposes, nest-box programs that alter the entrance size of available natural cavities may be a practical approach, reducing the competition between native cavity breeders and alien invasive birds, and especially benefiting the smaller native cavity breeders.
27341373	7	11	site	T082	UMLS:C0205145
27341373	67	72	birds	T204	UMLS:C0005595
27341373	170	177	species	T170	UMLS:C1705920
27341373	249	254	birds	T204	UMLS:C0005595
27341373	393	410	experimental work	T062	UMLS:C0681814
27341373	428	435	examine	T033	UMLS:C0332128
27341373	486	491	alien	T098	UMLS:C0002049
27341373	507	512	birds	T204	UMLS:C0005595
27341373	564	572	breeding	T038	UMLS:C0006159
27341373	598	606	breeders	T204	UMLS:C0005595
27341373	618	623	urban	T082	UMLS:C0442529
27341373	650	656	Israel	T082	UMLS:C0022271
27341373	669	677	breeding	T038	UMLS:C0006159
27341373	706	711	entry	T082	UMLS:C0337095
27341373	712	716	size	T082	UMLS:C0456389
27341373	762	770	breeding	T038	UMLS:C0006159
27341373	782	787	birds	T204	UMLS:C0005595
27341373	860	868	entrance	T082	UMLS:C0337095
27341373	881	889	entrance	T082	UMLS:C0337095
27341373	890	895	holes	T082	UMLS:C0332484
27341373	909	917	entrance	T082	UMLS:C0337095
27341373	918	923	holes	T082	UMLS:C0332484
27341373	972	977	birds	T204	UMLS:C0005595
27341373	992	998	aliens	T098	UMLS:C0002049
27341373	1019	1031	common mynas	T204	UMLS:C1479699
27341373	1036	1057	rose-ringed parakeets	T204	UMLS:C0999383
27341373	1074	1082	entrance	T082	UMLS:C0337095
27341373	1134	1139	sized	T082	UMLS:C0456389
27341373	1154	1162	breeders	T204	UMLS:C0005595
27341373	1164	1174	great tits	T204	UMLS:C1081183
27341373	1179	1193	house sparrows	T204	UMLS:C0326825
27341373	1232	1245	alien species	T170	UMLS:C1705920
27341373	1287	1295	entrance	T082	UMLS:C0337095
27341373	1339	1351	bird species	T204	UMLS:C0005595
27341373	1379	1388	great tit	T204	UMLS:C1081183
27341373	1390	1403	house sparrow	T204	UMLS:C0326825
27341373	1405	1414	Scops owl	T204	UMLS:C1019337
27341373	1433	1440	species	T170	UMLS:C1705920
27341373	1442	1453	common myna	T204	UMLS:C1479699
27341373	1455	1475	rose-ringed parakeet	T204	UMLS:C0999383
27341373	1495	1503	entrance	T082	UMLS:C0337095
27341373	1547	1554	species	T170	UMLS:C1705920
27341373	1560	1565	alien	T098	UMLS:C0002049
27341373	1566	1578	common mynas	T204	UMLS:C1479699
27341373	1583	1604	rose-ringed parakeets	T204	UMLS:C0999383
27341373	1635	1643	entrance	T082	UMLS:C0337095
27341373	1670	1677	species	T204	UMLS:C0005595
27341373	1686	1696	great tits	T204	UMLS:C1081183
27341373	1735	1743	entrance	T082	UMLS:C0337095
27341373	1775	1783	entrance	T082	UMLS:C0337095
27341373	1796	1805	examining	T033	UMLS:C0332128
27341373	1868	1874	aliens	T098	UMLS:C0002049
27341373	1920	1928	entrance	T082	UMLS:C0337095
27341373	1977	1987	great tits	T204	UMLS:C1081183
27341373	1988	1996	breeding	T038	UMLS:C0006159
27341373	2012	2020	entrance	T082	UMLS:C0337095
27341373	2043	2055	common mynas	T204	UMLS:C1479699
27341373	2067	2075	breeding	T038	UMLS:C0006159
27341373	2099	2107	breeding	T038	UMLS:C0006159
27341373	2144	2154	great tits	T204	UMLS:C1081183
27341373	2155	2163	breeding	T038	UMLS:C0006159
27341373	2179	2187	entrance	T082	UMLS:C0337095
27341373	2220	2228	entrance	T082	UMLS:C0337095
27341373	2289	2302	alien species	T170	UMLS:C1705920
27341373	2318	2326	breeding	T038	UMLS:C0006159
27341373	2354	2362	breeders	T204	UMLS:C0005595
27341373	2394	2402	breeding	T038	UMLS:C0006159
27341373	2493	2500	species	T170	UMLS:C1705920
27341373	2532	2540	entrance	T082	UMLS:C0337095
27341373	2581	2592	alien birds	T204	UMLS:C0005595
27341373	2606	2613	species	T204	UMLS:C0005595
27341373	2614	2618	bred	T038	UMLS:C0006159
27341373	2663	2671	entrance	T082	UMLS:C0337095
27341373	2794	2802	entrance	T082	UMLS:C0337095
27341373	2803	2807	size	T082	UMLS:C0456389
27341373	2914	2922	breeders	T204	UMLS:C0005595
27341373	2927	2947	alien invasive birds	T204	UMLS:C0005595
27341373	3001	3009	breeders	T204	UMLS:C0005595
