27355356|t|Chemosensitivity, Cardiovascular Risk, and the Ventilatory Response to Exercise in COPD
27355356|a|COPD is associated with elevated cardiovascular risk and a potentiated ventilatory response to exercise. Enhanced carotid chemoreceptor (CC) activity / sensitivity is present in other clinical conditions, has been shown to contribute to sympathetic vasoconstrictor outflow, and is predictive of mortality. CC activity / sensitivity, and the resulting functional significance, has not been well examined in COPD. We hypothesized that CC activity / sensitivity would be elevated in COPD, and related to increased pulse wave velocity (a marker of CV risk) and the ventilatory response to exercise. 30 COPD patients and 10 healthy age-matched controls were examined. Participants performed baseline cardiopulmonary exercise and pulmonary function testing. CC activity was later evaluated by the drop in ventilation with breathing 100% O2, and CC sensitivity was then assessed by the ventilatory response to hypoxia (ΔVE/ΔS pO2). Peripheral arterial stiffness was subsequently evaluated by measurement of pulse wave velocity (PWV) using applanation tonometry while the subjects were breathing room air, and then following chemoreceptor inhibition by breathing 100% O2 for 2 minutes. CC activity, CC sensitivity, PWV and the ventilatory response to exercise were all increased in COPD relative to controls. CC sensitivity was related to PWV; however, neither CC activity nor CC sensitivity was related to the ventilatory response to exercise in COPD. CC inhibition by breathing 100% O2 normalized PWV in COPD, while no effect was observed in controls. CC activity and sensitivity are elevated in COPD, and appear related to cardiovascular risk; however, CC activity / sensitivity does not contribute to the potentiated ventilatory response to exercise.
27355356	0	16	Chemosensitivity	T033	UMLS:C2347610
27355356	47	67	Ventilatory Response	T201	UMLS:C1321070
27355356	83	87	COPD	T038	UMLS:C0024117
27355356	88	92	COPD	T038	UMLS:C0024117
27355356	159	179	ventilatory response	T201	UMLS:C1321070
27355356	210	223	chemoreceptor	T017	UMLS:C0008010
27355356	225	227	CC	T017	UMLS:C0008010
27355356	229	237	activity	T038	UMLS:C0234208
27355356	240	251	sensitivity	T038	UMLS:C0234208
27355356	240	251	sensitivity	T038	UMLS:C0234208
27355356	325	336	sympathetic	T022	UMLS:C0039044
27355356	337	360	vasoconstrictor outflow	T038	UMLS:C1456863
27355356	383	392	mortality	T033	UMLS:C1306577
27355356	394	396	CC	T017	UMLS:C0008010
27355356	397	405	activity	T038	UMLS:C0234208
27355356	408	419	sensitivity	T038	UMLS:C0234208
27355356	494	498	COPD	T038	UMLS:C0024117
27355356	521	523	CC	T017	UMLS:C0008010
27355356	524	532	activity	T038	UMLS:C0234208
27355356	535	546	sensitivity	T038	UMLS:C0234208
27355356	568	572	COPD	T038	UMLS:C0024117
27355356	622	628	marker	T201	UMLS:C0005516
27355356	649	669	ventilatory response	T201	UMLS:C1321070
27355356	686	690	COPD	T038	UMLS:C0024117
27355356	741	749	examined	T033	UMLS:C0332128
27355356	751	763	Participants	T098	UMLS:C0679646
27355356	783	807	cardiopulmonary exercise	T058	UMLS:C2959886
27355356	812	838	pulmonary function testing	T058	UMLS:C0024119
27355356	840	842	CC	T017	UMLS:C0008010
27355356	843	851	activity	T038	UMLS:C0234208
27355356	862	871	evaluated	T058	UMLS:C0220825
27355356	879	886	drop in	T033	UMLS:C0085639
27355356	887	898	ventilation	T038	UMLS:C0035203
27355356	904	913	breathing	T038	UMLS:C0035203
27355356	919	921	O2	T103	UMLS:C0030054
27355356	927	929	CC	T017	UMLS:C0008010
27355356	930	941	sensitivity	T038	UMLS:C0234208
27355356	967	998	ventilatory response to hypoxia	T058	UMLS:C0199505
27355356	1007	1010	pO2	T058	UMLS:C1283004
27355356	1013	1023	Peripheral	T082	UMLS:C0205100
27355356	1024	1042	arterial stiffness	T038	UMLS:C0599949
27355356	1060	1069	evaluated	T058	UMLS:C0220825
27355356	1120	1141	applanation tonometry	T058	UMLS:C0430862
27355356	1166	1175	breathing	T038	UMLS:C0035203
27355356	1205	1218	chemoreceptor	T017	UMLS:C0008010
27355356	1233	1242	breathing	T038	UMLS:C0035203
27355356	1248	1250	O2	T103	UMLS:C0030054
27355356	1266	1268	CC	T017	UMLS:C0008010
27355356	1269	1277	activity	T038	UMLS:C0234208
27355356	1279	1281	CC	T017	UMLS:C0008010
27355356	1282	1293	sensitivity	T038	UMLS:C0234208
27355356	1307	1327	ventilatory response	T201	UMLS:C1321070
27355356	1362	1366	COPD	T038	UMLS:C0024117
27355356	1389	1391	CC	T017	UMLS:C0008010
27355356	1392	1403	sensitivity	T038	UMLS:C0234208
27355356	1441	1443	CC	T017	UMLS:C0008010
27355356	1444	1452	activity	T038	UMLS:C0234208
27355356	1457	1459	CC	T017	UMLS:C0008010
27355356	1460	1471	sensitivity	T038	UMLS:C0234208
27355356	1491	1511	ventilatory response	T201	UMLS:C1321070
27355356	1527	1531	COPD	T038	UMLS:C0024117
27355356	1533	1535	CC	T017	UMLS:C0008010
27355356	1550	1559	breathing	T038	UMLS:C0035203
27355356	1565	1567	O2	T103	UMLS:C0030054
27355356	1586	1590	COPD	T038	UMLS:C0024117
27355356	1634	1636	CC	T017	UMLS:C0008010
27355356	1637	1645	activity	T038	UMLS:C0234208
27355356	1650	1661	sensitivity	T038	UMLS:C0234208
27355356	1678	1682	COPD	T038	UMLS:C0024117
27355356	1736	1738	CC	T017	UMLS:C0008010
27355356	1739	1747	activity	T038	UMLS:C0234208
27355356	1750	1761	sensitivity	T038	UMLS:C0234208
27355356	1801	1821	ventilatory response	T201	UMLS:C1321070
