27378028|t|Demonstration and validation of a new pressure -based MRI -safe pain tolerance device
27378028|a|One of the barriers to studying the behavioral and emotional effects of pain using functional Magnetic Resonance Imaging (fMRI) is the absence of a commercially available, MRI - compatible, pressure -based algometer to elicit pain. The present study sought to address this barrier through creation and validation of a novel MRI -safe apparatus capable of delivering incremental, measurable amounts of pressure inside a scanning bore. We introduced an MR-safe device used to administer pressure -based pain. To test against a commercially available, MRI - incompatible algometer (AlgoMed), 199 participants reported their pain tolerance for both devices. A second experiment tested the validity of pressure -based pain in an MRI environment by comparing brain activation with established neural networks for pain. 10 participants performed an identical procedure to test for pain tolerance while being scanned in a 7T MRI scanner. Results support the validity and reliability of our novel device. In Study 1, pain tolerance with this device was strongly correlated with pain tolerance as measured by a commercially available algometer (r=0.78). In Study 2, this device yielded BOLD activation within the insula (BA 13) and anterior cingulate gyrus (BA 24); as pressure increased, activation in these areas parametrically increased. These findings correspond to other studies using thermal, electrical, or mechanical pain applications. Behavioral and functional data demonstrate that this new device is a valid method of administering pressure -related pain in MRI environments. Our novel MRI -safe device is a valid instrument to measure and administer pressure -based pain.
27378028	18	28	validation	T062	UMLS:C1519941
27378028	54	57	MRI	T074	UMLS:C0336660
27378028	64	78	pain tolerance	T033	UMLS:C0162703
27378028	79	85	device	T074	UMLS:C0025080
27378028	137	146	emotional	T038	UMLS:C0013987
27378028	158	162	pain	T033	UMLS:C0030193
27378028	169	206	functional Magnetic Resonance Imaging	T058	UMLS:C0376335
27378028	208	212	fMRI	T058	UMLS:C0376335
27378028	258	261	MRI	T074	UMLS:C0336660
27378028	292	301	algometer	T074	UMLS:C0025080
27378028	312	316	pain	T033	UMLS:C0030193
27378028	410	413	MRI	T074	UMLS:C0336660
27378028	420	429	apparatus	T074	UMLS:C0025080
27378028	505	518	scanning bore	T074	UMLS:C0183115
27378028	545	551	device	T074	UMLS:C0025080
27378028	587	591	pain	T033	UMLS:C0030193
27378028	596	600	test	T058	UMLS:C0022885
27378028	635	638	MRI	T074	UMLS:C0336660
27378028	654	663	algometer	T074	UMLS:C0025080
27378028	665	672	AlgoMed	T074	UMLS:C0025080
27378028	707	721	pain tolerance	T033	UMLS:C0162703
27378028	760	766	tested	T058	UMLS:C0022885
27378028	799	803	pain	T033	UMLS:C0030193
27378028	810	813	MRI	T074	UMLS:C0336660
27378028	814	825	environment	T082	UMLS:C0014406
27378028	839	844	brain	T017	UMLS:C0006104
27378028	873	888	neural networks	T017	UMLS:C0242406
27378028	893	897	pain	T033	UMLS:C0030193
27378028	951	955	test	T058	UMLS:C0022885
27378028	960	964	pain	T033	UMLS:C0030193
27378028	987	994	scanned	T058	UMLS:C0441633
27378028	1003	1014	MRI scanner	T074	UMLS:C0336660
27378028	1074	1080	device	T074	UMLS:C0025080
27378028	1094	1108	pain tolerance	T033	UMLS:C0162703
27378028	1119	1125	device	T074	UMLS:C0025080
27378028	1155	1169	pain tolerance	T033	UMLS:C0162703
27378028	1210	1219	algometer	T074	UMLS:C0025080
27378028	1247	1253	device	T074	UMLS:C0025080
27378028	1262	1266	BOLD	T038	UMLS:C1655730
27378028	1289	1295	insula	T017	UMLS:C0021640
27378028	1297	1302	BA 13	T017	UMLS:C2326439
27378028	1308	1332	anterior cingulate gyrus	T017	UMLS:C0175190
27378028	1334	1339	BA 24	T082	UMLS:C2334367
27378028	1490	1500	mechanical	T058	UMLS:C0699886
27378028	1501	1518	pain applications	T033	UMLS:C0521491
27378028	1577	1583	device	T074	UMLS:C0025080
27378028	1605	1618	administering	T058	UMLS:C1533734
27378028	1637	1641	pain	T033	UMLS:C0030193
27378028	1645	1648	MRI	T074	UMLS:C0336660
27378028	1649	1661	environments	T082	UMLS:C0014406
27378028	1673	1676	MRI	T074	UMLS:C0336660
27378028	1683	1689	device	T074	UMLS:C0025080
27378028	1701	1711	instrument	T074	UMLS:C0348000
27378028	1754	1758	pain	T033	UMLS:C0030193
