27391754|t|Role of the Membrane for Mechanosensing by Tethered Channels
27391754|a|Biologically important membrane channels are gated by force at attached tethers. Here, we generically characterize the nontrivial interplay of force, membrane tension, and channel deformations that can affect gating. A central finding is that minute conical channel deformation under force leads to significant energy release during opening. We also calculate channel-channel interactions and show that they can amplify the force sensitivity of tethered channels.
27391754	12	20	Membrane	T017	UMLS:C0596901
27391754	25	39	Mechanosensing	T038	UMLS:C1138568
27391754	52	60	Channels	T103	UMLS:C0022009
27391754	84	101	membrane channels	T103	UMLS:C0022009
27391754	106	111	gated	T038	UMLS:C0022008
27391754	211	227	membrane tension	T038	UMLS:C0311434
27391754	233	240	channel	T103	UMLS:C0022009
27391754	241	253	deformations	T033	UMLS:C1704258
27391754	270	276	gating	T038	UMLS:C0022008
27391754	311	326	conical channel	T103	UMLS:C0022009
27391754	327	338	deformation	T033	UMLS:C1704258
27391754	372	386	energy release	T038	UMLS:C0014272
27391754	394	401	opening	T038	UMLS:C0022008
27391754	421	449	channel-channel interactions	T038	UMLS:C0872079
27391754	491	502	sensitivity	T038	UMLS:C1138568
27391754	515	523	channels	T103	UMLS:C0022009
