27403338|t|Evaluation of Choroidal Thickness in Patients with Pseudoexfoliation Syndrome and Pseudoexfoliation Glaucoma
27403338|a|Purpose. To compare the macular and peripapillary choroidal thickness in eyes with pseudoexfoliation (PEX) syndrome and PEX glaucoma with the normal eyes of healthy controls. Materials and Methods. In this prospective study, 30 eyes of 30 patients with PEX syndrome, 28 eyes of 28 patients with PEX glaucoma, and 30 eyes of 30 age -matched healthy subjects were enrolled. Choroidal thicknesses in the macular and peripapillary areas were measured by using spectral domain optical coherence tomography. Results. Gender, age, and axial length did not significantly differ between the groups (all, p > 0.05). The mean values of choroidal thickness in the macular and peripapillary areas (except the superior quadrant) in the patients with PEX syndrome and PEX glaucoma were lower compared with controls (all p < 0.05). The mean values of the macular and peripapillary choroidal thickness in the PEX glaucoma group were lower compared with PEX syndrome group; however this difference was not significant. Conclusions. The findings of this study revealed that macular and peripapillary choroidal thicknesses were decreased in PEX syndrome and PEX glaucoma cases. The role of choroid in the development of glaucomatous damage in patients with PEX syndrome remains unclear.
27403338	0	10	Evaluation	T058	UMLS:C0220825
27403338	14	23	Choroidal	T017	UMLS:C0008520
27403338	51	77	Pseudoexfoliation Syndrome	T038	UMLS:C0206368
27403338	82	108	Pseudoexfoliation Glaucoma	T038	UMLS:C0206368
27403338	145	158	peripapillary	T082	UMLS:C0442163
27403338	159	168	choroidal	T017	UMLS:C0008520
27403338	182	186	eyes	T017	UMLS:C0015392
27403338	192	224	pseudoexfoliation (PEX) syndrome	T038	UMLS:C0206368
27403338	229	241	PEX glaucoma	T038	UMLS:C0206368
27403338	258	262	eyes	T017	UMLS:C0015392
27403338	315	332	prospective study	T062	UMLS:C0033522
27403338	337	341	eyes	T017	UMLS:C0015392
27403338	362	374	PEX syndrome	T038	UMLS:C0206368
27403338	379	383	eyes	T017	UMLS:C0015392
27403338	404	416	PEX glaucoma	T038	UMLS:C0206368
27403338	425	429	eyes	T017	UMLS:C0015392
27403338	481	490	Choroidal	T017	UMLS:C0008520
27403338	522	535	peripapillary	T082	UMLS:C0442163
27403338	536	541	areas	T082	UMLS:C0205146
27403338	565	609	spectral domain optical coherence tomography	T074	UMLS:C3876157
27403338	654	671	not significantly	T033	UMLS:C1273937
27403338	734	743	choroidal	T017	UMLS:C0008520
27403338	773	786	peripapillary	T082	UMLS:C0442163
27403338	787	792	areas	T082	UMLS:C0205146
27403338	805	813	superior	T082	UMLS:C1282910
27403338	814	822	quadrant	T082	UMLS:C1631280
27403338	845	857	PEX syndrome	T038	UMLS:C0206368
27403338	862	874	PEX glaucoma	T038	UMLS:C0206368
27403338	960	973	peripapillary	T082	UMLS:C0442163
27403338	974	983	choroidal	T017	UMLS:C0008520
27403338	1001	1013	PEX glaucoma	T038	UMLS:C0206368
27403338	1045	1057	PEX syndrome	T038	UMLS:C0206368
27403338	1093	1108	not significant	T033	UMLS:C1273937
27403338	1127	1135	findings	T033	UMLS:C0243095
27403338	1144	1149	study	T062	UMLS:C2603343
27403338	1176	1189	peripapillary	T082	UMLS:C0442163
27403338	1190	1199	choroidal	T017	UMLS:C0008520
27403338	1230	1242	PEX syndrome	T038	UMLS:C0206368
27403338	1247	1259	PEX glaucoma	T038	UMLS:C0206368
27403338	1279	1286	choroid	T017	UMLS:C0008520
27403338	1309	1321	glaucomatous	T038	UMLS:C0017601
27403338	1346	1358	PEX syndrome	T038	UMLS:C0206368
