27445389|t|Complete Genome Sequence Analysis of a Naturally Reassorted Infectious Bursal Disease Virus from India
27445389|a|The novel infectious bursal disease virus (IBDV) isolate BGE14/ABT1/MVC/India is a very virulent IBDV that was isolated from broiler flocks in southern parts of India during 2014. Here, we report, for the first time in India, the complete genome sequence of BGE14/ABT1/MVC/India, a reassortment strain with segments A and B derived from a very virulent IBDV strain and an attenuated IBDV, respectively. The findings from this study provide additional insight into the genetic exchange between attenuated and very virulent strains of IBDV circulating in the field.
27445389	9	33	Genome Sequence Analysis	T058	UMLS:C3854164
27445389	60	91	Infectious Bursal Disease Virus	T005	UMLS:C0021338
27445389	97	102	India	T082	UMLS:C0021201
27445389	113	144	infectious bursal disease virus	T005	UMLS:C0021338
27445389	146	150	IBDV	T005	UMLS:C0021338
27445389	152	159	isolate	T103	UMLS:C3494870
27445389	160	180	BGE14/ABT1/MVC/India	T005	UMLS:C0021338
27445389	200	204	IBDV	T005	UMLS:C0021338
27445389	214	222	isolated	T103	UMLS:C3494870
27445389	228	242	broiler flocks	T204	UMLS:C0005595
27445389	264	269	India	T082	UMLS:C0021201
27445389	322	327	India	T082	UMLS:C0021201
27445389	342	357	genome sequence	T017	UMLS:C0017428
27445389	361	381	BGE14/ABT1/MVC/India	T005	UMLS:C0021338
27445389	410	426	segments A and B	T017	UMLS:C0017428
27445389	456	460	IBDV	T005	UMLS:C0021338
27445389	486	490	IBDV	T005	UMLS:C0021338
27445389	571	587	genetic exchange	T038	UMLS:C1749881
27445389	636	640	IBDV	T005	UMLS:C0021338
27445389	653	665	in the field	T082	UMLS:C3539073
