27445856|t|High-Intensity Intermittent Training Positively Affects Aerobic and Anaerobic Performance in Judo Athletes Independently of Exercise Mode
27445856|a|The present study investigated the effects of high-intensity intermittent training (HIIT) on lower - and upper-body graded exercise and high-intensity intermittent exercise (HIIE, four Wingate bouts) performance, and on physiological and muscle damage markers responses in judo athletes. Thirty-five subjects were randomly allocated to a control group (n = 8) or to one of the following HIIT groups (n = 9 for each) and tested pre- and post -four weeks (2 training d·wk(-1)): (1) lower-body cycle-ergometer; (2) upper-body cycle-ergometer; (3) uchi-komi (judo technique entrance). All HIIT were constituted by two blocks of 10 sets of 20 s of all out effort interspersed by 10 s set intervals and 5-min between blocks. For the upper-body group there was an increase in maximal aerobic power in graded upper-body exercise test (12.3%). The lower-body group increased power at onset blood lactate in graded upper-body exercise test (22.1%). The uchi-komi group increased peak power in upper - (16.7%) and lower-body (8.5%), while the lower-body group increased lower-body mean power (14.2%) during the HIIE. There was a decrease in the delta blood lactate for the uchi-komi training group and in the third and fourth bouts for the upper-body training group. Training induced testosterone-cortisol ratio increased in the lower-body HIIE for the lower-body (14.9%) and uchi-komi (61.4%) training groups. Thus, short-duration low-volume HIIT added to regular judo training was able to increase upper-body aerobic power, lower - and upper-body HIIE performance.
27445856	37	47	Positively	T033	UMLS:C1446409
27445856	56	63	Aerobic	T058	UMLS:C0001701
27445856	98	106	Athletes	T097	UMLS:C0238703
27445856	231	236	lower	T017	UMLS:C1268088
27445856	243	253	upper-body	T017	UMLS:C1268087
27445856	376	389	muscle damage	T017	UMLS:C0410158
27445856	390	407	markers responses	T033	UMLS:C0243095
27445856	416	424	athletes	T097	UMLS:C0238703
27445856	438	446	subjects	T098	UMLS:C0080105
27445856	452	470	randomly allocated	T062	UMLS:C0034656
27445856	558	578	tested pre- and post	T170	UMLS:C0032919
27445856	618	628	lower-body	T017	UMLS:C1268088
27445856	865	875	upper-body	T017	UMLS:C1268087
27445856	939	949	upper-body	T017	UMLS:C1268087
27445856	950	963	exercise test	T033	UMLS:C0429687
27445856	977	987	lower-body	T017	UMLS:C1268088
27445856	1043	1053	upper-body	T017	UMLS:C1268087
27445856	1054	1067	exercise test	T033	UMLS:C0429687
27445856	1121	1126	upper	T017	UMLS:C1268087
27445856	1141	1151	lower-body	T017	UMLS:C1268088
27445856	1170	1180	lower-body	T017	UMLS:C1268088
27445856	1197	1207	lower-body	T017	UMLS:C1268088
27445856	1367	1377	upper-body	T017	UMLS:C1268087
27445856	1456	1466	lower-body	T017	UMLS:C1268088
27445856	1480	1490	lower-body	T017	UMLS:C1268088
27445856	1627	1637	upper-body	T017	UMLS:C1268087
27445856	1653	1658	lower	T017	UMLS:C1268088
27445856	1665	1675	upper-body	T017	UMLS:C1268087
